Date,BSX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4143996603281473,-0.5223667849452582,-0.11618597033936856,-0.5356807084584356,-0.44415127528583986,0.0
2018-09-25,1.0,-0.4202784025287216,-0.5214576621481977,-0.12324478755090877,-0.5342836301744576,-0.4400948270621847,0.0
2018-09-26,1.0,-0.4208942521049272,-0.5222347183804978,-0.12462384874920211,-0.5339372017386547,-0.437916046080428,0.0
2018-09-27,1.0,-0.4225009871518391,-0.5175105549312031,-0.12596057467423988,-0.5337909668013243,-0.4376271907177353,0.0
2018-09-28,1.0,-0.41926457617324125,-0.5222178290093981,-0.1266157729857964,-0.5345965509899936,-0.43876030292892115,0.0
2018-10-01,1.0,-0.4191684156096967,-0.5223712625847857,-0.1268363901815859,-0.5344769899930042,-0.4388174103476595,0.0
2018-10-02,1.0,-0.42114073532992446,-0.5072741660579498,-0.13239590942293644,-0.5389883126369612,-0.4438154370586803,0.0
2018-10-03,1.0,-0.4207484027989048,-0.5018253726802556,-0.1317006388804381,-0.5407970794037116,-0.44721630666261025,0.0
2018-10-04,1.0,-0.4271392003900536,-0.4948500731350561,-0.13234397854705024,-0.5498537298878595,-0.44307654802535346,0.0
2018-10-05,1.0,-0.42428019823051905,-0.49204949682283916,-0.1268736128424189,-0.5524915630415616,-0.4446505122981971,0.0
2018-10-08,1.0,-0.4231072794608706,-0.4895877603059924,-0.1244611741849311,-0.5544289964179467,-0.4440228280007286,0.0
2018-10-09,1.0,-0.4269160583941606,-0.49105839416058394,-0.13117396593673966,-0.5523418491484186,-0.43987226277372266,0.0
2018-10-10,1.0,-0.4279242299857095,-0.4898902368573079,-0.13226306667882878,-0.5528596187175043,-0.4375931162394721,0.0
2018-10-11,1.0,-0.4060031595576619,-0.4833825151271275,-0.09907895913440042,-0.5482726757876538,-0.44397746579629793,0.0
2018-10-12,1.0,-0.4176180782960144,-0.4768268578340266,-0.09717674130454022,-0.5337935510517154,-0.42472785202230284,0.0
2018-10-15,1.0,-0.4195366681422459,-0.4748708868230781,-0.09744724804485762,-0.5348679356647484,-0.424465102552752,0.0
2018-10-16,1.0,-0.4217586573691053,-0.46921167710672496,-0.1025292518614821,-0.5356340858054603,-0.42559981089705706,0.0
2018-10-17,1.0,-0.4204227220469888,-0.46546590808595945,-0.10111134038852695,-0.535123662411933,-0.42572885652801934,0.0
2018-10-18,1.0,-0.4205949117066124,-0.46572919430441323,-0.10085197959965801,-0.5350372925326494,-0.4257539577253029,0.0
2018-10-19,1.0,-0.41526963657678784,-0.45741500586166467,-0.09375732708089096,-0.5387456037514654,-0.4256447831184056,0.0
2018-10-22,1.0,-0.41310180135027563,-0.47410006191220266,-0.10548660043043721,-0.5334473304047879,-0.4220643297267019,0.0
2018-10-23,1.0,-0.41395266586106283,-0.4736361224910844,-0.10769548174128328,-0.5312859205988978,-0.4207610009136727,0.0
2018-10-24,1.0,-0.413866351969317,-0.47611742144859126,-0.1080690367310813,-0.5320253724738162,-0.4202094704233663,0.0
2018-10-25,1.0,-0.38975289441852434,-0.44098842232590296,-0.1019238523126548,-0.5487011116871148,-0.3986521513737688,0.0
2018-10-26,1.0,-0.3826270944129925,-0.4346371590324241,-0.09312632241093384,-0.5539543661005318,-0.3949505346829073,0.0
