Date,HI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22555767476573516,-0.6599773336650359,-0.06739088371064489,-0.38253586532880013,-0.42872543328634216,0.0
2018-09-25,1.0,-0.22585816151677632,-0.6595544746006302,-0.06793433198828147,-0.382206622077276,-0.428223978773976,0.0
2018-09-26,1.0,-0.2263681592039801,-0.6602542841348812,-0.06918186843559977,-0.3818684355997789,-0.42628524046434496,0.0
2018-09-27,1.0,-0.22660697507323274,-0.6594815674570276,-0.06941911236389764,-0.381805118001437,-0.42618692311943845,0.0
2018-09-28,1.0,-0.22615856523060765,-0.6596844170558487,-0.06974880481941027,-0.3817116644098709,-0.4261475115372924,0.0
2018-10-01,1.0,-0.22563875677469308,-0.6611547395199646,-0.07012498617409578,-0.3816502599269992,-0.4266121004313682,0.0
2018-10-02,1.0,-0.22619442601194426,-0.6566025215660252,-0.07185910196859102,-0.38257575757575757,-0.42761557177615567,0.0
2018-10-03,1.0,-0.2259384156116977,-0.6501464978716347,-0.07092708275747692,-0.3851235557521146,-0.43194759245950576,0.0
2018-10-04,1.0,-0.22516464663235375,-0.6529968454258676,-0.07100558968398915,-0.3840278930765399,-0.43394764513808176,0.0
2018-10-05,1.0,-0.2179465960498731,-0.6507227187465519,-0.06407922321527088,-0.38704071499503473,-0.4386792452830189,0.0
2018-10-08,1.0,-0.21747401505334843,-0.6504369882275096,-0.06338397066526978,-0.3872515232554934,-0.4385045904441565,0.0
2018-10-09,1.0,-0.2157928124224288,-0.6512949223598201,-0.05883001903080784,-0.38993849463551866,-0.4422318448851257,0.0
2018-10-10,1.0,-0.21552889256654256,-0.651772169355951,-0.05833678113363674,-0.3899600055164805,-0.4426975589573852,0.0
2018-10-11,1.0,-0.184409619021886,-0.6563361253715212,-0.017616860308024857,-0.38470683599027294,-0.4589570386382059,0.0
