Date,BC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.409394266827687,-0.7597724528062035,-0.0,-0.5190364202631411,-0.4898302930146825,0.0
2018-09-25,1.0,-0.4078846888125239,-0.7615502100038183,-0.0,-0.5204594628993254,-0.4919498536337024,0.0
2018-09-26,1.0,-0.41066878980891725,-0.7645541401273885,-0.0,-0.5210828025477706,-0.4884076433121019,0.0
2018-09-27,1.0,-0.41279236276849646,-0.7598090692124106,-0.0,-0.5212728719172635,-0.4883373110580749,0.0
2018-09-28,1.0,-0.4104066490462695,-0.763048116421998,-0.0,-0.5218291246059293,-0.4891252428111964,0.0
2018-10-01,1.0,-0.41056586950291374,-0.762825207782696,-0.0,-0.5218928127885871,-0.4891252428111964,0.0
2018-10-02,1.0,-0.41063125039811454,-0.7634881202624371,-0.0,-0.5217529778966813,-0.4890438881457418,0.0
2018-10-03,1.0,-0.41145717109247976,-0.7672224170359271,-0.0,-0.5214064841085148,-0.4878064331027447,0.0
2018-10-04,1.0,-0.41336901803351817,-0.7634614159179253,-0.0,-0.5237048365513286,-0.4856305359077296,0.0
2018-10-05,1.0,-0.41195769892336115,-0.7659743900108301,-0.0,-0.5230935847614194,-0.48426450914187424,0.0
2018-10-08,1.0,-0.4112179283122175,-0.7653275609600816,-0.0,-0.5230470490863947,-0.4837015343477431,0.0
2018-10-09,1.0,-0.41353503184713375,-0.7662420382165606,-0.0,-0.5226114649681528,-0.4822929936305732,0.0
2018-10-10,1.0,-0.4120543184451023,-0.78002316900502,-0.0,-0.5283498519758013,-0.49749002445617196,0.0
2018-10-11,1.0,-0.35314575761373607,-0.7717759117683921,-0.0,-0.5051384885323975,-0.5031645569620253,0.0
2018-10-12,1.0,-0.3621159563924678,-0.7672509910802775,-0.0,-0.4861248761149653,-0.48163404360753226,0.0
2018-10-15,1.0,-0.34456975127452494,-0.7827591534064576,-0.0,-0.48153869921211184,-0.4808898501467635,0.0
2018-10-16,1.0,-0.3404413128129056,-0.7896965201804809,-0.0,-0.4804685085604797,-0.4797886148711293,0.0
2018-10-17,1.0,-0.3295253222554829,-0.7684647809884538,-0.0,-0.47538029201539495,-0.4812144908057915,0.0
2018-10-18,1.0,-0.3299614937962227,-0.7700018336287513,-0.0,-0.474665362752888,-0.4813886681743169,0.0
2018-10-19,1.0,-0.3229603942325242,-0.7667457565249134,-0.0,-0.4730790290198941,-0.4791324450933869,0.0
2018-10-22,1.0,-0.32358401558267647,-0.7686337766685942,-0.0,-0.47259335910156136,-0.47871077700337833,0.0
2018-10-23,1.0,-0.31938083898149844,-0.7714172314831776,-0.0,-0.4790559931611406,-0.4832386884044697,0.0
2018-10-24,1.0,-0.31807368549469317,-0.7682688788581189,-0.0,-0.4790777113578138,-0.4844760278150543,0.0
2018-10-25,1.0,-0.29447597539595277,-0.7356847829316852,-0.0,-0.4807298012064304,-0.4605830089442249,0.0
2018-10-26,1.0,-0.2613615455381785,-0.7622815087396504,-0.0,-0.5543698252069917,-0.48853112542164984,0.0
2018-10-29,1.0,-0.2694090740511806,-0.7655767091111386,-0.0,-0.5657683273581406,-0.4898627766102114,0.0
2018-10-30,1.0,-0.2912294903328248,-0.7720041097169901,-0.0,-0.5713129300414086,-0.47887543198729726,0.0
2018-10-31,1.0,-0.29039232890448735,-0.7831223364251692,-0.0,-0.5758962145901229,-0.48420656806217094,0.0
2018-11-01,1.0,-0.28822000187928715,-0.7844144454536912,-0.0,-0.5755003601966987,-0.4839790772700222,0.0
2018-11-02,1.0,-0.28960519740129936,-0.7759245377311345,-0.0,-0.5763055972013993,-0.48163418290854576,0.0
2018-11-05,1.0,-0.28755190608511033,-0.7811982890505479,-0.0,-0.5765087889100503,-0.4769115489088014,0.0
2018-11-06,1.0,-0.29180194805194803,-0.7844967532467533,-0.0,-0.5733641358641358,-0.4721840659340659,0.0
2018-11-07,1.0,-0.2915002496255617,-0.7842923115327011,-0.0,-0.5726722416375437,-0.47185471792311534,0.0
2018-11-08,1.0,-0.2704225352112676,-0.785079709023371,-0.0,-0.5645875251509054,-0.4754062838569881,0.0
2018-11-09,1.0,-0.27005695183855394,-0.7848520490281046,-0.0,-0.5650303330444472,-0.4752692831496843,0.0
2018-11-12,1.0,-0.2697099293417627,-0.7880562786661708,-0.0,-0.5651109458286848,-0.47616834015123344,0.0
2018-11-13,1.0,-0.24546992770343024,-0.7876019073988617,-0.0,-0.5699430856791263,-0.4734348561759729,0.0
2018-11-14,1.0,-0.24739030023094688,-0.7871901462663587,-0.0,-0.5712086220169361,-0.4735026943802925,0.0
