Date,IWF,IWM,MTUM,SGMS,SPY,VLUE,VXX
2018-09-24,-1.0319110533535485,-2.03840877914952,-0.2436647173489279,1.0,-1.5307920005775757,-1.3748465814742619,0.0
2018-09-25,-1.0364515663346325,-2.0345026707088207,-0.25097444781290607,1.0,-1.5272845387613685,-1.3689187238342717,0.0
2018-09-26,-1.0382699111849232,-2.036753556213445,-0.2544588056899415,1.0,-1.5268972488988375,-1.3642862300527114,0.0
2018-09-27,-1.0418259176462104,-2.0232927093098723,-0.25787841638422154,1.0,-1.5257085166221969,-1.3627316651042043,0.0
2018-09-28,-1.0381563762261972,-2.0267599538372765,-0.25923254472013846,1.0,-1.525533756491633,-1.3631708020773223,0.0
2018-10-01,-1.0417328519855593,-2.0258483754512633,-0.25920577617328516,1.0,-1.5287364620938626,-1.3646209386281587,0.0
2018-10-02,-1.0431613136051965,-2.0101768314687836,-0.2652472031757488,1.0,-1.5312161674485745,-1.3678816311800792,0.0
2018-10-03,-1.0447577729573392,-1.9904555314533623,-0.2621113521330441,1.0,-1.5450469992769342,-1.3883586406362978,0.0
2018-10-04,-1.0449038810301052,-2.00297424737033,-0.26340224882118246,1.0,-1.5454479506710193,-1.3975335509611897,0.0
2018-10-05,-1.0357478833490121,-2.0052825819523843,-0.24459078080903102,1.0,-1.550618713365656,-1.4002460380635358,0.0
2018-10-08,-1.0394889663182345,-2.014735772357724,-0.24455574912891986,1.0,-1.5548054587688733,-1.4054878048780488,0.0
2018-10-09,-1.0457587661865269,-2.0200058198748727,-0.25287356321839083,1.0,-1.5544158300596538,-1.4017896115233524,0.0
2018-10-10,-1.1152735562310032,-2.1025835866261398,-0.28176291793313074,1.0,-1.64870820668693,-1.4504559270516717,0.0
2018-10-11,-1.0047976011994002,-2.167916041979011,-0.08298350824587707,1.0,-1.6786356821589206,-1.56191904047976,0.0
2018-10-12,-1.0131695114773396,-2.144643908181283,-0.06614184814596821,1.0,-1.6299293702177748,-1.5033843437316066,0.0
2018-10-15,-0.9751049569124255,-2.2249392354717537,-0.004124622523385136,1.0,-1.638727259335641,-1.5225012889445386,0.0
2018-10-16,-0.9740058910162003,-2.2276877761413845,-0.0016936671575846834,1.0,-1.6383652430044182,-1.522017673048601,0.0
2018-10-17,-0.9176175098672408,-2.125152493720847,-0.0,1.0,-1.6109795479009688,-1.5224255471833512,0.0
2018-10-18,-0.9167325238882102,-2.1229973417630577,-0.0,1.0,-1.61893814210791,-1.5257561606437244,0.0
2018-10-19,-0.882048004544809,-2.0963641528192016,-0.0,1.0,-1.6106376935094449,-1.512214174122994,0.0
2018-10-22,-0.8819104392874885,-2.081967213114754,-0.0,1.0,-1.6157121566957633,-1.51706763182173,0.0
2018-10-23,-0.8844353007945517,-2.0814415437003406,-0.0,1.0,-1.613010783200908,-1.515323496027242,0.0
2018-10-24,-0.8831399900362964,-2.0954380471140848,-0.0,1.0,-1.6193153512205538,-1.5189666215927693,0.0
2018-10-25,-0.7910120068610635,-1.9850428816466554,-0.0,1.0,-1.6413036020583192,-1.443704974271012,0.0
2018-10-26,-0.7646899905443739,-1.9473861947858975,-0.0,1.0,-1.626435228961232,-1.415574766986357,0.0
2018-10-29,-0.7306196351931331,-1.953728540772532,-0.0,1.0,-1.6075643776824033,-1.4140960300429184,0.0
2018-10-30,-0.8128796245168415,-2.0116648260629484,-0.0,1.0,-1.6612368856985091,-1.4164826062948648,0.0
2018-10-31,-0.8124227865477008,-1.9928620452985588,-0.0,1.0,-1.6518874399450927,-1.4063143445435828,0.0
2018-11-01,-0.8734656659886372,-1.999649295083117,-0.0,1.0,-1.6960791190292488,-1.444904257557691,0.0
2018-11-02,-0.8806395550921097,-1.9387556482446995,-0.0,1.0,-1.7036496350364962,-1.4285714285714284,0.0
2018-11-05,-0.8744528590286945,-1.9548391579239908,-0.0,1.0,-1.7038838324185368,-1.4146460084763428,0.0
2018-11-06,-0.8956661316211879,-1.9803894200572267,-0.0,1.0,-1.70025821760067,-1.4025403028822667,0.0
2018-11-07,-0.8941455585793037,-1.9826250785011514,-0.0,1.0,-1.6980671272067547,-1.4030423557323286,0.0
2018-11-08,-0.8194734642707897,-2.011143613316618,-0.0,1.0,-1.693202395876863,-1.4410084970051538,0.0
2018-11-09,-1.026634382566586,-2.3897470151122984,-0.0,1.0,-2.0985221674876846,-1.8343491692410454,0.0
2018-11-12,-1.0585713060629447,-2.476888774547637,-0.0,1.0,-2.144241488723094,-1.89589229054112,0.0
2018-11-13,-0.9961125665511704,-2.454322656976253,-0.0,1.0,-2.1309050959181945,-1.869601960618609,0.0
2018-11-14,-0.9955168330231771,-2.457705971916765,-0.0,1.0,-2.133226188462189,-1.8722720351886313,0.0
2018-11-15,-0.9909666525960321,-2.4561418319966233,-0.0,1.0,-2.1322921063739977,-1.8630645842127478,0.0
2018-11-16,-0.9813508064516128,-2.4331317204301075,-0.0,1.0,-2.122395833333333,-1.8635752688172043,0.0
2018-11-19,-1.007034494448682,-2.4497838799898295,-0.0,1.0,-2.1367065005508943,-1.881769641495042,0.0
2018-11-20,-0.9418078148582928,-2.425205433506624,-0.0,1.0,-2.126781821230924,-1.8911621666946166,0.0
2018-11-21,-0.9380062820300875,-2.397173086460572,-0.0,1.0,-2.1024136220862952,-1.8282360720780293,0.0
2018-11-23,-0.9400217191546237,-2.4479993317183193,-0.0,1.0,-2.1178681814384763,-1.8477153120040097,0.0
