Date,INOV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0434998228834573,-2.107757704569607,-0.002904711300035423,-1.4894084307474318,-1.441161884520014,0.0
2018-09-25,1.0,-1.0459469026548673,-2.1036460176991154,-0.007929203539823008,-1.4859469026548673,-1.4360353982300886,0.0
2018-09-26,1.0,-1.0465099815942234,-2.1042758034829396,-0.009202888291094436,-1.4854169616310349,-1.4338099957525132,0.0
2018-09-27,1.0,-1.0470855197844278,-2.1101971351581335,-0.009856757906679902,-1.487803148489576,-1.4362501772798184,0.0
2018-09-28,1.0,-1.0437038089823762,-2.119670267197271,-0.011796475270039795,-1.4911171119954518,-1.439951677089255,0.0
2018-10-01,1.0,-1.0437748720864126,-2.119172825469016,-0.012649232518476406,-1.4909039226833425,-1.4398095508811826,0.0
2018-10-02,1.0,-1.046268656716418,-2.0994314143567876,-0.02061122956645345,-1.4957356076759063,-1.4452025586353945,0.0
2018-10-03,1.0,-1.0449478094156075,-2.0842860186039904,-0.01910104381168785,-1.4996094582120285,-1.4528864588510968,0.0
2018-10-04,1.0,-1.0470855197844278,-2.074812083392427,-0.020635370869380228,-1.501560062402496,-1.4470287902425187,0.0
2018-10-05,1.0,-1.0149982313406436,-2.0637424831977365,-0.0,-1.522603466572338,-1.473434736469756,0.0
2018-10-08,1.0,-1.009054895302773,-2.05850311262026,-0.0,-1.5326825127334462,-1.4739671760045272,0.0
2018-10-09,1.0,-1.0049522461973823,-2.0585779978776086,-0.0,-1.534276618323311,-1.4769013088079235,0.0
2018-10-10,1.0,-1.008702419697184,-2.0572378661383897,-0.0,-1.5368614687986417,-1.472265459176454,0.0
2018-10-11,1.0,-0.8266392035702025,-2.0514246481290765,-0.0,-1.4846549948506693,-1.5030552694816341,0.0
2018-10-12,1.0,-0.8332659388057689,-2.0302601428763984,-0.0,-1.4319315271599944,-1.4439951475940154,0.0
2018-10-15,1.0,-0.7833501174890903,-2.0710976837865056,-0.0,-1.4183282980866063,-1.4409533400469956,0.0
2018-10-16,1.0,-0.7766064594104612,-2.0825219901967364,-0.0,-1.416302961122675,-1.4390653327066407,0.0
2018-10-17,1.0,-0.7195891034393083,-1.975164163578441,-0.0,-1.3788440283466614,-1.4279305636824653,0.0
2018-10-18,1.0,-0.7184371343128331,-1.9730204134702898,-0.0,-1.3812898192692755,-1.4282928097776622,0.0
2018-10-19,1.0,-0.6856978085351787,-1.9434191977444573,-0.0,-1.366717929001666,-1.412085095476099,0.0
2018-10-22,1.0,-0.6861313868613138,-1.9371878601613521,-0.0,-1.3671404789345625,-1.4124087591240875,0.0
2018-10-23,1.0,-0.6878520225294419,-1.9365719406041988,-0.0,-1.3650153609831028,-1.4109703020993345,0.0
2018-10-24,1.0,-0.6914042333505421,-1.9410815694372743,-0.0,-1.3848735157459993,-1.4358544140423337,0.0
2018-10-25,1.0,-0.60321015304218,-1.8401766828418564,-0.0,-1.4088590270001244,-1.369043175314172,0.0
2018-10-26,1.0,-0.5603115226589809,-1.8073833323112773,-0.0,-1.41798000858527,-1.3465996197951802,0.0
2018-10-29,1.0,-0.5155650319829425,-1.8249771550411211,-0.0,-1.3965884861407252,-1.354919281145294,0.0
2018-10-30,1.0,-0.5049908703590992,-1.8237370663420573,-0.0,-1.3956786366402922,-1.3620206938527084,0.0
2018-10-31,1.0,-0.5168199419167473,-1.7797071636011617,-0.0,-1.3979912875121006,-1.3558204259438529,0.0
