Date,HVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3611039841659641,-1.105413627533629,-0.0,-0.5747901623721731,-0.6239783015064325,0.0
2018-09-25,1.0,-0.35809136304790085,-1.1184760495653783,-0.0,-0.5854632883299428,-0.6368781209543185,0.0
2018-09-26,1.0,-0.35915362704842224,-1.1194835941256982,-0.0,-0.5854696112159212,-0.6350756482817297,0.0
2018-09-27,1.0,-0.36359939369292765,-1.1112795297423195,-0.0,-0.5865281526119266,-0.6355872675514805,0.0
2018-09-28,1.0,-0.36842690383546417,-1.1108022975727256,-0.0,-0.5890309431165464,-0.6375393737261442,0.0
2018-10-01,1.0,-0.36893059279118257,-1.1199359547214773,-0.0,-0.5923815907059875,-0.6422773309502532,0.0
2018-10-02,1.0,-0.36775931746744506,-1.144589133363269,-0.0,-0.5902559497081276,-0.6393503966472086,0.0
2018-10-03,1.0,-0.36727748691099477,-1.1393792071802542,-0.0,-0.5913612565445026,-0.6417352281226626,0.0
2018-10-04,1.0,-0.36810228802153433,-1.1375429938687005,-0.0,-0.5920442649917751,-0.6409077314191716,0.0
2018-10-05,1.0,-0.3505768515072572,-1.1314477112020842,-0.0,-0.5936732415333085,-0.6459248232229252,0.0
2018-10-08,1.0,-0.35473251028806585,-1.139618406285073,-0.0,-0.5961840628507296,-0.6505798728020951,0.0
2018-10-09,1.0,-0.3448249763481552,-1.151220435193945,-0.0,-0.6144560075685903,-0.6737937559129613,0.0
2018-10-10,1.0,-0.3518673144071656,-1.1525352967967208,-0.0,-0.6209199939274328,-0.6700698345225444,0.0
2018-10-11,1.0,-0.26407724056603776,-1.1490639740566038,-0.0,-0.5895857900943396,-0.6824513561320755,0.0
2018-10-12,1.0,-0.2705749718151071,-1.1457249881805287,-0.0,-0.5644252100229116,-0.6560715714441576,0.0
2018-10-15,1.0,-0.24434044405746624,-1.1697141198664924,-0.0,-0.5580104484109708,-0.655819184443477,0.0
2018-10-16,1.0,-0.24165699361578644,-1.173788450377249,-0.0,-0.5570589088798608,-0.6548897272199652,0.0
2018-10-17,1.0,-0.22051117527537162,-1.1355648237265177,-0.0,-0.548996542259295,-0.659608598010908,0.0
2018-10-18,1.0,-0.22180571918175,-1.1395166184713146,-0.0,-0.5480704009139266,-0.660633322623255,0.0
2018-10-19,1.0,-0.20429117688712645,-1.1312137091063588,-0.0,-0.5463815323608554,-0.658723976773828,0.0
2018-10-22,1.0,-0.2072568321546608,-1.143039909023064,-0.0,-0.545541774761008,-0.6579125057749032,0.0
2018-10-23,1.0,-0.21527233891064437,-1.1456746173015309,-0.0,-0.5420790316838733,-0.6569241723033108,0.0
2018-10-24,1.0,-0.21324550471782092,-1.1415702332205804,-0.0,-0.5440270607085633,-0.6617411429588749,0.0
2018-10-25,1.0,-0.17346938775510204,-1.0946980143408716,-0.0,-0.5510893546607832,-0.6280336458907888,0.0
2018-10-26,1.0,-0.1516972884365822,-1.0811419984973702,-0.0,-0.5624274298203674,-0.6198005600710333,0.0
2018-10-29,1.0,-0.14117967393894013,-1.0854974303121063,-0.0,-0.5569585786732922,-0.6199244409652496,0.0
2018-10-30,1.0,-0.11638873701476216,-1.0912725533078185,-0.0,-0.5635251503553854,-0.6459814106068891,0.0
2018-10-31,1.0,-0.11898863057865264,-1.0750042423213981,-0.0,-0.5595112845749194,-0.6403529611403359,0.0
2018-11-01,1.0,-0.08600061355966866,-1.1092477076729044,-0.0,-0.5657361011691721,-0.6476463169376555,0.0
2018-11-02,1.0,-0.09277896377621905,-1.0770560130120974,-0.0,-0.576259699772966,-0.6425061841347295,0.0
2018-11-05,1.0,-0.08298783621723488,-1.1258180572211751,-0.0,-0.5927702586945348,-0.6248415281822854,0.0
2018-11-06,1.0,-0.09206959267012113,-1.1342781647850109,-0.0,-0.58848357983597,-0.6167598915617172,0.0
2018-11-07,1.0,-0.09381031155224705,-1.1378549765646542,-0.0,-0.5941204852495175,-0.6205886407499311,0.0
2018-11-08,1.0,-0.06491821193183758,-1.1402861728648022,-0.0,-0.5836150667622854,-0.6261653519106649,0.0
2018-11-09,1.0,-0.06474083179676296,-1.1398620501263401,-0.0,-0.5840333265041316,-0.6259304787270368,0.0
2018-11-12,1.0,-0.06370466057041847,-1.1232960533025123,-0.0,-0.5898969983342965,-0.6224971954992012,0.0
2018-11-13,1.0,-0.03279517341332704,-1.1249452290269304,-0.0,-0.5930432437898142,-0.6197377734335502,0.0
2018-11-14,1.0,-0.03263214670981661,-1.1252696871628909,-0.0,-0.5932106256742178,-0.6199770765911542,0.0
2018-11-15,1.0,-0.0312699855262715,-1.1258204584469351,-0.0,-0.593860446329395,-0.6150661415732606,0.0
2018-11-16,1.0,-0.02873158124391636,-1.1173430000335651,-0.0,-0.5919846943913,-0.6184338603027557,0.0
2018-11-19,1.0,-0.029768097459475784,-1.1168909621774004,-0.0,-0.5912675772728798,-0.6181159177098365,0.0
2018-11-20,1.0,-0.0,-1.1074997476531747,-0.0,-0.5975909289727802,-0.6595336630665187,0.0
2018-11-21,1.0,-0.0,-1.103419544060792,-0.0,-0.5936875083322225,-0.6358152246367151,0.0
2018-11-23,1.0,-0.0,-1.0979889458613572,-0.0,-0.5955250715855364,-0.6360458147432909,0.0
2018-11-26,1.0,-0.0,-1.104129204129204,-0.0,-0.5927072927072927,-0.633133533133533,0.0
2018-11-27,1.0,-0.0,-1.105118436309425,-0.0,-0.5829054165976478,-0.6248799072386947,0.0
2018-11-28,1.0,-0.0,-1.098554664191474,-0.0,-0.5881455943777764,-0.6282569780547637,0.0
2018-11-29,1.0,-0.0,-1.078139870696728,-0.0,-0.5745134718256704,-0.6291555905615175,0.0
2018-11-30,1.0,-0.0,-1.0789292166201347,-0.0,-0.5743471834455576,-0.631335194613237,0.0
2018-12-03,1.0,-0.0,-1.080966469428008,-0.0,-0.5749178172255095,-0.6314266929651544,0.0
2018-12-04,1.0,-0.0,-1.083789848854861,-0.0,-0.5808527489934657,-0.6355026070886409,0.0
2018-12-06,1.0,-0.0,-1.0496721893873333,-0.0,-0.5674191777282563,-0.6125698414236347,0.0
2018-12-07,1.0,-0.0,-1.0502809533036235,-0.0,-0.5680746625331009,-0.6109604081896274,0.0
2018-12-10,1.0,-0.0,-1.050135804441604,-0.0,-0.5562230388240933,-0.5890078287266336,0.0
2018-12-11,1.0,-0.0,-1.0511352734250081,-0.0,-0.5529900863447393,-0.5938599296450272,0.0
2018-12-12,1.0,-0.0,-1.0526990229056543,-0.0,-0.5530353996476054,-0.597853596027551,0.0
2018-12-13,1.0,-0.0,-1.0509060639047192,-0.0,-0.5537555228276878,-0.5969776525581098,0.0
2018-12-14,1.0,-0.0,-1.0434866084285304,-0.0,-0.5589261143643403,-0.5974848804838245,0.0
2018-12-17,1.0,-0.0,-1.0402485659655831,-0.0,-0.5390694710006373,-0.6074251115360102,0.0
2018-12-18,1.0,-0.0,-1.027100614196163,-0.0,-0.5301082758184006,-0.6087507123409106,0.0
2018-12-19,1.0,-0.0,-1.0270706686930091,-0.0,-0.5302684903748733,-0.608789260385005,0.0
2018-12-20,1.0,-0.0,-1.0136697218810042,-0.0,-0.533308135689313,-0.6027591420202212,0.0
2018-12-21,1.0,-0.0,-1.013783792269773,-0.0,-0.5304719143458193,-0.5955289020063425,0.0
2018-12-24,1.0,-0.0,-0.9873267573979275,-0.0,-0.517792483456112,-0.6163690847796229,0.0
