Date,CNBS,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-03-20,1.0,-0.32471294918137356,-0.49184031469274925,-0.3196895598554114,-0.4436264086753136,-0.0780087178396768,0.0
2020-03-23,1.0,-0.33384542035281034,-0.5751443555649732,-0.23790856597976373,-0.4418869523759072,-0.059940668538433016,0.0
2020-03-24,1.0,-0.3488458182395092,-0.5861603955683651,-0.20912768714138394,-0.43184642639942883,-0.06819323620402443,0.0
2020-03-25,1.0,-0.3481239137102546,-0.5777016664962683,-0.150291381249361,-0.4217615785706983,-0.05807177180247419,0.0
2020-03-26,1.0,-0.3354670521126397,-0.5784786929251736,-0.17603179929277546,-0.4309423637818445,-0.060191518467852256,0.0
2020-03-27,1.0,-0.334447043100568,-0.5790177079852991,-0.16972936852656198,-0.4309542779305559,-0.055976766300855844,0.0
2020-03-30,1.0,-0.32156943092762386,-0.575193361675972,-0.1908518158069969,-0.4338472570813912,-0.039619935460738616,0.0
2020-03-31,1.0,-0.30655477664636954,-0.5965563117228675,-0.18853297856009826,-0.42337409814255744,-0.04344266489280049,0.0
2020-04-01,1.0,-0.3083275804760809,-0.6010073892255375,-0.18130449234230778,-0.4237938175960727,-0.04239216588683491,0.0
2020-04-02,1.0,-0.3136462937560331,-0.5867499872986841,-0.17565919829294316,-0.42920286541685715,-0.03497942386831276,0.0
2020-04-03,1.0,-0.31279668976721753,-0.5884801868352245,-0.1755388013098774,-0.42654786383367604,-0.03518391592414896,0.0
2020-04-06,1.0,-0.3130772353597889,-0.5846188977976251,-0.17558104130721605,-0.4268496904496092,-0.037171419872120165,0.0
2020-04-07,1.0,-0.29966279505432747,-0.568902210565755,-0.16715374047708254,-0.42810041213937805,-0.033995254152616464,0.0
2020-04-08,1.0,-0.29806899652769103,-0.5690589792910494,-0.16357323074617172,-0.4280932277484949,-0.03924458544627913,0.0
2020-04-09,1.0,-0.29974327658832034,-0.5625732160215349,-0.16632187632411952,-0.4272326213205055,-0.03658931731512176,0.0
2020-04-13,1.0,-0.3127086135605042,-0.5297663528122354,-0.17625666317939523,-0.43022966173466853,-0.04192198475564191,0.0
2020-04-14,1.0,-0.3261787561530196,-0.503910447015317,-0.20204392693835735,-0.4312485944878938,-0.03528147722445716,0.0
2020-04-15,1.0,-0.3161211577741245,-0.510038359986051,-0.19326956608379417,-0.4308274796990983,-0.04062671249937728,0.0
2020-04-16,1.0,-0.3310607380128891,-0.4943641294881684,-0.20388663564656995,-0.43494488541640747,-0.02398666301724352,0.0
2020-04-17,1.0,-0.3246821111304651,-0.5026998780700227,-0.1941921516908453,-0.4361609475701097,-0.030631796352054146,0.0
2020-04-20,1.0,-0.32476548309238845,-0.5029983328771555,-0.19398342830127646,-0.4364378312473562,-0.030033093632586032,0.0
2020-04-21,1.0,-0.32740611788112406,-0.5107684655558319,-0.1983586172593882,-0.4330763491668739,-0.017333996518279035,0.0
2020-04-22,1.0,-0.3195996333275525,-0.5239451973341922,-0.1874984515521641,-0.4360924609171767,-0.010380794291801899,0.0
2020-04-23,1.0,-0.31222491469264624,-0.5309826418080213,-0.18253301023688245,-0.4343009742347065,-0.012610652292171506,0.0
2020-04-24,1.0,-0.31034226742891086,-0.5372088994481155,-0.18029054371767267,-0.4332912614151014,-0.013710495706189521,0.0
2020-04-27,1.0,-0.3101818631696152,-0.5373005072374119,-0.18003216627489793,-0.4335766423357664,-0.013237659284918964,0.0
2020-04-28,1.0,-0.30565467340668057,-0.5486173059768065,-0.178040440083259,-0.4317573595004461,-0.013901278620279515,0.0
