Date,CPRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.45479058691693525,-0.8805855161787366,-0.19078302283232948,-0.535544193864687,-0.44018770135873375,0.0
2018-09-25,1.0,-0.453730083359713,-0.8880095670219128,-0.18546656818261756,-0.5420139988041222,-0.44810242341106543,0.0
2018-09-26,1.0,-0.4538899831176139,-0.8882597073719751,-0.1859172763083849,-0.5418190770962296,-0.44727771525042204,0.0
2018-09-27,1.0,-0.45706351717107807,-0.880382438750044,-0.1881964216668424,-0.5421631691799359,-0.4472564940771204,0.0
2018-09-28,1.0,-0.4537421671477857,-0.8855523480954728,-0.18890375272829685,-0.543371118777723,-0.44881363092304444,0.0
2018-10-01,1.0,-0.4533384983800536,-0.8864980983237076,-0.18925200732497535,-0.5432807437667277,-0.44925341597408086,0.0
2018-10-02,1.0,-0.45945659095733393,-0.8599377343805278,-0.1999575461685417,-0.5560036793320596,-0.46242835915941405,0.0
2018-10-03,1.0,-0.4622437013610035,-0.8743470381294197,-0.20169858924700615,-0.5559148573256103,-0.4592942681496749,0.0
2018-10-04,1.0,-0.46090343792437993,-0.8875348438281752,-0.20137945822314343,-0.555142591666071,-0.4688013723107712,0.0
2018-10-05,1.0,-0.4547559672247952,-0.8858567866049163,-0.19405058781617385,-0.5572497328108301,-0.47060919130744566,0.0
2018-10-08,1.0,-0.4530766219438414,-0.8830919249795366,-0.1891882273390512,-0.562653475212641,-0.4708352610413182,0.0
2018-10-09,1.0,-0.4551282051282051,-0.8838675213675213,-0.19294871794871796,-0.5611823361823362,-0.46816239316239316,0.0
2018-10-10,1.0,-0.4565945022076628,-0.8826021934197409,-0.19466600199401798,-0.5619569861843042,-0.46492664862555194,0.0
2018-10-11,1.0,-0.41705684458779874,-0.8837443207435924,-0.14160857350952036,-0.5504109874102592,-0.4754274615891514,0.0
2018-10-12,1.0,-0.4228224728344703,-0.8788948685428308,-0.13899838892126282,-0.5329242792993522,-0.4541870908031399,0.0
2018-10-15,1.0,-0.4234092155787164,-0.8799712013165113,-0.13792512342292926,-0.5334613274821722,-0.4536821173889194,0.0
2018-10-16,1.0,-0.4226800589626684,-0.8823489081622159,-0.13602550478214664,-0.5334064653251516,-0.45356689863220323,0.0
