Date,IWF,IWM,MTUM,PSA,SPY,VLUE,VXX
2018-09-24,-0.27373560473385344,-0.5245449238443984,-0.0,1.0,-0.47848007217534366,-0.37671814466910797,0.0
2018-09-25,-0.27225367461393296,-0.5266193551816708,-0.0,1.0,-0.4800520957924673,-0.379050049172049,0.0
2018-09-26,-0.2729519961724523,-0.5272712774440487,-0.0,1.0,-0.4800382754771145,-0.37778427515815216,0.0
2018-09-27,-0.2734543135744082,-0.5259186438876637,-0.0,1.0,-0.47992666790658134,-0.3776602811063581,0.0
2018-09-28,-0.2710434574340687,-0.5302977885408627,-0.0,1.0,-0.4809590973201693,-0.3789285999414535,0.0
2018-10-01,-0.27068891969713127,-0.5335395115708649,-0.0,1.0,-0.4814972805801429,-0.3803455262877253,0.0
2018-10-02,-0.26952477682151066,-0.5454642647137435,-0.0,1.0,-0.4794996525364837,-0.37830758539584114,0.0
2018-10-03,-0.26888532477947075,-0.5372360331462176,-0.0,1.0,-0.4828388131515638,-0.38412189254210105,0.0
2018-10-04,-0.27605437434646213,-0.5313564093626832,-0.0,1.0,-0.4928814649971847,-0.38088854331447564,0.0
2018-10-05,-0.26231651988257276,-0.5231385108086469,-0.0,1.0,-0.49727782225780626,-0.38604216706698696,0.0
2018-10-08,-0.25945383753800205,-0.5201877433463119,-0.0,1.0,-0.5014134087151315,-0.38572723878606857,0.0
2018-10-09,-0.2542019613606606,-0.5212837025358736,-0.0,1.0,-0.5051706170002405,-0.3915239291344895,0.0
2018-10-10,-0.25471446124258773,-0.5206474704845345,-0.0,1.0,-0.5054757198568299,-0.3902452054062717,0.0
2018-10-11,-0.20495011014642994,-0.5071919139562006,-0.0,1.0,-0.4878061422832707,-0.3917584553582998,0.0
2018-10-12,-0.20533702110223315,-0.5001280475312436,-0.0,1.0,-0.4774124154886294,-0.37804753124359763,0.0
2018-10-15,-0.19347176461573826,-0.5089009782136746,-0.0,1.0,-0.47465072919061124,-0.3770336883508288,0.0
2018-10-16,-0.18869998721718012,-0.5178831650262048,-0.0,1.0,-0.4738080020452512,-0.3761728237249137,0.0
2018-10-17,-0.1727574750830565,-0.48867411658109333,-0.0,1.0,-0.47148394241417496,-0.38394744790093627,0.0
