Date,IWF,IWM,MGTA,MTUM,SPY,VLUE,VXX
2019-02-19,-0.0,-1.2751758607922992,1.0,-0.0,-3.6996482784154017,-3.2809144761199556,0.0
2019-02-20,-0.0,-1.2796499720722398,1.0,-0.0,-3.741109663005027,-3.2884937628002233,0.0
2019-02-21,-0.0,-1.2839817147121935,1.0,-0.0,-3.7491370463662657,-3.2961097117268405,0.0
2019-02-22,-0.0,-1.2801421756617717,1.0,-0.0,-3.760920400336732,-3.312599382658311,0.0
2019-02-25,-0.0,-1.2902800037710946,1.0,-0.0,-3.799000659941548,-3.3384557367775995,0.0
2019-02-26,-0.0,-1.3235322753383314,1.0,-0.0,-3.9194820368026484,-3.4931360140200565,0.0
2019-02-27,-0.0,-1.358061838555717,1.0,-0.0,-4.236252334509234,-3.781178667773397,0.0
2019-02-28,-0.0,-1.3832135790898676,1.0,-0.0,-4.2640841403728,-3.7661147558054773,0.0
2019-03-01,-0.0,-1.3963529658352545,1.0,-0.0,-4.323621882204988,-3.760008383986585,0.0
2019-03-04,-0.0,-1.4929835924006907,1.0,-0.0,-4.4575777202072535,-3.843911917098446,0.0
2019-03-05,-0.0,-1.4693034879930458,1.0,-0.0,-4.536020862762142,-3.8606975986091494,0.0
2019-03-06,-0.0,-1.4648807579222478,1.0,-0.0,-4.565283676358488,-3.859523031688991,0.0
2019-03-07,-0.0,-1.3466287837394821,1.0,-0.0,-4.717298655884603,-3.8638400174844283,0.0
2019-03-08,-0.0,-1.3424239118577506,1.0,-0.0,-4.709719646558307,-3.8565506708846953,0.0
2019-03-11,-0.0,-1.34133828184696,1.0,-0.0,-4.715642397118218,-3.85885820325292,0.0
2019-03-12,-0.0,-1.2904139433551196,1.0,-0.0,-4.731481481481481,-3.8713507625272325,0.0
2019-03-13,-0.0,-1.3362488928255094,1.0,-0.0,-4.79196191319752,-3.9436448184233837,0.0
2019-03-14,-0.0,-1.3599154710265822,1.0,-0.0,-4.801468134801468,-3.960849738627516,0.0
2019-03-15,-0.0,-1.3670900178253118,1.0,-0.0,-4.80358734402852,-3.970254010695187,0.0
2019-03-18,-0.0,-1.8947239263803681,1.0,-0.0,-4.998650306748465,-4.376564417177914,0.0
2019-03-19,-0.0,-1.8904463297676135,1.0,-0.0,-5.014754703061601,-4.390261895979343,0.0
2019-03-20,-0.0,-1.8902139168920582,1.0,-0.0,-5.013769363166954,-4.3902139168920575,0.0
2019-03-21,-0.0,-1.8803429271279852,1.0,-0.0,-5.026699326393142,-4.340355174525413,0.0
2019-03-22,-0.0,-1.8574380165289255,1.0,-0.0,-5.021633446767136,-4.2745503159941665,0.0
2019-03-25,-0.0,-1.549733785091965,1.0,-0.0,-5.2009922555663115,-4.349951597289448,0.0
2019-03-26,-0.0,-1.5952932569198879,1.0,-0.0,-5.249359834166565,-4.348981831483965,0.0
2019-03-27,-0.0,-1.631272174353776,1.0,-0.0,-5.507856056766346,-4.531931069437404,0.0
2019-03-28,-0.0,-1.633396584440228,1.0,-0.0,-5.493991144845035,-4.522960151802657,0.0
2019-03-29,-0.0,-1.6090701798834557,1.0,-0.0,-5.5089941727894605,-4.549657968077021,0.0
2019-04-01,-0.0,-1.655334861217214,1.0,-0.0,-5.544690603514133,-4.532340208810798,0.0
2019-04-02,-0.0,-1.7109685695958945,1.0,-0.027838357921744706,-5.633867864015394,-4.456061577934573,0.0
2019-04-03,-0.0,-1.7120492749903762,1.0,-0.029385345823174643,-5.631977415629411,-4.458488387013987,0.0
