Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WPP
2018-09-24,-0.5391170718077676,-1.0875011641985657,-0.0,-1.071900903418087,-0.958275123405048,0.0,1.0
2018-09-25,-0.5426789537373173,-1.0855440752117658,-0.0,-1.070511030438425,-0.9554593688913712,0.0,1.0
2018-09-26,-0.5450777684641893,-1.08819968333799,-0.0,-1.071109248393406,-0.9523609946912546,0.0,1.0
2018-09-27,-0.5506072874493927,-1.0778072502210434,-0.0,-1.0722695332495695,-0.9528596025873702,0.0,1.0
2018-09-28,-0.547499066815976,-1.086552818215752,-0.000933184023889511,-1.0749813363195222,-0.955953714072415,0.0,1.0
2018-10-01,-0.5511406133133883,-1.086621166791324,-0.0007011967090501121,-1.0783937920718025,-0.9577412116679133,0.0,1.0
2018-10-02,-0.5552486187845304,-1.065034179230265,-0.009645097855604459,-1.0861035677497894,-0.9660548740518776,0.0,1.0
2018-10-03,-0.554448498456357,-1.0566937973617738,-0.008981195621667135,-1.087706988492843,-0.9698755730189915,0.0,1.0
2018-10-04,-0.554895726176003,-1.0549424857383336,-0.009913027214065276,-1.087487141120359,-0.9687178528008977,0.0,1.0
2018-10-05,-0.5294337158317007,-1.0426345741207204,-0.0,-1.1043474204683272,-0.9882451721242653,0.0,1.0
2018-10-08,-0.5244396812823261,-1.0372769209263315,-0.0,-1.110432878244257,-0.987512231489679,0.0,1.0
2018-10-09,-0.5290933694181327,-1.0400354626475665,-0.0,-1.1109607577807847,-0.9860482478652419,0.0,1.0
2018-10-10,-0.5282745738968012,-1.0416997431706747,-0.0,-1.111604015876722,-0.9879990660751808,0.0,1.0
2018-10-11,-0.4156780230111474,-1.0036710390831356,-0.0,-1.0687648296548327,-0.9887630389040605,0.0,1.0
2018-10-12,-0.42942425046431415,-0.9943397895109224,-0.0,-1.0428937826125408,-0.9553816220040682,0.0,1.0
2018-10-15,-0.3842541314075584,-1.044747685082628,-0.0,-1.039652651632626,-0.9618094014443312,0.0,1.0
2018-10-16,-0.380393372906884,-1.0507220696376363,-0.0,-1.0382298219190218,-0.9604855143084966,0.0,1.0
2018-10-17,-0.3451338937516249,-0.9866106248375075,-0.0,-1.0292919663749025,-0.9720946355836727,0.0,1.0
2018-10-18,-0.3490093620727194,-0.9977792292619204,-0.0,-1.030698889614631,-0.9770084911822339,0.0,1.0
2018-10-19,-0.3226459814695109,-0.9762982115923292,-0.0,-1.034346046110752,-0.9760827407886231,0.0,1.0
2018-10-22,-0.3228587439113755,-0.9646536488641752,-0.0,-1.0408638303375144,-0.9821544032070347,0.0,1.0
