Date,FNF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.32953842694102436,-0.508320683645359,-0.09613762860516108,-0.482346657671333,-0.3946983752178558,0.0
2018-09-25,1.0,-0.330007868705036,-0.5076157823741008,-0.09709419964028776,-0.48170526079136694,-0.39382868705035967,0.0
2018-09-26,1.0,-0.3298293937435004,-0.5075184800022485,-0.0964332892998679,-0.4819978076955508,-0.3948396526040642,0.0
2018-09-27,1.0,-0.33080574044429467,-0.5040581908051788,-0.09739657932429018,-0.48170303591990343,-0.39447299688263543,0.0
2018-09-28,1.0,-0.3289414540959658,-0.5060119114507248,-0.09787616586133274,-0.4817114282503652,-0.39476345656815376,0.0
2018-10-01,1.0,-0.32847946476260087,-0.5074916369156383,-0.09822056053748629,-0.4816574368200601,-0.3952716948247267,0.0
2018-10-02,1.0,-0.3288499576151455,-0.530093246679853,-0.09222944334557785,-0.48078553263633794,-0.393698784967505,0.0
2018-10-03,1.0,-0.3292662212659948,-0.519363605480693,-0.08993885177216623,-0.4879402106216737,-0.4044275846450005,0.0
2018-10-04,1.0,-0.32989019696626665,-0.5177722436042563,-0.09030450532035318,-0.48856690061127456,-0.40344124971700246,0.0
2018-10-05,1.0,-0.3239083246412765,-0.5133481803061484,-0.08364107913060638,-0.49175429199672993,-0.4063654046739774,0.0
2018-10-08,1.0,-0.32249985930553215,-0.5106083628791717,-0.080843041251618,-0.49417524902920823,-0.4057909842984974,0.0
2018-10-09,1.0,-0.3232951507134615,-0.5107652472488813,-0.08237876783653711,-0.49348456277616726,-0.4045199966226675,0.0
2018-10-10,1.0,-0.32661517645732324,-0.5100631412786109,-0.08518434998308716,-0.496363738865712,-0.4005806742586537,0.0
2018-10-11,1.0,-0.2982504325853498,-0.5030898953555439,-0.04853195638441045,-0.48889010958828855,-0.4078112554588151,0.0
2018-10-12,1.0,-0.3017603897798788,-0.5561033612714248,-0.03106058408978858,-0.547402917548795,-0.46382065485339746,0.0
2018-10-15,1.0,-0.2889989285610865,-0.5778530680798077,-0.012336026409521327,-0.5488373439898068,-0.4677844380737265,0.0
2018-10-16,1.0,-0.2879731255972894,-0.5820856621586401,-0.009209116446091917,-0.5489849700269323,-0.46772465321015894,0.0
2018-10-17,1.0,-0.2771909791607194,-0.5559234941478732,-0.0,-0.5473023123037396,-0.47413645446759917,0.0
2018-10-18,1.0,-0.2761839513573692,-0.5543946789986012,-0.0009134766349804459,-0.5488852730438755,-0.4742656504239103,0.0
2018-10-19,1.0,-0.268024855999773,-0.5473427347274635,-0.0,-0.549612689044633,-0.4724626166898391,0.0
2018-10-22,1.0,-0.2680111186748355,-0.5433401406852735,-0.0,-0.5510835035171319,-0.4739618788291355,0.0
2018-10-23,1.0,-0.2656915648963362,-0.5443907980687304,-0.0,-0.554075546719682,-0.4759443339960238,0.0
2018-10-24,1.0,-0.26445718177174965,-0.5427047273140003,-0.0,-0.5542818228250384,-0.4760796776573407,0.0
2018-10-25,1.0,-0.24679718262991512,-0.5155010814708003,-0.0,-0.5536853197271365,-0.4570184681936665,0.0
2018-10-26,1.0,-0.2215209231196997,-0.5155567913248992,-0.0,-0.5834839427220909,-0.45994717086055886,0.0
2018-10-29,1.0,-0.198690925227424,-0.5290381628577768,-0.0,-0.5760483692034613,-0.46968604393166186,0.0
2018-10-30,1.0,-0.19200909443797484,-0.5291410192424999,-0.0,-0.5763600066544668,-0.47518438418455056,0.0
2018-10-31,1.0,-0.19335781133533944,-0.5208569141153411,-0.0,-0.5742207989399001,-0.4722137868205284,0.0
2018-11-01,1.0,-0.19598850701735,-0.5194220355840424,-0.0,-0.5747320145872472,-0.47259365675765275,0.0
2018-11-02,1.0,-0.19953832202039076,-0.5007832037154085,-0.0,-0.5790760944241391,-0.46868559179971975,0.0
2018-11-05,1.0,-0.20472049689440994,-0.49211870255348517,-0.0,-0.5816977225672877,-0.48201518288474804,0.0
2018-11-06,1.0,-0.2063531489760998,-0.49315559971297673,-0.0,-0.5802285146547442,-0.4801015620687752,0.0
2018-11-07,1.0,-0.20643683237185678,-0.49319605840624914,-0.0,-0.5803913991553729,-0.4801954235557151,0.0
2018-11-08,1.0,-0.19083363011259347,-0.4921513300276689,-0.0,-0.5741719858641755,-0.48231652192970437,0.0
2018-11-09,1.0,-0.19056619278494538,-0.49207001396992356,-0.0,-0.5744377790560714,-0.48212671542443913,0.0
2018-11-12,1.0,-0.1903007477757764,-0.47781234648763715,-0.0,-0.5809726543310955,-0.479995633426123,0.0
2018-11-13,1.0,-0.1786334056399132,-0.4736713665943601,-0.0,-0.5821312364425162,-0.477060737527115,0.0
