Date,BRO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1811973955851993,-0.3605344948841852,-0.08967989291953085,-0.3271852809727988,-0.3100569432155902,0.0
2018-09-25,1.0,-0.18036846050748506,-0.36241793689375523,-0.08768542286635925,-0.32884305217964155,-0.312305490561323,0.0
2018-09-26,1.0,-0.17986840008196536,-0.3627877325197514,-0.08421939391179618,-0.3312993784294529,-0.318640285967988,0.0
2018-09-27,1.0,-0.17989526411657558,-0.36275045537340617,-0.0842896174863388,-0.3312841530054645,-0.31864754098360654,0.0
2018-09-28,1.0,-0.1795350531660557,-0.3630774835492611,-0.08449645939115188,-0.33120061932193356,-0.31863202714087296,0.0
2018-10-01,1.0,-0.17993442025685402,-0.362669642043902,-0.08447946078877858,-0.33140541032880955,-0.3186082521176792,0.0
2018-10-02,1.0,-0.18000637755102042,-0.3639987244897959,-0.08427478134110787,-0.3311315597667639,-0.31833090379008744,0.0
2018-10-03,1.0,-0.17993213545580833,-0.36261984468584185,-0.08417025346724055,-0.331511466375168,-0.3190999977226663,0.0
2018-10-04,1.0,-0.1810545007512635,-0.36049264672403586,-0.08443746300596458,-0.3328324910076037,-0.3177389245549333,0.0
2018-10-05,1.0,-0.17138771619229196,-0.35487312179399877,-0.07576376594489082,-0.34059648644967994,-0.3270915611239729,0.0
2018-10-08,1.0,-0.17142273377375195,-0.3552407546141797,-0.07575654384889555,-0.3405525664600786,-0.3272264977638539,0.0
2018-10-09,1.0,-0.16977103398146465,-0.3560785026349264,-0.07114301290205342,-0.3434263129202253,-0.3310921315646011,0.0
2018-10-10,1.0,-0.16934054447120847,-0.35690587647139027,-0.0703313184565741,-0.34352133799936374,-0.3323183202290597,0.0
2018-10-11,1.0,-0.15306190891407873,-0.35356719654794644,-0.051646656382051105,-0.34015248060455655,-0.3373577481163503,0.0
2018-10-12,1.0,-0.15243685521166844,-0.35118729989327646,-0.04967093561010316,-0.33682408395588764,-0.3332888651725365,0.0
2018-10-15,1.0,-0.13853237538091953,-0.3779166759347821,-0.02891652023044242,-0.3395466779366951,-0.33945770402829367,0.0
2018-10-16,1.0,-0.1385354568911825,-0.37801405819023043,-0.02887267550493816,-0.33953198683156866,-0.3394430109440342,0.0
2018-10-17,1.0,-0.1346608614935797,-0.3691736468716158,-0.025880168850973547,-0.33882909364156744,-0.3415475059119942,0.0
2018-10-18,1.0,-0.13383721187208558,-0.3679418329686844,-0.026519923092223032,-0.34005171385002986,-0.34164290923556323,0.0
2018-10-19,1.0,-0.12888400219901044,-0.3636943375481034,-0.022649807586586038,-0.3417042330951072,-0.34207806487080816,0.0
2018-10-22,1.0,-0.13782243218666135,-0.3553795994410806,-0.0020183201366247476,-0.36265442366979395,-0.36005944063699075,0.0
2018-10-23,1.0,-0.1406974937287722,-0.35562856572024776,-0.007503274357892868,-0.35822585299797993,-0.35782627033986725,0.0
2018-10-24,1.0,-0.14196019765175213,-0.3800716260936579,-0.01319189446484428,-0.3679450564395485,-0.36345709234326123,0.0
2018-10-25,1.0,-0.12618751664742964,-0.3584746515138063,-0.01092071384178283,-0.37405664565391106,-0.3500177572582793,0.0
