Date,IWF,IWM,MTUM,POTX,SPY,VLUE,VXX
2020-05-27,-0.41808587191172947,-0.7156092588150635,-0.3096965699208444,1.0,-0.5549292396258095,-0.0,0.0
2020-05-28,-0.4405202782043176,-0.6847619907867402,-0.32767289916598924,1.0,-0.5578839610995695,-0.0,0.0
2020-05-29,-0.44670846394984326,-0.6711176754280203,-0.3332529539426091,1.0,-0.563148058837714,-0.0,0.0
2020-06-01,-0.4514057198254969,-0.6893783325254484,-0.3141056713523994,1.0,-0.5746788657295201,-0.0,0.0
2020-06-02,-0.4518700369764199,-0.6904588713099351,-0.3144814208643996,1.0,-0.5740740740740741,-0.0,0.0
2020-06-03,-0.45173511138051214,-0.6895287164721927,-0.31732080618275493,1.0,-0.5721472950447037,-0.0,0.0
2020-06-04,-0.45192569922123565,-0.6870094845610739,-0.3204448350049998,1.0,-0.5708311869337293,-0.0,0.0
2020-06-05,-0.44860492592929196,-0.688872731679239,-0.3180344754460905,1.0,-0.5739646763004029,-0.0,0.0
2020-06-08,-0.4494035002725126,-0.6677466238721008,-0.34263913280445707,1.0,-0.5681281414643008,-0.0,0.0
2020-06-09,-0.45739938080495357,-0.6879256965944273,-0.35256965944272445,1.0,-0.5980495356037152,-0.0,0.0
2020-06-10,-0.4553140096618358,-0.6919051158181593,-0.34906478384739253,1.0,-0.6004583178496222,-0.0,0.0
2020-06-11,-0.45682339094344304,-0.6884408102583163,-0.35253670321501585,1.0,-0.5994858452580066,-0.0,0.0
2020-06-12,-0.4551930430492167,-0.6760823979277167,-0.3616010854816825,1.0,-0.5908782533612927,-0.0,0.0
2020-06-15,-0.45512286868313134,-0.6751765177442728,-0.36210032991089325,1.0,-0.5908488268121974,-0.0,0.0
2020-06-16,-0.4589395807644883,-0.667940813810111,-0.35897040690505544,1.0,-0.5967632552404439,-0.0,0.0
2020-06-17,-0.4573777052612136,-0.6646245728534925,-0.35969584090139456,1.0,-0.5968660530123449,-0.0,0.0
2020-06-18,-0.4566027279164998,-0.6668308753348317,-0.35847778564610977,1.0,-0.5969703500723544,-0.0,0.0
2020-06-19,-0.4571798109198411,-0.6666769316047176,-0.35854402118683215,1.0,-0.5970498568041142,-0.0,0.0
2020-06-22,-0.45721060573399436,-0.6667385212330244,-0.35832845748775904,1.0,-0.5972038308748806,-0.0,0.0
2020-06-23,-0.45552236967700216,-0.6656402992887275,-0.3584690704190658,1.0,-0.5994703944329833,-0.0,0.0
2020-06-24,-0.4558583525789069,-0.6655581216320247,-0.35839876828329487,1.0,-0.599476520400308,-0.0,0.0
