Date,BOKF,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.4166040570999249,-0.0,-0.42747307788630107,-0.0,-0.0,-0.0,-0.05712496869521663,-0.0,-0.12534435261707988,-0.39949912346606564,-0.0,-0.0,-0.07132481843225645,-0.0,-0.007012271475081392,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.4179007404442665,-0.0,-0.4145237142285371,-0.0,-0.0,-0.0,-0.05846007604562737,-0.0,-0.13070342205323193,-0.40159095457274363,-0.0,-0.0,-0.07396938162897738,-0.0,-0.004377626575945567,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.4459380775170249,-0.0,-0.4177615756563125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16397053239158502,-0.36406673248778515,-0.0,-0.0,-0.10703526493000177,-0.0,-0.032809295967190705,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.40511183689627867,-0.0,-0.45964469517022954,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1592686064924782,-0.34921813143309577,-0.0,-0.0,-0.09246338083927157,-0.0,-0.008536223277909738,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.4012764062731905,-0.0,-0.4621035966951962,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15776975213971206,-0.3519022411319448,-0.0,-0.0,-0.09206946024835502,-0.0,-0.008509375154603472,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.39172617581876384,-0.0,-0.4571041615365673,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1582615119428712,-0.3618074365919724,-0.0,-0.0,-0.09177542477222358,-0.0,-0.0017729623245506033,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.3927094614551541,-0.0,-0.4576646647632175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16141577237373242,-0.3619178891404943,-0.0,-0.0,-0.08486757900955007,-0.0,-0.002805946637786748,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.3903349376289166,-0.0,-0.44499558000196443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1625085944406247,-0.37034672429034476,-0.0,-0.0,-0.08739318338080738,-0.0,-0.0,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.3873194458091776,-0.0,-0.4531787363663162,-0.0,-0.0,-0.0,-0.0,-0.0,-0.165888768792375,-0.36646359437948317,-0.0,-0.0,-0.08369362287511055,-0.0,-0.0,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.3712705824526911,-0.0,-0.4506758417301548,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16610960924059964,-0.3902678790857705,-0.0,-0.0,-0.07928237896289014,-0.0,-0.0,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.366906122048692,-0.0,-0.4588471817000515,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16828891558584844,-0.38754995464241054,-0.0,-0.0,-0.07014489911001054,-0.0,-0.0,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.3615969301158586,-0.0,-0.4694364499544929,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15504390819865693,-0.4215433055371067,-0.0,-0.0,-0.05222246820652842,-0.0,-0.0,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.36104419645051866,-0.0,-0.4684872916769087,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15456467233665996,-0.42232436950002455,-0.0,-0.0,-0.05166904281992036,-0.0,-0.0,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.3685137614678899,-0.0,-0.4592293577981651,-0.0,-0.0,-0.0,-0.0,-0.0,-0.150434250764526,-0.4190336391437309,-0.0,-0.0,-0.049247706422018346,-0.0,-0.0,-0.0,-0.0
