Date,FRC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.16435786064920715,-0.6303682952530263,-0.0776684057673032,-0.3366830296332468,-0.3610218715464289,0.0
2018-09-25,1.0,-0.16364338093400232,-0.6320854239032548,-0.07587803936703975,-0.3382735108709636,-0.36312877910716584,0.0
2018-09-26,1.0,-0.16376781762980497,-0.6323007255699068,-0.07623629907888643,-0.3381361601399681,-0.3625019297071991,0.0
2018-09-27,1.0,-0.1629139072847682,-0.6501753019088431,-0.07256200493442409,-0.3436696532917803,-0.3677704194260486,0.0
2018-09-28,1.0,-0.15959664391057377,-0.6570691542029288,-0.07311480535723591,-0.3458491844285788,-0.37002970451821354,0.0
2018-10-01,1.0,-0.15999166167235584,-0.6565390728821952,-0.07316882507752039,-0.3460405972327175,-0.3699872319357949,0.0
2018-10-02,1.0,-0.16001044113808405,-0.6664578439049856,-0.07039937353171496,-0.3449229966066302,-0.3684938658313756,0.0
2018-10-03,1.0,-0.16064802717533316,-0.670054873268879,-0.07099555787823361,-0.34431669715181606,-0.36697151816043905,0.0
2018-10-04,1.0,-0.15921184342236974,-0.6845002897634477,-0.07020178072809652,-0.34329065908013273,-0.37703492966650864,0.0
2018-10-05,1.0,-0.151270207852194,-0.6825267688431661,-0.06372034432080621,-0.3458429561200924,-0.3810623556581986,0.0
2018-10-08,1.0,-0.15178829527238327,-0.6844664021233544,-0.06414737340025754,-0.34570204714477176,-0.38180958137334775,0.0
2018-10-09,1.0,-0.15042317194974505,-0.6851180150344319,-0.06068969142616832,-0.3476580980917836,-0.38453451085528045,0.0
2018-10-10,1.0,-0.15141640826194355,-0.6841593524990803,-0.06196457665422821,-0.348215693488201,-0.38206233247490407,0.0
2018-10-11,1.0,-0.12006574723270926,-0.6879574697588412,-0.025939337904820607,-0.3406014844492385,-0.39366155584662404,0.0
2018-10-12,1.0,-0.11841199418649125,-0.6883143374384866,-0.023279532879471685,-0.33328233764246923,-0.38647084321374847,0.0
2018-10-15,1.0,-0.12764321414840446,-0.679277201076509,-0.03273100089709086,-0.3364090734332949,-0.38708189158016143,0.0
2018-10-16,1.0,-0.13287325539475717,-0.6698254107225627,-0.04212803213678735,-0.339573569552454,-0.39068857187001077,0.0
2018-10-17,1.0,-0.12125695046676528,-0.6433199000153037,-0.024741111054430442,-0.3487221343671887,-0.41258990970769777,0.0
2018-10-18,1.0,-0.11973035773561781,-0.6413962158159489,-0.026070525751346937,-0.35252661951331615,-0.4136812808007558,0.0
2018-10-19,1.0,-0.11379117527450182,-0.6397163481089875,-0.021858479056527044,-0.3526840178934526,-0.4136335908906059,0.0
2018-10-22,1.0,-0.11553612727781026,-0.6355757745190231,-0.01781584364754619,-0.3561135537652172,-0.4164485221236689,0.0
