Date,CUE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.211926441706838,-2.7402249598286024,-0.053829673272629885,-2.0298161042670952,-1.891269416175683,0.0
2018-09-25,1.0,-1.216184867951463,-2.7350107066381155,-0.0614739471805853,-2.0252498215560313,-1.8841898643825838,0.0
2018-09-26,1.0,-1.2160449759057648,-2.735320364090666,-0.06050330180260574,-2.0260574692129216,-1.8858647153310724,0.0
2018-09-27,1.0,-1.2206681514476614,-2.715902004454343,-0.06530066815144765,-2.0237861915367485,-1.883118040089087,0.0
2018-09-28,1.0,-1.2177591734948343,-2.716601353758461,-0.06688635553972212,-2.022532953330958,-1.8824367652297824,0.0
2018-10-01,1.0,-1.2177864908216005,-2.7186775975761894,-0.0682587774015327,-2.0228123329174834,-1.8835323471751917,0.0
2018-10-02,1.0,-1.2191683026949847,-2.731215420310548,-0.06782081028020703,-2.0223987149741207,-1.8830983401749064,0.0
2018-10-03,1.0,-1.2177750044571225,-2.7233018363344623,-0.06828311642003922,-2.0213050454626496,-1.8836691032269566,0.0
2018-10-04,1.0,-1.247435666726651,-2.724221702357387,-0.07351088716933597,-2.0632535540759402,-1.8892387979125427,0.0
2018-10-05,1.0,-1.210756332500892,-2.7014805565465574,-0.033535497681056015,-2.0722440242597218,-1.9011773100249731,0.0
2018-10-08,1.0,-1.2026294749933375,-2.688016345385094,-0.022652571733143823,-2.0748867371413344,-1.8951763347250599,0.0
2018-10-09,1.0,-1.2362389460386212,-2.7293809781627867,-0.05107381339108464,-2.0984479335859954,-1.9084100342898394,0.0
2018-10-10,1.0,-1.2362339772522115,-2.7317205271709692,-0.049196605885538904,-2.0997472467954506,-1.9100920743816574,0.0
2018-10-11,1.0,-1.1322564855604502,-3.061184532550171,-0.0,-2.3259911894273126,-2.270093000489476,0.0
2018-10-12,1.0,-1.1050491679273826,-2.978158093797277,-0.0,-2.2174735249621786,-2.1545953101361572,0.0
2018-10-15,1.0,-1.0236567378603583,-3.12498802796667,-0.0,-2.235130734603965,-2.193946939948281,0.0
2018-10-16,1.0,-1.020197185794965,-3.1276921604288312,-0.0,-2.2326026610510197,-2.1916339619029386,0.0
2018-10-17,1.0,-0.947753014249178,-2.9427292656192914,-0.0,-2.1294300328827185,-2.114176105224699,0.0
2018-10-18,1.0,-0.9563779961428964,-2.9638166957480028,-0.0,-2.1371108458076957,-2.1261823858940216,0.0
