Date,IWF,IWM,MEN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.0820946164286176,-0.23628255671169135,1.0,-0.0,-0.1587442642021586,-0.13861242163769147,0.0
2018-09-25,-0.08236263469958155,-0.2361503788551949,1.0,-0.0,-0.15865066158295232,-0.13842351002471848,0.0
2018-09-26,-0.08172369760938787,-0.23581230704575942,1.0,-0.0,-0.15890539382869703,-0.1399130392616419,0.0
2018-09-27,-0.08390557593188024,-0.23208544053254915,1.0,-0.0,-0.15950622869237854,-0.14024656250504922,0.0
2018-09-28,-0.08593724702910988,-0.23172943043098146,1.0,-0.0,-0.16039568694751158,-0.14095133244827251,0.0
2018-10-01,-0.0856790963748035,-0.23297194807720356,1.0,-0.0,-0.16050042944884696,-0.14142641839661627,0.0
2018-10-02,-0.08530313600155746,-0.23648988465095153,1.0,-0.0,-0.15983387141257968,-0.14072259446129884,0.0
2018-10-03,-0.0849887830412589,-0.22942744741034563,1.0,-0.0,-0.1640114445492083,-0.14721851936144617,0.0
2018-10-04,-0.08578626574563186,-0.2281511580658269,1.0,-0.0,-0.1649573344169037,-0.14646078829744005,0.0
2018-10-05,-0.08835687780743441,-0.2313163205520474,1.0,-0.0,-0.16371004491895058,-0.1441149664735369,0.0
2018-10-08,-0.0878627753841151,-0.23068043248516382,1.0,-0.0,-0.16362897325420697,-0.1437118933420047,0.0
2018-10-09,-0.09478176971758434,-0.23464865660414386,1.0,-0.0,-0.16420009484718157,-0.14168206570620268,0.0
2018-10-10,-0.09579076420106253,-0.2339844707805476,1.0,-0.0,-0.16472415202288515,-0.1401716387413159,0.0
2018-10-11,-0.057597201240359386,-0.23015027431024884,1.0,-0.0,-0.15329569849725688,-0.14916116720998646,0.0
2018-10-12,-0.05610025220680958,-0.2270018915510719,1.0,-0.0,-0.1487704918032787,-0.1444199243379571,0.0
2018-10-15,-0.04908862350722816,-0.23202388434946578,1.0,-0.0,-0.14654305468258957,-0.14366750471401635,0.0
2018-10-16,-0.053199035324159455,-0.22808593811572955,1.0,-0.0,-0.14897306158477955,-0.1460254409608928,0.0
2018-10-17,-0.04599990663077139,-0.2141423258274848,1.0,-0.0,-0.14707209660602852,-0.14892391964021723,0.0
2018-10-18,-0.04557832656427493,-0.21327980330828,1.0,-0.0,-0.14814123212423946,-0.14910601745950236,0.0
2018-10-19,-0.039858759675578996,-0.20731180806118357,1.0,-0.0,-0.14726925093286458,-0.14750053967372867,0.0
2018-10-22,-0.04007651251041249,-0.20746305494708914,1.0,-0.0,-0.14740998981889986,-0.14765680436861753,0.0
2018-10-23,-0.04130357666147416,-0.2074895507194966,1.0,-0.0,-0.14641331338587535,-0.14712278482964974,0.0
2018-10-24,-0.04066517822773116,-0.20632843174994228,1.0,-0.0,-0.1459234737085226,-0.1468473323581492,0.0
2018-10-25,-0.02782525261611346,-0.18783544721297715,1.0,-0.0,-0.1490210188600042,-0.13452370243770803,0.0
2018-10-26,-0.022093525286962738,-0.18367103872322052,1.0,-0.0,-0.15126025398621387,-0.13175720942696778,0.0
2018-10-29,-0.015543121058708588,-0.1851703822127483,1.0,-0.0,-0.14711194007756756,-0.13247180033750777,0.0
2018-10-30,-0.01526141275386346,-0.18516490023091953,1.0,-0.0,-0.1471223873527148,-0.132704719047901,0.0
2018-10-31,-0.01646108728649955,-0.17987827342794405,1.0,-0.0,-0.14620451832530174,-0.13115817085930706,0.0
2018-11-01,-0.011689535363052823,-0.18342559331017022,1.0,-0.0,-0.14594252399740887,-0.13116129792120607,0.0
2018-11-02,-0.011581134243911065,-0.1844730289233671,1.0,-0.0,-0.1458692481103302,-0.13148860304409965,0.0
2018-11-05,-0.012520277245244063,-0.18239197758442707,1.0,-0.0,-0.14599616575726293,-0.1338003244359239,0.0
2018-11-06,-0.013994779608028196,-0.18353954373184292,1.0,-0.0,-0.14494698500243325,-0.13220568934243707,0.0
2018-11-07,-0.013736385208330263,-0.1836283511916167,1.0,-0.0,-0.1444236466270689,-0.13207269082816253,0.0
2018-11-08,-0.008588849152840475,-0.1829307615641672,1.0,-0.0,-0.14175998123937386,-0.1323796681714252,0.0
2018-11-09,-0.007877480966421687,-0.1833971453299887,1.0,-0.0,-0.14308556675321626,-0.13256758937346888,0.0
2018-11-12,-0.007911438682694276,-0.174870579977187,1.0,-0.0,-0.14787517182884385,-0.13171594864145536,0.0
2018-11-13,-0.0,-0.17283914742760834,1.0,-0.0,-0.14982492335856568,-0.13025411539076232,0.0
2018-11-14,-0.0,-0.1734597432057117,1.0,-0.0,-0.1499760073286705,-0.13066554216166695,0.0
2018-11-15,-0.0,-0.17456996745699674,1.0,-0.0,-0.15254532775453275,-0.1256828219432822,0.0
2018-11-16,-0.0,-0.17031182015953591,1.0,-0.0,-0.15174764321972445,-0.1282668600435098,0.0
2018-11-19,-0.0,-0.17102434489570623,1.0,-0.0,-0.15227180291673928,-0.12926326186741036,0.0
2018-11-20,-0.0,-0.16748611753817677,1.0,-0.0,-0.14936661267931514,-0.12923704303563166,0.0
