Date,HQL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3139627488760437,-0.4696981374438022,-0.14157996146435453,-0.3463840719332049,-0.29741811175337185,0.0
2018-09-25,1.0,-0.316181570632209,-0.46815834767642,-0.14488658257764533,-0.34490199604387695,-0.2947825416805816,0.0
2018-09-26,1.0,-0.31716906946264745,-0.4694575077737518,-0.14689178423663043,-0.3445378151260504,-0.2917790969598849,0.0
2018-09-27,1.0,-0.3214891757083355,-0.46151077286985137,-0.14940607805831232,-0.34596595875970587,-0.29269296035378206,0.0
2018-09-28,1.0,-0.32161682651513207,-0.4613663829677818,-0.14952045460389293,-0.3460183590033684,-0.29276696407909286,0.0
2018-10-01,1.0,-0.32243711743223086,-0.4605987346329921,-0.14937503214855202,-0.34661282855820175,-0.29286044956535157,0.0
2018-10-02,1.0,-0.3223665594855305,-0.4615305466237942,-0.1492733118971061,-0.34641800643086823,-0.2927588424437299,0.0
2018-10-03,1.0,-0.32281984603105124,-0.4652025026390999,-0.14982363088648007,-0.3457349571307191,-0.29117639486083574,0.0
2018-10-04,1.0,-0.32262882748319643,-0.46558162293013317,-0.14995750817645695,-0.3455229069557828,-0.2915711673662795,0.0
2018-10-05,1.0,-0.32720559758333123,-0.4712762386718649,-0.15055123802638715,-0.344401125713253,-0.2885027497353541,0.0
2018-10-08,1.0,-0.3267122404230621,-0.470321166000258,-0.14959370566232427,-0.34495034180317297,-0.2880691345285696,0.0
2018-10-09,1.0,-0.32755417956656346,-0.47040763673890607,-0.15134158926728586,-0.34404024767801855,-0.2866357069143447,0.0
2018-10-10,1.0,-0.3280028887570607,-0.4698357019421732,-0.15186608547625804,-0.3441747698021717,-0.2853679296381316,0.0
2018-10-11,1.0,-0.3197620992444353,-0.4690371656115989,-0.13860526853175414,-0.3401317132938534,-0.2850214416989994,0.0
2018-10-12,1.0,-0.32570965946465613,-0.4652127713403835,-0.13813692253200427,-0.32917573242928705,-0.271745180387593,0.0
2018-10-15,1.0,-0.3321329850632719,-0.45801739659675905,-0.14442218446478838,-0.330459260010651,-0.270940582760632,0.0
2018-10-16,1.0,-0.33166810366688637,-0.4596541055941573,-0.14317593954455546,-0.33047623877871884,-0.2708829943703403,0.0
2018-10-17,1.0,-0.33071782930039484,-0.45719854206742944,-0.14214842563531438,-0.3300344234079174,-0.2710084033613445,0.0
2018-10-18,1.0,-0.3307094586043686,-0.4571869700574553,-0.14211951707205953,-0.33007669138677265,-0.2709762332633071,0.0
2018-10-19,1.0,-0.3267438932258877,-0.4521782926215059,-0.13782422563585997,-0.33145303450012586,-0.27005791991941575,0.0
2018-10-22,1.0,-0.3272397643148512,-0.4503701465478169,-0.13624918164878883,-0.3328045525507378,-0.2713149015460543,0.0
2018-10-23,1.0,-0.3257311713896045,-0.4536040814264788,-0.1298429054907309,-0.34012729201394154,-0.2763044905793807,0.0
2018-10-24,1.0,-0.3262833779213568,-0.4526273282519812,-0.12780778355459088,-0.3404926555953763,-0.2766392408258038,0.0
2018-10-25,1.0,-0.32564406054043166,-0.4516860157646881,-0.1262434208869526,-0.34035105391724796,-0.2744214157999446,0.0
2018-10-26,1.0,-0.3190259285213735,-0.446916608269096,-0.11622785063569926,-0.3482330563619982,-0.2723495845429973,0.0
2018-10-29,1.0,-0.31505242136794803,-0.45007488766849724,-0.11203195207189216,-0.34560659011482775,-0.27348976535197206,0.0
2018-10-30,1.0,-0.3157750205956512,-0.45000873754899273,-0.11248970217440149,-0.3454577227450883,-0.2726864218488654,0.0
2018-10-31,1.0,-0.3181411530815109,-0.43899105367793245,-0.11366799204771373,-0.34430914512922467,-0.2699801192842943,0.0
2018-11-01,1.0,-0.3165151289312863,-0.4409002832016694,-0.11198887067123764,-0.3445620311024991,-0.27025885626273166,0.0
2018-11-02,1.0,-0.31615709669400943,-0.4423813074819786,-0.11225453641561024,-0.34424558786974896,-0.2706437981605767,0.0
2018-11-05,1.0,-0.3143978927488693,-0.44711992445703497,-0.11224591223100244,-0.3445902291138611,-0.2666119974156354,0.0
2018-11-06,1.0,-0.3126911124922312,-0.44601615910503417,-0.11316345556246116,-0.345705407085146,-0.2684400248601616,0.0
2018-11-07,1.0,-0.3122405865539953,-0.4458555983596371,-0.1139306573878464,-0.34519696781409226,-0.2681744749596123,0.0
2018-11-08,1.0,-0.30682015100878823,-0.44691174650328014,-0.10825597227379627,-0.3432850600321822,-0.2703057309072905,0.0
2018-11-09,1.0,-0.30737989103516594,-0.44715205547300646,-0.10794947994056463,-0.34323922734026746,-0.270752847944527,0.0
2018-11-12,1.0,-0.30739174518386625,-0.44394984791156616,-0.10777258451418256,-0.3440908079234365,-0.2697529490318273,0.0
2018-11-13,1.0,-0.3043649620652281,-0.44368903340230564,-0.10271947975169968,-0.34493546162183464,-0.2675879396984925,0.0
