Date,GSX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-03,1.0,-1.7683301343570057,-2.40383877159309,-5.876775431861804,-5.585988483685221,-2.5589251439539344,0.0
2020-02-04,1.0,-1.6806944706548406,-2.3227023966786184,-5.781090771843743,-5.524627288167578,-2.5623702585393473,0.0
2020-02-05,1.0,-1.4641766924043813,-2.238822050637457,-5.577123361465254,-5.280660800861914,-2.3957622553420723,0.0
2020-02-06,1.0,-1.6402193784277879,-2.2316270566727607,-5.879890310786107,-5.3020109689213895,-2.2277879341864715,0.0
2020-02-07,1.0,-1.6381266008049762,-2.229784120014636,-5.888583973655323,-5.3104646908159525,-2.2279546286132454,0.0
2020-02-10,1.0,-1.6666056054222387,-2.1458142516944494,-5.92929107895219,-5.347316358307382,-2.22916285033889,0.0
2020-02-11,1.0,-1.6090579710144928,-2.1275362318840583,-5.8443840579710145,-5.294202898550725,-2.2409420289855073,0.0
2020-02-12,1.0,-1.7457627118644068,-2.1830127594743858,-6.186631117882308,-5.647114835269472,-2.281470196153114,0.0
2020-02-13,1.0,-1.7061994609164421,-2.2117828263380823,-6.332306507508664,-5.716596072391221,-2.2860993453985365,0.0
2020-02-14,1.0,-1.7052368117058143,-2.2106276472853295,-6.332306507508664,-5.718521370812476,-2.286291875240662,0.0
2020-02-18,1.0,-1.6936813186813187,-2.2725667189952903,-6.421114599686029,-5.8332025117739414,-2.4024725274725274,0.0
2020-02-19,1.0,-1.7790437436419126,-2.384944048830112,-6.701525940996948,-6.067548321464903,-2.4128179043743643,0.0
2020-02-20,1.0,-2.112465255505666,-2.564036775710926,-6.88304468676502,-6.219799016463545,-2.6018815480008555,0.0
2020-02-21,1.0,-2.064124414145718,-2.5671069450362163,-6.875585854282062,-6.212611844908393,-2.5843630166169578,0.0
2020-02-24,1.0,-1.8130801687763713,-2.568354430379747,-6.9232067510548525,-6.209071729957807,-2.5835443037974684,0.0
2020-02-25,1.0,-1.7026321514030893,-3.0578638242331957,-7.544268000870133,-5.9121165977811625,-2.5364368066130085,0.0
2020-02-26,1.0,-1.6086699507389162,-2.6072906403940883,-6.971428571428571,-5.450640394088669,-2.0664039408866994,0.0
2020-02-27,1.0,-1.6888323880305103,-2.5386270291414044,-6.880891844318405,-5.441423821631137,-2.008018775669861,0.0
2020-02-28,1.0,-1.3501344086021505,-2.7271505376344085,-5.721942204301075,-4.294858870967742,-1.7071572580645162,0.0
2020-03-02,1.0,-1.4147963424771404,-2.596342477140482,-5.631920199501247,-4.291604322527015,-1.6904405652535328,0.0
2020-03-03,1.0,-1.180249576336466,-2.9724233554151906,-4.837621321830227,-3.8739793560314286,-1.5418271452780774,0.0
2020-03-04,1.0,-0.9077980934521018,-3.348648226285357,-5.273480231286139,-3.8032505078918577,-1.294108454446007,0.0
2020-03-05,1.0,-0.7838893898406972,-3.8482116020438832,-4.765253982566876,-3.5150285542530804,-1.1160204388337842,0.0
2020-03-06,1.0,-0.6922966781214204,-3.7077605956471937,-4.688144329896907,-3.2424112256586484,-0.9876861397479955,0.0
2020-03-09,1.0,-0.6640438386960799,-3.6076998735422228,-4.664465364619924,-3.185330897850218,-0.9291836447941548,0.0
