Date,IWF,IWM,MTUM,NYCB,SPY,VLUE,VXX
2018-09-24,-0.18047471122236633,-0.7369182977953374,-0.0,1.0,-0.5183219229725248,-0.5801489881472993,0.0
2018-09-25,-0.17762065785428835,-0.7596679987703658,-0.0,1.0,-0.5360897632954196,-0.6007070396557025,0.0
2018-09-26,-0.17820473409160775,-0.7602828158622811,-0.0,1.0,-0.5360590224408239,-0.5995388871810637,0.0
2018-09-27,-0.1782826574845513,-0.7604759123189965,-0.0,1.0,-0.5360777200479602,-0.5995634396040213,0.0
2018-09-28,-0.17576429297127552,-0.7650318647824882,-0.0,1.0,-0.5371755795695945,-0.6007204211692989,0.0
2018-10-01,-0.17552190940207837,-0.7683554842887539,-0.0,1.0,-0.5376977396774492,-0.6020537173517531,0.0
2018-10-02,-0.17557770030543302,-0.7716039860549779,-0.0,1.0,-0.5368833492734397,-0.6011168358374727,0.0
2018-10-03,-0.17494833595509082,-0.7633632522130718,-0.0,1.0,-0.5398044477344931,-0.6063045556892138,0.0
2018-10-04,-0.1738968765493307,-0.7733019335647,-0.0,1.0,-0.5384853743182945,-0.6129771938522558,0.0
2018-10-05,-0.1528593508500773,-0.76516228748068,-0.0,1.0,-0.5472024729520866,-0.6259659969088099,0.0
2018-10-08,-0.1497423555185288,-0.7617328519855596,-0.0,1.0,-0.5491992964917153,-0.6249190039803758,0.0
2018-10-09,-0.14279081285210177,-0.7639447780598031,-0.0,1.0,-0.5550362161827525,-0.6336284281557605,0.0
2018-10-10,-0.1417776401362651,-0.7650665840817591,-0.0,1.0,-0.5550325178073706,-0.6350572932796531,0.0
2018-10-11,-0.06832092139777489,-0.7598818102330629,-0.0,1.0,-0.5351705007989869,-0.6517019929447945,0.0
2018-10-12,-0.06072874493927125,-0.7593942120257909,-0.0,1.0,-0.5303343829659619,-0.6484330484330484,0.0
2018-10-15,-0.019795407224116598,-0.8111288813784362,-0.0,1.0,-0.5293762636168864,-0.6573221883581278,0.0
2018-10-16,-0.017651318568583672,-0.8145555488504013,-0.0,1.0,-0.528604188039346,-0.6565083579747752,0.0
2018-10-17,-0.0,-0.7793203912358414,-0.0,1.0,-0.5258197817879121,-0.6677765555786782,0.0
2018-10-18,-0.0,-0.7775596990513575,-0.0,1.0,-0.5280280726796919,-0.6682130430903738,0.0
2018-10-19,-0.0,-0.7640492573014795,-0.0,1.0,-0.5234031243540147,-0.6656232466113458,0.0
