Date,CYD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6022033049574362,-1.4239359038557837,-0.0,-1.0422133199799701,-0.9391086629944918,0.0
2018-09-25,1.0,-0.6073591989987484,-1.4220775969962451,-0.0,-1.0410012515644556,-0.9358197747183981,0.0
2018-09-26,1.0,-0.606620592948718,-1.4219250801282053,-0.0,-1.0415164262820513,-0.9379507211538463,0.0
2018-09-27,1.0,-0.6119589692269202,-1.4112084063047285,-0.0,-1.042431823867901,-0.9382036527395546,0.0
2018-09-28,1.0,-0.6120284198939258,-1.4109876913839685,-0.0,-1.042279595717002,-0.9382067447213049,0.0
2018-10-01,1.0,-0.6151302605210421,-1.4102705410821643,-0.0,-1.0450901803607215,-0.9395290581162324,0.0
2018-10-02,1.0,-0.6164980466793549,-1.4051888209956924,-0.0,-1.0460282480216367,-0.9407993589101473,0.0
2018-10-03,1.0,-0.6160517345097253,-1.3903649488670544,-0.0,-1.0536394626027672,-0.9529777421295368,0.0
2018-10-04,1.0,-0.6162843230761508,-1.3942071181165603,-0.0,-1.0532603784950556,-0.9560765021836253,0.0
2018-10-05,1.0,-0.5888639200998751,-1.380823970037453,-0.0,-1.0591760299625468,-0.9648938826466916,0.0
2018-10-08,1.0,-0.6089325728254227,-1.4157669586473824,-0.0,-1.078936646974944,-0.98905072316154,0.0
2018-10-09,1.0,-0.611046008050135,-1.4171294645131707,-0.0,-1.078921893310236,-0.9879757476945025,0.0
2018-10-10,1.0,-0.6170687418936446,-1.4505836575875486,-0.0,-1.0993514915693905,-1.021011673151751,0.0
2018-10-11,1.0,-0.4773668866042658,-1.4751163623344075,-0.0,-1.0852130325814537,-1.0771316045215078,0.0
2018-10-12,1.0,-0.48990612698092256,-1.468305238720097,-0.0,-1.0515292217623902,-1.0371454527102049,0.0
2018-10-15,1.0,-0.45822861164170103,-1.491655775610737,-0.0,-1.042475118126068,-1.0342816929727556,0.0
2018-10-16,1.0,-0.4496951987505668,-1.511713436445161,-0.0,-1.0424706534334223,-1.0341578920852437,0.0
2018-10-17,1.0,-0.4088130914826498,-1.4400138012618298,-0.0,-1.0321865141955837,-1.0479593848580442,0.0
2018-10-18,1.0,-0.40948998717569296,-1.4424879155568708,-0.0,-1.0318141461970995,-1.0486337180625431,0.0
2018-10-19,1.0,-0.37865168539325844,-1.4231069858329264,-0.0,-1.0352711284807035,-1.0481680508060578,0.0
2018-10-22,1.0,-0.37884709330727895,-1.4103566194430877,-0.0,-1.0418172936003909,-1.0541768441621886,0.0
2018-10-23,1.0,-0.3819895492503784,-1.4101186697270107,-0.0,-1.038970552327001,-1.0524979245006592,0.0
2018-10-24,1.0,-0.3780291579306646,-1.4050416890145792,-0.0,-1.0388609878589887,-1.053927544005071,0.0
2018-10-25,1.0,-0.3365878725590956,-1.328319162851537,-0.0,-1.0102307764178267,-0.9964963094459497,0.0
2018-10-26,1.0,-0.3171652093879429,-1.302853198343304,-0.0,-1.004141739530603,-0.9778186838472158,0.0
2018-10-29,1.0,-0.27676600441501104,-1.3316317144959529,-0.0,-0.9932395143487859,-0.9973325974981604,0.0
2018-10-30,1.0,-0.261807312025753,-1.3323982524718325,-0.0,-0.9943895148309957,-1.010117268337549,0.0
2018-10-31,1.0,-0.26665149100842245,-1.2996130207147734,-0.0,-0.9872069201001593,-0.999226041429547,0.0
2018-11-01,1.0,-0.2304566210045662,-1.33675799086758,-0.0,-0.9926484018264841,-1.006392694063927,0.0
