Date,AZO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4197801433242886,-0.856014749878244,-0.01234954428442218,-0.6295832463647116,-0.5610171849996521,0.0
2018-09-25,1.0,-0.4201996313428164,-0.8553194449274858,-0.013250791221785553,-0.6289778457900045,-0.5601850241713907,0.0
2018-09-26,1.0,-0.42221990112109187,-0.8582271429566187,-0.016677111621753362,-0.6289255622867489,-0.5556019775781631,0.0
2018-09-27,1.0,-0.4271486279426104,-0.8486906254352974,-0.019779913636996795,-0.6303454520128151,-0.5564145424153781,0.0
2018-09-28,1.0,-0.4264920955498294,-0.84891009123198,-0.020300856605613204,-0.6300926248345985,-0.5563757921860855,0.0
2018-10-01,1.0,-0.42777023025742855,-0.8478419897585955,-0.020238966105827847,-0.6310307590483157,-0.5565541505556136,0.0
2018-10-02,1.0,-0.42785480387375463,-0.8475928377342716,-0.020866717759353445,-0.6307740542046959,-0.5565038667874312,0.0
2018-10-03,1.0,-0.42774546341123615,-0.8462610149420083,-0.021002403260074538,-0.6309428442060535,-0.5570338894500366,0.0
2018-10-04,1.0,-0.4300682261208577,-0.8412698412698414,-0.021755778334725705,-0.6338415483152325,-0.5540239487607909,0.0
2018-10-05,1.0,-0.4169413887635771,-0.8352361453308811,-0.0060728042474928,-0.6452094249921921,-0.5667140923760281,0.0
2018-10-08,1.0,-0.41573775046011735,-0.8337326804875508,-0.0,-0.654269541966177,-0.5688787026426364,0.0
2018-10-09,1.0,-0.4071668063704945,-0.8388516345347862,-0.0,-0.6640821458507963,-0.5825300363229952,0.0
2018-10-10,1.0,-0.40696374938883845,-0.8389327373053014,-0.0,-0.66410560871691,-0.5823496542571769,0.0
2018-10-11,1.0,-0.3279831332675893,-0.8332369843914714,-0.0,-0.6421940354337402,-0.5971367361512565,0.0
2018-10-12,1.0,-0.33325501778881655,-0.8259381083439619,-0.0,-0.6229442169564342,-0.5742767000067128,0.0
2018-10-15,1.0,-0.31610484383891807,-0.8396545375422623,-0.0,-0.618618819669936,-0.5731597094366151,0.0
2018-10-16,1.0,-0.3078859905327827,-0.8579581696713331,-0.0,-0.6184577164534864,-0.57283378655118,0.0
2018-10-17,1.0,-0.2810662747194014,-0.8192143238909674,-0.0,-0.6322153928380545,-0.6079302512025655,0.0
2018-10-18,1.0,-0.3078198299883602,-0.8971464851327997,-0.0,-0.6670664174103207,-0.6552149835984622,0.0
2018-10-19,1.0,-0.2851178260561885,-0.8925412214280659,-0.0,-0.6890170547024272,-0.6716439034746302,0.0
