Date,IWF,IWM,MTUM,SPY,VEEV,VLUE,VXX
2018-09-24,-0.7269814502529511,-1.0029510961214165,-0.40113827993254636,-0.6671585160202361,1.0,-0.41762225969645866,0.0
2018-09-25,-0.73045788009107,-1.0006324310650139,-0.40635804030693984,-0.6650223458976305,1.0,-0.41373640273210216,0.0
2018-09-26,-0.7300937262517944,-1.0011821329055137,-0.40306510174786797,-0.6675673393565821,1.0,-0.420037152748459,0.0
2018-09-27,-0.732368820651257,-0.9938417411844103,-0.40501096676227427,-0.667243124683651,1.0,-0.41952083684832125,0.0
2018-09-28,-0.7360060833931816,-0.9932829200287271,-0.4048413670736344,-0.6691310041823328,1.0,-0.4213172236069452,0.0
2018-10-01,-0.7352804232804233,-0.9980529100529101,-0.40546031746031747,-0.6701798941798942,1.0,-0.4237883597883598,0.0
2018-10-02,-0.7375731931444202,-1.0449202889259306,-0.39411035602855066,-0.672351156131128,1.0,-0.4250544941659187,0.0
2018-10-03,-0.738276570255006,-1.049632038336471,-0.3949597809344515,-0.6719578983398938,1.0,-0.4237977066575389,0.0
2018-10-04,-0.739095107765994,-1.046570304481697,-0.39535579883681155,-0.6730670543961683,1.0,-0.4222972972972973,0.0
2018-10-05,-0.7554451166810717,-1.0698357821953328,-0.398876404494382,-0.6773984442523768,1.0,-0.41996542783059637,0.0
2018-10-08,-0.753451251078516,-1.0659620362381363,-0.3940897325280414,-0.681665228645384,1.0,-0.4189387402933563,0.0
2018-10-09,-0.7617561652147532,-1.0716421791704591,-0.40623239284011614,-0.680492350366229,1.0,-0.4139036969618169,0.0
2018-10-10,-0.7616838636954826,-1.0728344749848262,-0.40540189022804124,-0.6806988641290211,1.0,-0.41472296887193266,0.0
2018-10-11,-0.7221332883983486,-1.0663914398854157,-0.3523464487319909,-0.6600387564242987,1.0,-0.41174488162439965,0.0
2018-10-12,-0.7402056705108456,-1.0615762521337275,-0.35176318747658103,-0.6336650151963029,1.0,-0.3762021732794871,0.0
2018-10-15,-0.7314610942628058,-1.0773544929583316,-0.33795853932117487,-0.6322961239665988,1.0,-0.37534792904324704,0.0
2018-10-16,-0.7324827528883716,-1.0745158340952539,-0.3404122683068739,-0.6326157426647826,1.0,-0.3759039148865431,0.0
2018-10-17,-0.720534579592506,-1.0449719181732464,-0.3326774074529578,-0.6254663223055795,1.0,-0.3758455294551715,0.0
2018-10-18,-0.719667158550582,-1.043449745859977,-0.3334563043121823,-0.6267420888670274,1.0,-0.37575832103623547,0.0
2018-10-19,-0.7119202603742881,-1.0342961757526445,-0.32457282343368593,-0.6277461350691619,1.0,-0.3698128559804719,0.0
2018-10-22,-0.7109880714896388,-1.0368440337092375,-0.32793225583194235,-0.6261450148597484,1.0,-0.36925456988152916,0.0
2018-10-23,-0.71127935848903,-1.0365530996865713,-0.32873366711442176,-0.6252696706964628,1.0,-0.3686652826962999,0.0
2018-10-24,-0.7118865155714984,-1.0418636882439263,-0.3293657263981738,-0.6260394586662318,1.0,-0.36719386923202346,0.0
2018-10-25,-0.682788895040734,-0.9941074112156925,-0.3268607134382663,-0.6239421023491261,1.0,-0.3270584513169343,0.0
2018-10-26,-0.6697998668389927,-0.9821407590177417,-0.310225982062429,-0.6333372498335487,1.0,-0.32099635765479967,0.0
2018-10-29,-0.6715236976106541,-0.9853505679592636,-0.3078339208773991,-0.6343909126517822,1.0,-0.31786133960047,0.0
2018-10-30,-0.6573445773681114,-0.9901157089625416,-0.2965287311237497,-0.6405569719552854,1.0,-0.33783094724455776,0.0
2018-10-31,-0.6573289391086001,-0.9907407407407408,-0.29641399874450725,-0.6408113622096673,1.0,-0.3381591337099812,0.0
2018-11-01,-0.6591819109680458,-0.989047656434011,-0.29814713040747426,-0.6409672607364372,1.0,-0.33822721205935463,0.0
2018-11-02,-0.6693482250947006,-0.9563791150857187,-0.29070176123716174,-0.6542742218924512,1.0,-0.33443980161674536,0.0
2018-11-05,-0.6672391584370976,-0.9615519731449316,-0.2907217299660409,-0.6542409930129983,1.0,-0.32959912564893246,0.0
2018-11-06,-0.6715450962026304,-0.9645630878507591,-0.28872497365648053,-0.6519533231861999,1.0,-0.32599617531124375,0.0
2018-11-07,-0.6678889062256204,-0.9644250273053518,-0.2947807770322983,-0.6488141675768452,1.0,-0.32489467935715405,0.0
2018-11-08,-0.6626131551342321,-0.9644508333657096,-0.2894440343447686,-0.6451299584288434,1.0,-0.3235168421461595,0.0
2018-11-09,-0.6625611935659336,-0.9642551868832078,-0.28961069236148884,-0.645077317584894,1.0,-0.3238013831688554,0.0
2018-11-12,-0.6625038783741855,-0.9595873409866583,-0.28952063295066705,-0.6454778156996587,1.0,-0.3212845175302513,0.0
2018-11-13,-0.6577577230128427,-0.9602761386864128,-0.28065100852327507,-0.6456862971961896,1.0,-0.31227583015156773,0.0
2018-11-14,-0.659260116498862,-0.9594954287698183,-0.2805616633877252,-0.6462600779230799,1.0,-0.3120009258187709,0.0
2018-11-15,-0.6596679123165234,-0.9599722618176214,-0.27957776322379313,-0.647378356512694,1.0,-0.30592903648341485,0.0
2018-11-16,-0.6584718374884581,-0.9560249307479225,-0.27920129270544786,-0.6462373037857803,1.0,-0.3074022776238843,0.0
2018-11-19,-0.6585506577429033,-0.9548042157089007,-0.2820216939764597,-0.6445111162397107,1.0,-0.3065620432340949,0.0
2018-11-20,-0.6783980111098162,-0.968923590879074,-0.29293400147612947,-0.6480596667055122,1.0,-0.29631356096803013,0.0
2018-11-21,-0.6892637918387832,-0.9649847508010655,-0.30286067250897586,-0.6478400185306721,1.0,-0.255684669729375,0.0
2018-11-23,-0.6908195704427386,-0.9808870279910057,-0.2973172055516787,-0.6485229123051873,1.0,-0.25928510506319297,0.0
2018-11-26,-0.69062935978918,-0.9833746705937063,-0.2966594326461014,-0.6470702216710588,1.0,-0.2576732289567509,0.0
2018-11-27,-0.6888803088803088,-0.9856756756756757,-0.28969111969111966,-0.6440540540540541,1.0,-0.2526640926640927,0.0
2018-11-28,-0.6875943487516933,-1.0031739887749176,-0.28492355331914065,-0.6419972904973872,1.0,-0.2530675440294174,0.0
2018-11-29,-0.6919606394150364,-1.0064952743961728,-0.28917583913500056,-0.6448212827194586,1.0,-0.25693283030609465,0.0
