Date,AIV,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.016171529406077013,-0.0,-0.277937586115207,-0.0,-0.07873045033720902,-0.0,-0.0,-0.0,-0.0,-0.010418429258623607,-0.0,-0.0,-0.0007010080011602891,-0.6655708380671517,-0.3677149556431144,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.0,-0.0,-0.28497383991002884,-0.0,-0.1052271282577869,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6829494890225416,-0.3717177644124982,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0,-0.0,-0.2773896745612541,-0.0,-0.08132317503590294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7063262176569384,-0.36903342014945356,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.24510273480530675,-0.0,-0.05907849992815748,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.737104267445759,-0.35346520427223527,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.244997723514893,-0.0,-0.05894898277060219,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.729481680285639,-0.36287172605497114,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.25294939086049983,-0.0,-0.0535224153705398,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7353975056580151,-0.3657966966822363,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.2577187996724628,-0.0,-0.05413997398969221,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7336592649679688,-0.3628437936515582,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.25728155339805825,-0.0,-0.055209389943486446,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7368497319229097,-0.36576824614790127,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.2552353807879037,-0.0,-0.05770392019516438,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7394748919108234,-0.3630105553005966,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.25846020636409556,-0.0,-0.05190369675541766,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7513048079467013,-0.34350722755369556,-0.0,-0.0
