Date,CW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2680554703319629,-0.6119838006995153,-0.1881327851751856,-0.5118426704301405,-0.4880346075964901,0.0
2018-09-25,1.0,-0.26746899177207417,-0.6132874861844528,-0.18672479430185435,-0.5130173154856932,-0.4896536902861353,0.0
2018-09-26,1.0,-0.26868972295595556,-0.614933349714356,-0.18913938202592298,-0.5126236255298237,-0.4860556545242337,0.0
2018-09-27,1.0,-0.2710027932103502,-0.6089812455876484,-0.19082844777310537,-0.5127229196721814,-0.4859265170815556,0.0
2018-09-28,1.0,-0.27123430641249957,-0.608803757252049,-0.19102434232740892,-0.5126623077631457,-0.48589495656444726,0.0
2018-10-01,1.0,-0.2718649270913277,-0.6081350729086723,-0.19097467382962396,-0.5129700690713738,-0.485863392171911,0.0
2018-10-02,1.0,-0.27354232552427155,-0.5956584482176304,-0.1954005342503608,-0.5162577911510947,-0.4895452731124689,0.0
2018-10-03,1.0,-0.27331041679454915,-0.5915229267693819,-0.19489288564237922,-0.5175250138113069,-0.4919280584371739,0.0
2018-10-04,1.0,-0.27728667894413755,-0.5856660527931247,-0.19539594843462246,-0.5227133210558625,-0.4883364027010436,0.0
2018-10-05,1.0,-0.27271613258991484,-0.5844311010354758,-0.1912566631946572,-0.5248759267201765,-0.49025794988052207,0.0
2018-10-08,1.0,-0.27312869890527736,-0.5859679249333047,-0.19162245867958663,-0.524853577013891,-0.4908773113366655,0.0
2018-10-09,1.0,-0.2739763839901856,-0.5861370955374943,-0.19355927005060572,-0.5239687164545315,-0.4894034657261156,0.0
2018-10-10,1.0,-0.2735493827160494,-0.5957098765432098,-0.18854938271604937,-0.5279012345679012,-0.5007098765432099,0.0
2018-10-11,1.0,-0.24922600619195048,-0.5930310204577187,-0.1619619984216597,-0.5234322831299703,-0.507588174588721,0.0
2018-10-12,1.0,-0.24769672254946382,-0.5915722700498414,-0.15916024769672255,-0.5197402205104968,-0.5025222776015708,0.0
2018-10-15,1.0,-0.23276590607267897,-0.6178618857901726,-0.13811420982735725,-0.5215803452855245,-0.5079379451889412,0.0
2018-10-16,1.0,-0.2301784094345328,-0.6335651648019354,-0.1273057151496825,-0.5237072875718174,-0.5091321439371032,0.0
2018-10-17,1.0,-0.22061374648561344,-0.611862176227792,-0.1188610396602261,-0.5234192737931447,-0.5161811329784052,0.0
2018-10-18,1.0,-0.21969674312886922,-0.6104614648443341,-0.11956814307503665,-0.5247181266261925,-0.5162843556539163,0.0
2018-10-19,1.0,-0.21224477647479015,-0.6055717602238229,-0.11402464432406689,-0.5274421096493839,-0.517084350258944,0.0
2018-10-22,1.0,-0.2122655552247693,-0.60646025602858,-0.11551056862161359,-0.5264662101816017,-0.5163441500446562,0.0
2018-10-23,1.0,-0.2143792795474844,-0.6060732360821673,-0.12012503721345638,-0.5224173861268235,-0.5140815718963978,0.0
2018-10-24,1.0,-0.21329202538055944,-0.6083886919479281,-0.12031934225029045,-0.5229825136286455,-0.5139861181447168,0.0
2018-10-25,1.0,-0.19943070105936556,-0.5906329782551281,-0.11867241834668543,-0.5241365143645274,-0.5016873551075505,0.0
2018-10-26,1.0,-0.1894927219159301,-0.5860680843615997,-0.09912196260319128,-0.5415536302908317,-0.500831364312593,0.0
2018-10-29,1.0,-0.17283662948183962,-0.6035010048641248,-0.08365129758541344,-0.5381702734978009,-0.5144904319459411,0.0
2018-10-30,1.0,-0.19788693016274758,-0.6104947173254069,-0.09449954383589865,-0.5427764207304512,-0.49736602018894027,0.0
2018-10-31,1.0,-0.1987092989146377,-0.6031974185978294,-0.09551188031680845,-0.5410677618069816,-0.4949251980052802,0.0
2018-11-01,1.0,-0.1869737421153,-0.6210943230159894,-0.08109138917412352,-0.5455478949684612,-0.4991345166495526,0.0
2018-11-02,1.0,-0.1915434515808544,-0.6050201624685875,-0.07810765004967564,-0.5508737069721231,-0.49658114663082226,0.0
2018-11-05,1.0,-0.18975287725652862,-0.6097446982531987,-0.07810948180171759,-0.5510895600864638,-0.4924052111935503,0.0
2018-11-06,1.0,-0.195535949049052,-0.6140407257004296,-0.07531625230068072,-0.5486575710654709,-0.48797803032516296,0.0
2018-11-07,1.0,-0.19510485425550556,-0.6138209007535487,-0.07605584438343362,-0.5481044453531164,-0.48767451369823,0.0
2018-11-08,1.0,-0.190423486922584,-0.6143472942272966,-0.0719112250247568,-0.5469796702976641,-0.4889031280946002,0.0
2018-11-09,1.0,-0.1932508173750584,-0.6166510976179356,-0.06997314339093882,-0.5479040168145727,-0.4914175618869687,0.0
2018-11-12,1.0,-0.19288645690834472,-0.6072125040020957,-0.06959280495968799,-0.5514160142038013,-0.48953633902843674,0.0
2018-11-13,1.0,-0.18648640807682265,-0.6078505323624126,-0.06324523484870463,-0.554411210072819,-0.4891641765064261,0.0
2018-11-14,1.0,-0.18811134008649466,-0.6072330421153456,-0.06304240559602937,-0.5551330798479088,-0.48895596900124805,0.0
