Date,FAF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21017759191875307,-0.5568619996741433,-0.08170857546298811,-0.4255960462716559,-0.44112855048063876,0.0
2018-09-25,1.0,-0.21129207383279047,-0.5556460369163952,-0.08360477741585233,-0.42448425624321384,-0.43941368078175896,0.0
2018-09-26,1.0,-0.21101789253617875,-0.555483152778909,-0.08262061850071949,-0.4249680975265401,-0.4410143629008172,0.0
2018-09-27,1.0,-0.21234976532190242,-0.5514528337719418,-0.08375159391193468,-0.4247809218915326,-0.44070647603027757,0.0
2018-09-28,1.0,-0.20894709614180304,-0.55912543905029,-0.0843248836006208,-0.427206142619871,-0.4431889345712963,0.0
2018-10-01,1.0,-0.2085388115412909,-0.560553633217993,-0.08467972645287851,-0.42715854289840066,-0.4436422090837261,0.0
2018-10-02,1.0,-0.20895766359723209,-0.5578107121451533,-0.08581703263771591,-0.4276140140576472,-0.44417806353184763,0.0
2018-10-03,1.0,-0.2088954296459815,-0.5491510642356854,-0.08432126018586651,-0.4318807401956777,-0.45103970784618325,0.0
2018-10-04,1.0,-0.20877862595419847,-0.5499454743729553,-0.08451472191930207,-0.43148854961832056,-0.45158124318429665,0.0
2018-10-05,1.0,-0.2010972893693302,-0.5460915856374599,-0.07781519908740289,-0.4348416535390298,-0.45621706773860615,0.0
2018-10-08,1.0,-0.19961492569693026,-0.5436598329536826,-0.07489966373793253,-0.4376288100661677,-0.4559876342336479,0.0
2018-10-09,1.0,-0.19861694915254235,-0.5439999999999999,-0.07248813559322033,-0.4389423728813559,-0.45781694915254234,0.0
2018-10-10,1.0,-0.2016510074403954,-0.5431760169445501,-0.07519144082984848,-0.4415087166675719,-0.45394558192581336,0.0
2018-10-11,1.0,-0.17055969456743642,-0.5407110851870509,-0.03876236179971896,-0.4352148898374738,-0.46610281835776973,0.0
2018-10-12,1.0,-0.18075308929820472,-0.6303334110515272,-0.013814408953135932,-0.5307472604336675,-0.5588132431802285,0.0
2018-10-15,1.0,-0.1721890909090909,-0.6423272727272727,-0.002589090909090909,-0.5310254545454546,-0.56096,0.0
2018-10-16,1.0,-0.16474883177570096,-0.6625292056074766,-0.0,-0.5319217289719627,-0.5613609813084112,0.0
2018-10-17,1.0,-0.1480809651320146,-0.6329215974201722,-0.0,-0.5290950447726814,-0.5691745126831936,0.0
2018-10-18,1.0,-0.14715372205577323,-0.6311938234616271,-0.0,-0.5323807328877621,-0.5701198432818622,0.0
2018-10-19,1.0,-0.13948146659393035,-0.6289012030204715,-0.0,-0.5326308535990124,-0.5701570530305206,0.0
2018-10-22,1.0,-0.14021080444584855,-0.6297998219362991,-0.0,-0.5322094258881646,-0.5697751227777937,0.0
2018-10-23,1.0,-0.13936451390484944,-0.630056308894507,-0.0,-0.5331532980923925,-0.5703573891059527,0.0
2018-10-24,1.0,-0.13745300077494907,-0.628368875749835,-0.0,-0.5332510547917684,-0.571080049367125,0.0
2018-10-25,1.0,-0.12181367020076697,-0.6084198060004511,-0.0,-0.5320606812542296,-0.5574949244304083,0.0
2018-10-26,1.0,-0.10422322353138731,-0.5995074305225154,-0.0,-0.5429459013181831,-0.5519856707061095,0.0
2018-10-29,1.0,-0.07606320389981511,-0.620860648848546,-0.0,-0.5364487028632263,-0.5682467641620441,0.0
2018-10-30,1.0,-0.05646384628349907,-0.6245013764818248,-0.0,-0.5405078937018933,-0.5876734648013933,0.0
2018-10-31,1.0,-0.05950519378979113,-0.6103261476600023,-0.0,-0.5385904166201273,-0.5839104210879035,0.0
2018-11-01,1.0,-0.04034847681009689,-0.6270069527825092,-0.0,-0.5393572166531706,-0.5855694859408594,0.0
2018-11-02,1.0,-0.04056545789797173,-0.6281779069117729,-0.0,-0.5391965133821311,-0.5858523774934347,0.0
2018-11-05,1.0,-0.042426445911175746,-0.6242588656449267,-0.0,-0.5396297124958049,-0.5903904239847858,0.0
2018-11-06,1.0,-0.04588669537497903,-0.6267266931379677,-0.0,-0.537106425815111,-0.5865723393546223,0.0
2018-11-07,1.0,-0.0463605823068309,-0.6273516237402016,-0.0,-0.5384658454647256,-0.5873460246360581,0.0
2018-11-08,1.0,-0.038309262253945243,-0.6266101600401495,-0.0,-0.5352144091897619,-0.5880220821948364,0.0
2018-11-09,1.0,-0.03794468607114977,-0.6265194602431137,-0.0,-0.535797925727668,-0.5877662540426006,0.0
