Date,BLDP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.7026042224841926,-2.610545493516236,-0.9886400171471439,-2.232772478833994,-2.1822955738934735,0.0
2018-09-25,1.0,-1.7038746377589353,-2.616078136739294,-0.9878716324997316,-2.2375228077707416,-2.187721369539551,0.0
2018-09-26,1.0,-1.7115260090654003,-2.630261169868336,-0.9859702136844376,-2.253615368012087,-2.2108784804662203,0.0
2018-09-27,1.0,-1.7127464712854217,-2.6163128973170995,-0.987932334877707,-2.2505117982975973,-2.207305247279388,0.0
2018-09-28,1.0,-1.71122361051271,-2.6161137440758293,-0.9878285221887116,-2.249569151227919,-2.206484274019819,0.0
2018-10-01,1.0,-1.7271044321027986,-2.656648154197975,-0.9955352281389525,-2.275944680387673,-2.234346074267669,0.0
2018-10-02,1.0,-1.728658536585366,-2.6442726480836236,-1.0003266550522647,-2.278310104529617,-2.2369337979094075,0.0
2018-10-03,1.0,-1.7294412373379806,-2.6458991395272844,-1.0013070471626184,-2.2785099662346147,-2.236902298224594,0.0
2018-10-04,1.0,-1.7294680735342107,-2.6378766452735776,-1.000543892091809,-2.278581529424562,-2.231480474273904,0.0
2018-10-05,1.0,-1.6957460591664868,-2.6137983156985536,-0.9653422586914274,-2.2820125242928095,-2.2399049881235156,0.0
2018-10-08,1.0,-1.6866329712872352,-2.5999569846220023,-0.9546187762124959,-2.2802451876545864,-2.2323905796322183,0.0
2018-10-09,1.0,-1.6844712470385528,-2.605858281283653,-0.9436786560413526,-2.2900064613396514,-2.244992461770407,0.0
2018-10-10,1.0,-1.6846584787761258,-2.608058608058608,-0.9425770308123249,-2.291424262012497,-2.246821805645335,0.0
2018-10-11,1.0,-1.5089692915779873,-2.5068409851018547,-0.7479477044694437,-2.17908178777744,-2.19195297456167,0.0
2018-10-12,1.0,-1.5401636859654442,-2.517126401939982,-0.734970192987774,-2.154592300697181,-2.157118318682429,0.0
2018-10-15,1.0,-1.502739448051948,-2.617491883116883,-0.666599025974026,-2.1712662337662336,-2.1880073051948052,0.0
2018-10-16,1.0,-1.4991364421416233,-2.6424870466321244,-0.6515290053845373,-2.174845067560703,-2.1915066544752615,0.0
2018-10-17,1.0,-1.442315329626688,-2.5394162033359806,-0.590448768864178,-2.1560762509928515,-2.200357426528991,0.0
2018-10-18,1.0,-1.444058028616852,-2.543223370429253,-0.5897257551669317,-2.1570945945945947,-2.2023052464228936,0.0
2018-10-19,1.0,-1.4103119157729018,-2.514611827216373,-0.5515103807930729,-2.161172882023025,-2.2019088851717012,0.0
2018-10-22,1.0,-1.4118340868881463,-2.5025555337133873,-0.5440338116768233,-2.1652250835462947,-2.2052290151366227,0.0
2018-10-23,1.0,-1.4123599921399095,-2.50098251129888,-0.5464727844370211,-2.162212615445078,-2.202888583218707,0.0
2018-10-24,1.0,-1.409612555174105,-2.4971064247179986,-0.5362432564982835,-2.16213830308975,-2.203629230014713,0.0
