Date,IWF,IWM,MTUM,SPY,SUM,VLUE,VXX
2018-09-24,-0.5059965989438826,-1.2164593215788062,-0.07155643068110625,-0.8578269041439184,1.0,-0.8232345833706257,0.0
2018-09-25,-0.5061529511791292,-1.2161811428827136,-0.07186646977222894,-0.8576542712668367,1.0,-0.8229740009844722,0.0
2018-09-26,-0.5072509175543819,-1.217617044132128,-0.07412049055590367,-0.8572195864291469,1.0,-0.8196669948975024,0.0
2018-09-27,-0.5083184257602862,-1.212969588550984,-0.0753577817531306,-0.8566189624329159,1.0,-0.8189624329159213,0.0
2018-09-28,-0.5058602487250604,-1.2154424264113806,-0.07622796814887715,-0.8566252124899347,1.0,-0.8192717187080613,0.0
2018-10-01,-0.5078555122868269,-1.2142249675484535,-0.07613804216463006,-0.8581531712994047,1.0,-0.8197484445638065,0.0
2018-10-02,-0.5083911389572612,-1.2092638174088162,-0.07831729693443724,-0.8587155963302752,1.0,-0.8205415081673753,0.0
2018-10-03,-0.5080991587614104,-1.1978700554859494,-0.0767406479327009,-0.8634777161267227,1.0,-0.828530517272239,0.0
2018-10-04,-0.5103966373026875,-1.1923713276394043,-0.07762822519339982,-0.8660734248535528,1.0,-0.8252023431561061,0.0
2018-10-05,-0.5015154216437867,-1.1909431271171331,-0.06551970048136922,-0.8699411659832411,1.0,-0.8292030665002674,0.0
2018-10-08,-0.5016051364365971,-1.1921259140360263,-0.06500802568218297,-0.8702514713750669,1.0,-0.829677189227751,0.0
2018-10-09,-0.49870188003581023,-1.1989256938227397,-0.0508952551477171,-0.8826320501342882,1.0,-0.845076096687556,0.0
2018-10-10,-0.4984330229226361,-1.1999015042979944,-0.04991941260744986,-0.8829691977077364,1.0,-0.8458094555873925,0.0
2018-10-11,-0.428813338543702,-1.1936954539533673,-0.0,-0.8619252312101081,1.0,-0.8574964178715645,0.0
2018-10-12,-0.42229307596191135,-1.190572622689474,-0.0,-0.850833728295058,1.0,-0.8449308457925805,0.0
2018-10-15,-0.40627552116913823,-1.2021061680636147,-0.0,-0.8465076294863529,1.0,-0.8434128519234902,0.0
2018-10-16,-0.3985794231597073,-1.2181661644425312,-0.0,-0.8455876022384846,1.0,-0.842445114076625,0.0
2018-10-17,-0.3665644171779141,-1.1687542603953647,-0.0,-0.852718132242672,1.0,-0.8723585548738922,0.0
2018-10-18,-0.37548487199379366,-1.1926989052667871,-0.0,-0.8578139815533145,1.0,-0.8840186190845616,0.0
2018-10-19,-0.37208699035842446,-1.2032080937351377,-0.0,-0.8610402524968654,1.0,-0.8872843616239354,0.0
2018-10-22,-0.3722829609783501,-1.1968367831986517,-0.0,-0.8631001253186984,1.0,-0.8891145585756881,0.0
2018-10-23,-0.3683480672560236,-1.200381348587277,-0.0,-0.8703414803258797,1.0,-0.8944357774310973,0.0
2018-10-24,-0.36543872559629453,-1.1968745941734125,-0.0,-0.8705250854941344,1.0,-0.8959352408986624,0.0
2018-10-25,-0.32390411532981306,-1.1425278685776548,-0.0,-0.8676137792305758,1.0,-0.8567597016176348,0.0
2018-10-26,-0.30055573988055745,-1.12578798938288,-0.0,-0.8752903118779031,1.0,-0.845678500331785,0.0
2018-10-29,-0.2740557275541796,-1.137750257997936,-0.0,-0.8638596491228071,1.0,-0.8522600619195047,0.0
2018-10-30,-0.3026567835429333,-1.1479970017489798,-0.0,-0.8729491130174066,1.0,-0.8405929874240028,0.0
2018-10-31,-0.3053059840650958,-1.1821495168672658,-0.0,-0.8907018138667571,1.0,-0.859849126970673,0.0
2018-11-01,-0.34072927416580673,-1.1757395940832474,-0.0,-0.908969728242174,1.0,-0.8745270037839697,0.0
2018-11-02,-0.3442840111273016,-1.2409590674261493,-0.0,-0.9244049984545415,1.0,-0.9059036516977966,0.0
