Date,IWF,IWM,MTUM,SFIX,SPY,VLUE,VXX
2018-09-24,-2.217107999445446,-3.9467627894080133,-0.7774850963538056,1.0,-3.0883127686122283,-2.8341882711770414,0.0
2018-09-25,-2.230138888888889,-3.9481944444444452,-0.7918055555555555,1.0,-3.089166666666667,-2.8297222222222227,0.0
2018-09-26,-2.2334954829742877,-3.95316191799861,-0.7963863794301598,1.0,-3.090201528839472,-2.825295343988881,0.0
2018-09-27,-2.2386237513873475,-3.926054384017758,-0.8021642619311875,1.0,-3.086293007769145,-2.8204772475027746,0.0
2018-09-28,-2.2337356082674433,-3.928700235816341,-0.8039950062421972,1.0,-3.085032598141212,-2.820086003606603,0.0
2018-10-01,-2.2361033907726515,-3.9389938854919397,-0.8051695386325737,1.0,-3.090188993885492,-2.82615341856587,0.0
2018-10-02,-2.2429048414023374,-3.909849749582638,-0.818725653867557,1.0,-3.1019755147468002,-2.8386199220923762,0.0
2018-10-03,-2.840909090909091,-4.446296296296296,-1.594949494949495,1.0,-3.582154882154882,-3.3707070707070708,0.0
2018-10-04,-2.8750423872499153,-4.459308240081384,-1.6063072227873858,1.0,-3.62783994574432,-3.3865717192268567,0.0
2018-10-05,-2.856411131978829,-4.478572648113369,-1.5687211883216665,1.0,-3.7010414888168004,-3.468840703431791,0.0
2018-10-08,-2.8332485156912637,-4.4586938083121295,-1.5387616624257845,1.0,-3.6856658184902455,-3.44715860899067,0.0
2018-10-09,-2.8292641573414716,-4.458290946083419,-1.5308579179382842,1.0,-3.687012546625975,-3.449474398101051,0.0
2018-10-10,-2.827685530328702,-4.4567943070145715,-1.5277871907827854,1.0,-3.685869196882413,-3.4454422229752626,0.0
2018-10-11,-2.522104262398986,-4.291079068293456,-1.1869751228014578,1.0,-3.491047377594676,-3.354143558865473,0.0
2018-10-12,-2.605149528226451,-4.359347513193667,-1.1875899568207262,1.0,-3.497681113065728,-3.342555573324804,0.0
2018-10-15,-2.533249091770652,-4.385405149265519,-1.104722792607803,1.0,-3.4580634970778705,-3.3138524719633544,0.0
2018-10-16,-2.5254023351214894,-4.3983906595140425,-1.0902492899968443,1.0,-3.4539286841274848,-3.3098769327863677,0.0
2018-10-17,-2.4200214296647786,-4.208326955456911,-0.9905097198836676,1.0,-3.395530384203276,-3.2925149242308285,0.0
2018-10-18,-2.427606325809919,-4.229540918163673,-0.9841854752034395,1.0,-3.4070320896668203,-3.3053892215568865,0.0
2018-10-19,-2.3979748389076403,-4.220619822031298,-0.9360233200368211,1.0,-3.449064130101258,-3.338600797790733,0.0
2018-10-22,-2.3967182947400705,-4.219138168992485,-0.9297653734089864,1.0,-3.450237693605275,-3.3390584266216834,0.0
2018-10-23,-2.4022706351641605,-4.2196992942620435,-0.94001227370359,1.0,-3.444461491254986,-3.3356857931880946,0.0
2018-10-24,-2.401133404809312,-4.208148261602083,-0.9188237096033083,1.0,-3.4470822484300814,-3.3409404196661048,0.0
2018-10-25,-2.245877502944641,-4.007950530035337,-0.8287691401649,1.0,-3.43801531213192,-3.202444051825678,0.0
2018-10-26,-2.168225643977551,-3.922003165923155,-0.7471578644409268,1.0,-3.415887178011225,-3.137285940423083,0.0
2018-10-29,-2.0989509498157073,-3.913807768641905,-0.6868443436348171,1.0,-3.36036291465835,-3.116529628579529,0.0
2018-10-30,-2.075643395421584,-3.933172188255367,-0.6642968861083463,1.0,-3.380491966443907,-3.164936726859093,0.0
2018-10-31,-2.040022234574764,-3.8144802668148974,-0.6456364647026126,1.0,-3.309755419677599,-3.086714841578655,0.0
2018-11-01,-1.99986151502562,-3.852790472233763,-0.6010247888104141,1.0,-3.3071596731754607,-3.087660988782717,0.0
