Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WWE
2018-09-24,-0.6475065872938421,-1.3153117985751928,-0.16419439836049574,-0.9471552649555968,-0.8053088708890406,0.0,1.0
2018-09-25,-0.6573611519247723,-1.316534430404545,-0.17445391321383094,-0.947595259085121,-0.8016945832108924,0.0,1.0
2018-09-26,-0.6594284593892457,-1.3195431596490368,-0.17788343708641735,-0.9476006078133424,-0.7972648399588255,0.0,1.0
2018-09-27,-0.6646738864115255,-1.3078355466261578,-0.1814573430685549,-0.9485960699759887,-0.7976674670456216,0.0,1.0
2018-09-28,-0.6639392454679078,-1.3077902988731014,-0.18206761391474766,-0.9482116609505145,-0.7975012248897599,0.0,1.0
2018-10-01,-0.664347655675861,-1.306893341825486,-0.18230365979128899,-0.948263191416393,-0.7974621527607662,0.0,1.0
2018-10-02,-0.6664695446481372,-1.3391977133845852,-0.1755864380051252,-0.9491917997240292,-0.7976542479794994,0.0,1.0
2018-10-03,-0.6693197547953333,-1.3508997429305913,-0.17777338342891041,-0.9496737195965987,-0.796025311449476,0.0,1.0
2018-10-04,-0.6717870196582041,-1.3442655339326288,-0.17870196582040895,-0.9524350488985479,-0.7921070828805691,0.0,1.0
2018-10-05,-0.6615195475780674,-1.3402016228178018,-0.16592082616179002,-0.9556429800835997,-0.7943447258421441,0.0,1.0
2018-10-08,-0.6589725960121795,-1.3361162950594245,-0.15907081819074748,-0.9625773499656223,-0.7943718691680582,0.0,1.0
2018-10-09,-0.6602633389014445,-1.3369362287511053,-0.16124594674265502,-0.9618748157610298,-0.7927188758966296,0.0,1.0
2018-10-10,-0.6655546703843856,-1.3625273849830712,-0.15445130452101175,-0.9774945230033858,-0.8191595299741088,0.0,1.0
2018-10-11,-0.604171661472069,-1.343706545192999,-0.08218652601294653,-0.9481179573243825,-0.8168304962838647,0.0,1.0
2018-10-12,-0.6224117507699598,-1.340488036010424,-0.07495854063018242,-0.9202084814025113,-0.7801468846244966,0.0,1.0
2018-10-15,-0.6137298472885443,-1.3533639071438703,-0.061226419554630984,-0.9195782705309442,-0.780010401399461,0.0,1.0
2018-10-16,-0.6142424815585398,-1.3518063173822585,-0.06260639303953093,-0.919661433705315,-0.7802156232267827,0.0,1.0
2018-10-17,-0.5944674444862627,-1.30763078660143,-0.022299585999247272,-0.9474501317275122,-0.8326590139254799,0.0,1.0
2018-10-18,-0.5944954128440367,-1.3080216419665962,-0.021971300870383438,-0.9475417548812044,-0.8327452364149612,0.0,1.0
2018-10-19,-0.5780462772905394,-1.2945045717484607,-0.003032282142190707,-0.9555420787460348,-0.8339242395969397,0.0,1.0
2018-10-22,-0.577691661219535,-1.2975534597067886,-0.007610421141096274,-0.953450368848632,-0.8326641142963862,0.0,1.0
2018-10-23,-0.5814648729446935,-1.2975990284005978,-0.015087817638266068,-0.9475429745889388,-0.8294562780269059,0.0,1.0
2018-10-24,-0.5813106796116504,-1.297376773711725,-0.01022218073188947,-0.9486557132188199,-0.8300970873786407,0.0,1.0
2018-10-25,-0.5413861208366998,-1.2294191579136369,-0.009112128557321124,-0.9307388454978005,-0.7780770266630757,0.0,1.0
