Date,IWF,IWM,MTUM,SDY,SPY,UMPQ,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.36962983735277627,-0.0,-0.39615816040381385,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7064778463264162,-0.0,-0.0,-0.05232753785754347,-0.0,-0.27966909702748177,-0.0,-0.0
2019-01-03,-0.0,-0.396274272186681,-0.0,-0.3133331454499338,-0.0,1.0,-0.0,-0.0,-0.0178395287884339,-0.0,-0.0,-0.7432855170081447,-0.0,-0.0,-0.07803737000817293,-0.0,-0.2695093425020433,-0.0,-0.0
2019-01-04,-0.0,-0.42147773164211366,-0.0,-0.3047608213412207,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7102838291337239,-0.0,-0.0,-0.10809965303452591,-0.0,-0.29932882088618395,-0.0,-0.0
2019-01-07,-0.0,-0.37076312355994784,-0.0,-0.35085917330594346,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6914748910418345,-0.0,-0.0,-0.09074757793631845,-0.0,-0.27213169364017437,-0.0,-0.0
2019-01-08,-0.0,-0.4125510375300632,-0.0,-0.3474187594384473,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6699200178980927,-0.0,-0.0,-0.09153196487499302,-0.0,-0.2751552100229319,-0.0,-0.0
2019-01-09,-0.0,-0.42083824933985053,-0.0,-0.3537558289791561,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6615259284229451,-0.0,-0.0,-0.09067925164335075,-0.0,-0.28234732288330805,-0.0,-0.0
2019-01-10,-0.0,-0.4247071711468779,-0.0,-0.35625403780792675,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.004353810286227915,-0.6633240639307885,-0.0,-0.0,-0.07432375495070363,-0.0,-0.28594702396000116,-0.0,-0.0
2019-01-11,-0.0,-0.4176715816569206,-0.0,-0.3458772837917238,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.005763688760806917,-0.6734842337931227,-0.0,-0.0,-0.08385327774824432,-0.0,-0.2712291206177779,-0.0,-0.0
2019-01-14,-0.0,-0.4179467808276673,-0.0,-0.3450292397660819,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.005344301743193711,-0.6738297098407903,-0.0,-0.0,-0.08534094406670584,-0.0,-0.2705727636475559,-0.0,-0.0
2019-01-15,-0.0,-0.4081000362854831,-0.0,-0.3505456778407347,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.005554470092388422,-0.6800736874424318,-0.0,-0.0,-0.08892734529823876,-0.0,-0.2579618723309236,-0.0,-0.0
2019-01-16,-0.0,-0.39441821716189945,-0.0,-0.3776173285198556,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.009969452929741739,-0.6718133851707859,-0.0,-0.0,-0.08061649541793947,-0.0,-0.24262704804221052,-0.0,-0.0
2019-01-17,-0.0,-0.3942110229227952,-0.0,-0.3794194371982017,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.014958095132374978,-0.6576566576011544,-0.0,-0.0,-0.09302325581395349,-0.0,-0.23588832769051454,-0.0,-0.0
2019-01-18,-0.0,-0.3930373080547703,-0.0,-0.37668385165474805,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0139420145240867,-0.659487776484284,-0.0,-0.0,-0.09346416098453351,-0.0,-0.2351571594877765,-0.0,-0.0
2019-01-22,-0.0,-0.40355287877113494,-0.0,-0.36075809481710686,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.00944855785169632,-0.6582771576969831,-0.0,-0.0,-0.08721958227428445,-0.0,-0.24347994253508676,-0.0,-0.0
