Date,IWF,IWM,KMPR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.43660103626943003,-1.1019274611398966,1.0,-0.0775958549222798,-0.8086217616580311,-0.7203316062176166,0.0
2018-09-25,-0.4359475764510089,-1.109090909090909,1.0,-0.07293530268358643,-0.8147701268982733,-0.7278552111504056,0.0
2018-09-26,-0.43973642505630167,-1.1147301693218785,1.0,-0.07823838518642089,-0.8157477687880558,-0.7219951622320461,0.0
2018-09-27,-0.44218990875380193,-1.1070788717136786,1.0,-0.08032998625057289,-0.8154243573184451,-0.7214282738219241,0.0
2018-09-28,-0.44012001000083345,-1.1089257438119844,1.0,-0.08109009084090342,-0.8152346028835736,-0.7216018001500125,0.0
2018-10-01,-0.43973316656243483,-1.1104440275171983,1.0,-0.08171774025432561,-0.8151761517615176,-0.7222013758599125,0.0
2018-10-02,-0.44220345392663557,-1.1489138199083995,1.0,-0.07311231564351442,-0.8158325980083196,-0.7217530148325559,0.0
2018-10-03,-0.4422211946698054,-1.1366177645130104,1.0,-0.0712093824877044,-0.8219345075455043,-0.7315986380259785,0.0
2018-10-04,-0.4437489497563435,-1.1325827592001345,1.0,-0.07200470509158124,-0.8233490169719375,-0.7292891950932616,0.0
2018-10-05,-0.4255158530447911,-1.1272018117765474,1.0,-0.05150142593524576,-0.8409243415534305,-0.748783761113907,0.0
2018-10-08,-0.42335246554107836,-1.1239683271188572,1.0,-0.045498345133855624,-0.8474590472998449,-0.7492563576186685,0.0
2018-10-09,-0.4204707860445565,-1.1295922656578394,1.0,-0.03278688524590164,-0.8580916351408154,-0.762505254308533,0.0
2018-10-10,-0.4232305816056184,-1.128306488918794,1.0,-0.035451448757306867,-0.8602127928003701,-0.7581479456663442,0.0
2018-10-11,-0.3606002528238796,-1.1174407698894915,1.0,-0.0,-0.8389674998980549,-0.7608367654854626,0.0
2018-10-12,-0.36319388576025746,-1.1094931617055512,1.0,-0.0,-0.8165325824617861,-0.7333065164923572,0.0
2018-10-15,-0.3021185392795318,-1.2223229741983348,1.0,-0.0,-0.8319182260324788,-0.7653120105514797,0.0
2018-10-16,-0.30173515228949427,-1.2229320364340766,1.0,-0.0,-0.8317190784321806,-0.7651156081276017,0.0
2018-10-17,-0.27757992715499796,-1.1795629299878592,1.0,-0.0,-0.8218535006070418,-0.7679481991096723,0.0
2018-10-18,-0.2784574252612817,-1.1826541359475007,1.0,-0.0,-0.8211131815603986,-0.7686542979826623,0.0
