Date,IWF,IWM,MTUM,SPY,THR,VLUE,VXX
2018-09-24,-0.2851626955316481,-0.953798429146591,-0.0,-0.5310540558378984,1.0,-0.5300970232987922,0.0
2018-09-25,-0.28613374682458514,-0.953119329616311,-0.0,-0.5305994523440335,1.0,-0.5292797994127544,0.0
2018-09-26,-0.2873593559243739,-0.9543339822483254,-0.0,-0.5306364866202528,1.0,-0.5272379318309302,0.0
2018-09-27,-0.2884323682648553,-0.9514937677240651,-0.0,-0.5305348545802282,1.0,-0.5270395040559257,0.0
2018-09-28,-0.2863129413317495,-0.9544644624826768,-0.0,-0.5311159506368376,1.0,-0.5277832772388307,0.0
2018-10-01,-0.28674189929386923,-0.9538705206889725,-0.0,-0.5312809344684221,1.0,-0.5277832772388307,0.0
2018-10-02,-0.2863465222273598,-0.9598718541515292,-0.0,-0.5300217980051523,1.0,-0.5264548517075104,0.0
2018-10-03,-0.28648327333971796,-0.9590172055084045,-0.0,-0.5301674317228624,1.0,-0.5267329348436313,0.0
2018-10-04,-0.28992109867617444,-0.9534515202535406,-0.0,-0.5343831501105939,1.0,-0.5235548512759566,0.0
2018-10-05,-0.2818621802258585,-0.9533137984394033,-0.0,-0.5337964639647055,1.0,-0.5234254107266323,0.0
2018-10-08,-0.2794281958593493,-0.950575090371344,-0.0,-0.5342753861321065,1.0,-0.5219520210318764,0.0
2018-10-09,-0.27619642387588744,-0.9506639495135418,-0.0,-0.5355968971864318,1.0,-0.5244215093347357,0.0
2018-10-10,-0.27823972130016106,-0.9498143096591842,-0.0,-0.5369244421073389,1.0,-0.5215762316363757,0.0
2018-10-11,-0.2090023942537909,-0.9446767757382284,-0.0,-0.5113168395849961,1.0,-0.5273104549082203,0.0
2018-10-12,-0.20980299448384554,-0.9408037825059102,-0.0,-0.4935224586288416,1.0,-0.5079275019700552,0.0
2018-10-15,-0.19716361120719475,-0.9508506021823212,-0.0,-0.48982736391937354,1.0,-0.5066821798056664,0.0
2018-10-16,-0.20082483314444025,-0.9470154892330942,-0.0,-0.49178315073668305,1.0,-0.5085946354363431,0.0
2018-10-17,-0.18976512676932647,-0.9263026909317157,-0.0,-0.48598537875252756,1.0,-0.5088816301135479,0.0
2018-10-18,-0.18897392819364073,-0.9248957749984444,-0.0,-0.48805301474706,1.0,-0.5093024702880966,0.0
2018-10-19,-0.17342307573558924,-0.9171323597517674,-0.0,-0.48874617925839015,1.0,-0.5081354780944147,0.0
2018-10-22,-0.17347285242460722,-0.9096521282834832,-0.0,-0.4922678025743125,1.0,-0.511343642929901,0.0
2018-10-23,-0.18073593073593072,-0.9120284477427334,-0.0,-0.48902288188002474,1.0,-0.5103896103896104,0.0
