Date,CNOB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13087429366499134,-0.7620183434136922,-0.05238947099412216,-0.4126700173211801,-0.48158559786466765,0.0
2018-09-25,1.0,-0.12982905982905985,-0.7668945868945869,-0.04831908831908832,-0.41700854700854706,-0.48695156695156694,0.0
2018-09-26,1.0,-0.13097138296659447,-0.7684699578155285,-0.05050735377950063,-0.41668566868088014,-0.4836962718048113,0.0
2018-09-27,1.0,-0.13069024529378206,-0.7703365658870507,-0.05017113519680548,-0.4170279520821449,-0.48402738163148884,0.0
2018-09-28,1.0,-0.1298879096431933,-0.7708565072302559,-0.05054048658053108,-0.4169019708508029,-0.4839565328998032,0.0
2018-10-01,1.0,-0.12995607279365623,-0.7708654230132922,-0.050773004735010556,-0.4168520737064293,-0.4839694221005191,0.0
2018-10-02,1.0,-0.13019777961699822,-0.7742230086475071,-0.050029966608636095,-0.41627900339621565,-0.4832329689774252,0.0
2018-10-03,1.0,-0.1299957210098417,-0.7692483240621881,-0.049465126230209676,-0.4178576522607332,-0.4860932819854515,0.0
2018-10-04,1.0,-0.12976707010733043,-0.7706953642384106,-0.04966887417218543,-0.4172470883763416,-0.4871831468371774,0.0
2018-10-05,1.0,-0.11803679585975488,-0.7672818267125431,-0.04006597093866409,-0.42283959393749826,-0.4953223192197231,0.0
2018-10-08,1.0,-0.11702550701584957,-0.7662898369596093,-0.038885417258421866,-0.4233085269556326,-0.4949156393796512,0.0
2018-10-09,1.0,-0.11435405336142829,-0.7694979925396508,-0.029442751786782084,-0.43030838007915945,-0.5038298357014721,0.0
2018-10-10,1.0,-0.11416370106761564,-0.7695658362989324,-0.029323843416370107,-0.4303202846975089,-0.5035444839857651,0.0
2018-10-11,1.0,-0.06668887778333056,-0.7720584152368261,-0.0,-0.4189849519684602,-0.5186573379976679,0.0
2018-10-12,1.0,-0.06263415708074192,-0.7708184269910288,-0.0,-0.4089107821013815,-0.5096042710110629,0.0
2018-10-15,1.0,-0.03287535449764586,-0.8026928054186514,-0.0,-0.4049946309094413,-0.5127894490487073,0.0
2018-10-16,1.0,-0.032625753696208806,-0.8031166542771401,-0.0,-0.4048622009305911,-0.5126235511136809,0.0
2018-10-17,1.0,-0.013509840165271283,-0.7723170599108404,-0.0,-0.40567576383603354,-0.52677503533761,0.0
2018-10-18,1.0,-0.012802739949441408,-0.7711544211584985,-0.0,-0.40718693087607705,-0.527059718937726,0.0
2018-10-19,1.0,-0.0,-0.7665325520481733,-0.0,-0.4067183322982205,-0.5270704506791241,0.0
2018-10-22,1.0,-0.0023848884793625847,-0.77679611913602,-0.0,-0.4052684354589556,-0.5256511016558715,0.0
2018-10-23,1.0,-0.0,-0.7826146362791714,-0.0,-0.4163250806143084,-0.5337487019730011,0.0
2018-10-24,1.0,-0.0,-0.7785747529224957,-0.0,-0.4193336436060996,-0.5398198592821748,0.0
2018-10-25,1.0,-0.0,-0.7953380082596524,-0.0,-0.42479004406995763,-0.551567393774772,0.0
2018-10-26,1.0,-0.03397973445143256,-0.8401758676915908,-0.0,-0.44927789424644765,-0.5883123689727463,0.0
2018-10-29,1.0,-0.0433030329773777,-0.8444679787014973,-0.0,-0.462771747124408,-0.5912099549907334,0.0
2018-10-30,1.0,-0.02847132257684607,-0.8460723118596161,-0.0,-0.46487457307737606,-0.6048463078553763,0.0
2018-10-31,1.0,-0.0293832741362609,-0.8400211348225556,-0.0,-0.4632635688496199,-0.602724043796049,0.0
2018-11-01,1.0,-0.020816230796294126,-0.8461064852820454,-0.0,-0.46250146593174624,-0.6024686290606309,0.0
2018-11-02,1.0,-0.021337084908701898,-0.8448664966734079,-0.0,-0.4625868284533544,-0.6020985374717899,0.0
2018-11-05,1.0,-0.01686019235280319,-0.8586676049730236,-0.0,-0.4644909688013136,-0.592159277504105,0.0
2018-11-06,1.0,-0.025701277720663832,-0.8670876780731386,-0.0,-0.46036128653253056,-0.5841386400352475,0.0
2018-11-07,1.0,-0.025671904831840214,-0.8671170509619621,-0.0,-0.46036128653253056,-0.5841680129240712,0.0
2018-11-08,1.0,-0.004694561889488264,-0.8691354424843272,-0.0,-0.45309811925936727,-0.5889488263595276,0.0
2018-11-09,1.0,-0.004344529974341031,-0.8689351527874971,-0.0,-0.45381385584324707,-0.5886983904828551,0.0
