Date,IWF,IWM,MTUM,PRDO,SPY,VLUE,VXX
2018-09-24,-0.6312511533493265,-1.2622716368333642,-0.08659346742941501,1.0,-0.8850802731131204,-0.7482007750507473,0.0
2018-09-25,-0.6330397897551755,-1.259763013509152,-0.0899534326156116,1.0,-0.8828899442113514,-0.7449859375720411,0.0
2018-09-26,-0.6327396881055644,-1.2600812032850421,-0.08793946664205962,1.0,-0.8843775952754452,-0.7486850604410815,0.0
2018-09-27,-0.6344576536724726,-1.2525573679845177,-0.08985346972629252,1.0,-0.8834208828679385,-0.7476269468251775,0.0
2018-09-28,-0.6334945865008064,-1.252706749596867,-0.09053213545266069,1.0,-0.8830223450817785,-0.7474775397373877,0.0
2018-10-01,-0.634695579649708,-1.2646649986099527,-0.09202112871837642,1.0,-0.887915855805764,-0.754239644147901,0.0
2018-10-02,-0.6350297176820208,-1.2788818722139674,-0.08915304606240712,1.0,-0.8870728083209509,-0.7532503714710252,0.0
2018-10-03,-0.6344779582366589,-1.274385150812065,-0.08909512761020881,1.0,-0.8875638051044084,-0.7548955916473318,0.0
2018-10-04,-0.6377463482494784,-1.2670994667284952,-0.09014607002086714,1.0,-0.8915835845119406,-0.7506144215163459,0.0
2018-10-05,-0.6208154407350971,-1.2595465669298611,-0.06986193840328761,1.0,-0.9035415800895783,-0.7636791799418202,0.0
2018-10-08,-0.618377979621006,-1.255521231960902,-0.06348840426022408,1.0,-0.9097699294573286,-0.7635206786850477,0.0
2018-10-09,-0.6179345320424159,-1.2559243891194098,-0.06205624711848778,1.0,-0.9103734439834025,-0.7641770401106501,0.0
2018-10-10,-0.6193482969995852,-1.2544130524957369,-0.06351108448172559,1.0,-0.9110476102687008,-0.7605659768631609,0.0
2018-10-11,-0.5388481209695353,-1.247765176784523,-0.0,1.0,-0.8865021125194574,-0.7742494996664443,0.0
2018-10-12,-0.5351816108089138,-1.2364888576943325,-0.0,1.0,-0.8656343218108441,-0.7494297245130724,0.0
2018-10-15,-0.4999124266573255,-1.2706892022068483,-0.0,1.0,-0.858612838252036,-0.7494526666082845,0.0
2018-10-16,-0.4923468268935573,-1.286654094118679,-0.0,1.0,-0.8579448269812727,-0.7487829481163107,0.0
2018-10-17,-0.46749957066804054,-1.2375923063712864,-0.0,1.0,-0.842478104070067,-0.7457496136012365,0.0
2018-10-18,-0.468310918231427,-1.2401924977441672,-0.0,1.0,-0.8419627894985606,-0.7464014093584841,0.0
2018-10-19,-0.4463692857750915,-1.2251638716267983,-0.0,1.0,-0.8425555460968757,-0.7423171873669873,0.0
2018-10-22,-0.4464863025353071,-1.2192019737961544,-0.0,1.0,-0.8441807044410412,-0.7440020418580908,0.0
2018-10-23,-0.4546035533211197,-1.2220186613267436,-0.0,1.0,-0.8408248476843765,-0.7431298197775978,0.0
2018-10-24,-0.4521742830397413,-1.2193855842055994,-0.0,1.0,-0.8403965619947238,-0.7430431452642329,0.0
2018-10-25,-0.4010919091991298,-1.1551249948688478,-0.0,1.0,-0.8515249784491606,-0.6972209679405608,0.0
2018-10-26,-0.3815810788919488,-1.1347399967600842,-0.0,1.0,-0.8505993844160051,-0.6830147416167179,0.0
2018-10-29,-0.35111146972203167,-1.152297575341913,-0.0,1.0,-0.8385847420018557,-0.6923790696736192,0.0
2018-10-30,-0.346600532300992,-1.151947737720784,-0.0,1.0,-0.838374062424389,-0.6956609403984192,0.0
2018-10-31,-0.3508771929824561,-1.1254445909763018,-0.0,1.0,-0.8329936458458218,-0.6870479159173559,0.0
2018-11-01,-0.3447876756066411,-1.1286717752234994,-0.0,1.0,-0.8315373563218391,-0.6860632183908045,0.0
2018-11-02,-0.34985145573380866,-1.096177460883343,-0.0,1.0,-0.8369578134284017,-0.6781937017231134,0.0
2018-11-05,-0.38455163268688874,-1.0974225095309134,-0.0,1.0,-0.8896485993701309,-0.7722526106414719,0.0
2018-11-06,-0.39027018067296537,-1.1019807724183657,-0.0,1.0,-0.8855876015249462,-0.7659953588596055,0.0
2018-11-07,-0.3902083333333333,-1.1124166666666666,-0.0,1.0,-0.8907916666666668,-0.77325,0.0
2018-11-08,-0.352516501650165,-1.1146039603960396,-0.0,1.0,-0.8778052805280527,-0.7805280528052806,0.0
2018-11-09,-0.3546040667878988,-1.116672177219375,-0.0,1.0,-0.8787402876508513,-0.7828979996693668,0.0
2018-11-12,-0.35462191803413873,-1.0922734394326707,-0.0,1.0,-0.8944091696215057,-0.7817267254885791,0.0
2018-11-13,-0.32288861689106485,-1.0868625050999592,-0.0,1.0,-0.8956344349245206,-0.7746226030191758,0.0
2018-11-14,-0.32504389725999433,-1.0865286455143124,-0.0,1.0,-0.8970966556413084,-0.7747968475642125,0.0
2018-11-15,-0.3243276333510182,-1.0900297922703341,-0.0,1.0,-0.9036444516997919,-0.7630902338489165,0.0
2018-11-16,-0.3175490876433849,-1.0778462668898232,-0.0,1.0,-0.907702984038862,-0.7790749887741356,0.0
2018-11-19,-0.316359032995753,-1.078732440378961,-0.0,1.0,-0.9088533159098334,-0.7797288467820974,0.0
2018-11-20,-0.2668423186055938,-1.0684637211187678,-0.0,1.0,-0.9141062018646128,-0.804094041345764,0.0
2018-11-21,-0.27395611888813126,-1.059684729854398,-0.0,1.0,-0.9097108018130039,-0.7677590148810718,0.0
2018-11-23,-0.27515918465419886,-1.0477754194866045,-0.0,1.0,-0.9134596131512555,-0.7682511713587763,0.0
2018-11-26,-0.27391826923076923,-1.056209935897436,-0.0,1.0,-0.9109375,-0.7653445512820514,0.0
2018-11-27,-0.26320818569096627,-1.0575307560616316,-0.0,1.0,-0.9032925906756379,-0.7573356690687582,0.0
