Date,IWF,IWM,MTUM,PZD,SPY,VLUE,VXX
2018-09-24,-0.18526676456191873,-0.3809237751969029,-0.10701730966048145,1.0,-0.28291727851199217,-0.26874471588127974,0.0
2018-09-25,-0.18412486064659978,-0.3838573021181717,-0.10405797101449275,1.0,-0.2855072463768116,-0.2721516164994426,0.0
2018-09-26,-0.18394059670873655,-0.38371315167461983,-0.10355438612139321,1.0,-0.28571110020960616,-0.2729340409401061,0.0
2018-09-27,-0.1838031938620751,-0.38433401730752076,-0.10342135783745206,1.0,-0.28577482380230174,-0.2730172183067178,0.0
2018-09-28,-0.18202914072784881,-0.3862819912086931,-0.10377758439877725,1.0,-0.28591828993462304,-0.27331146663096595,0.0
2018-10-01,-0.18133267786914553,-0.38883178405434393,-0.10410707901322847,1.0,-0.28604308187343586,-0.2742223811226314,0.0
2018-10-02,-0.18113148339086388,-0.4040211592773569,-0.09967723136235264,1.0,-0.2844846909042005,-0.2721343076164433,0.0
2018-10-03,-0.18118443468125167,-0.40394960997041157,-0.0997489464718013,1.0,-0.28449744463373083,-0.272168923159688,0.0
2018-10-04,-0.18149418330979758,-0.4034025956559747,-0.09990361553807185,1.0,-0.2848048775020734,-0.27189384260193217,0.0
2018-10-05,-0.18267656491802542,-0.4063964832798798,-0.09973759167470339,1.0,-0.2838719806221544,-0.2701011505595801,0.0
2018-10-08,-0.18242349512386502,-0.4061876471247618,-0.09938347718865598,1.0,-0.2839591973993947,-0.2699473153233942,0.0
2018-10-09,-0.18546050710804682,-0.4072136007366317,-0.10517214274485143,1.0,-0.2818290026276192,-0.26617557886226334,0.0
2018-10-10,-0.18501876025073583,-0.4080972387607001,-0.10438338313599498,1.0,-0.28185310836010696,-0.26738412455907795,0.0
2018-10-11,-0.18734645119120066,-0.4121080983613947,-0.10543872698176573,1.0,-0.2837920075731963,-0.2652647237811887,0.0
2018-10-12,-0.19382129065380924,-0.4088707337217349,-0.10593986472912342,1.0,-0.27197035648117146,-0.25156811535971785,0.0
2018-10-15,-0.1836384311801824,-0.4269214475239136,-0.09161854221944749,1.0,-0.2727374077459921,-0.2547882895939709,0.0
2018-10-16,-0.1815216905687352,-0.43926193986507617,-0.08296475003350758,1.0,-0.2744270205066345,-0.25566277978823215,0.0
2018-10-17,-0.1801912233390537,-0.43662662417259135,-0.08192738862020549,1.0,-0.2739753504646861,-0.25598965878446145,0.0
2018-10-18,-0.18082094044725872,-0.43787206528282535,-0.08129138703707832,1.0,-0.2734610153619763,-0.2561815790060422,0.0
2018-10-19,-0.1786603807151752,-0.4374888809820316,-0.07914516989859455,1.0,-0.273305461661626,-0.25520370040917983,0.0
2018-10-22,-0.17893519548103012,-0.43684116888315616,-0.07885958279589023,1.0,-0.273695681181337,-0.25559311479784724,0.0
2018-10-23,-0.17998888271261812,-0.43648693718732634,-0.08135630906058922,1.0,-0.27137298499166207,-0.25427459699833244,0.0
2018-10-24,-0.17925431274346135,-0.4393767390094602,-0.08264885920979412,1.0,-0.271274346132443,-0.25340011129660545,0.0
