Date,IWF,IWM,MTUM,NAN,SPY,VLUE,VXX
2018-09-24,-0.07601498174692226,-0.20279090348783915,-0.0,1.0,-0.15612307789560187,-0.14542408774120139,0.0
2018-09-25,-0.07485674486339317,-0.20407129515306932,-0.0,1.0,-0.15708994206477347,-0.14691170418210026,0.0
2018-09-26,-0.07488366203425242,-0.20409003134002343,-0.0,1.0,-0.15706416790654976,-0.1467916046725126,0.0
2018-09-27,-0.07674540018035406,-0.2007625496369188,-0.0,1.0,-0.15750921545982374,-0.14702020281921876,0.0
2018-09-28,-0.07866664553250172,-0.20043113696523962,-0.0,1.0,-0.1583160297357701,-0.14764855997083487,0.0
2018-10-01,-0.0785175082466379,-0.20113867038822633,-0.0,1.0,-0.1583513067749302,-0.14791613803603146,0.0
2018-10-02,-0.07859160293230935,-0.20191361746691633,-0.0,1.0,-0.15834153152867253,-0.1479007330773381,0.0
2018-10-03,-0.07836294416243655,-0.19963515228426396,-0.0,1.0,-0.15905774111675128,-0.1492544416243655,0.0
2018-10-04,-0.079826801376707,-0.19743374201018254,-0.0,1.0,-0.16092245713651288,-0.14790083902996082,0.0
2018-10-05,-0.07921669118461222,-0.19695028393362754,-0.0,1.0,-0.15947737230895775,-0.14615859156266311,0.0
2018-10-08,-0.07883673146831041,-0.19645961751224908,-0.0,1.0,-0.15936462778568042,-0.14586691955113007,0.0
2018-10-09,-0.07816647705726204,-0.19627733535583364,-0.0,1.0,-0.1594615092908608,-0.14617305018328908,0.0
2018-10-10,-0.07921339440846628,-0.19560890854525353,-0.0,1.0,-0.16005370399620913,-0.14465329331859106,0.0
2018-10-11,-0.05576949631016125,-0.18630233664217002,-0.0,1.0,-0.14823792939443686,-0.1439420672302429,0.0
2018-10-12,-0.05891245521474247,-0.1807888252278946,-0.0,1.0,-0.13861131687553854,-0.13344117069041103,0.0
2018-10-15,-0.04461443292747325,-0.19439038006004922,-0.0,1.0,-0.13584996756136936,-0.13390364972314006,0.0
2018-10-16,-0.0419975242293409,-0.19899761480631623,-0.0,1.0,-0.13530690498475287,-0.13331421152742973,0.0
2018-10-17,-0.04101027139371668,-0.19731015994457662,-0.0,1.0,-0.13465767041175938,-0.13309135817343895,0.0
2018-10-18,-0.041184622800674864,-0.19783381537719932,-0.0,1.0,-0.13426428054953002,-0.133089298626175,0.0
2018-10-19,-0.03891062248002758,-0.1957971731342836,-0.0,1.0,-0.13273978146499393,-0.13142077731312857,0.0
2018-10-22,-0.03872594638407733,-0.1901924289273813,-0.0,1.0,-0.13690672750742996,-0.1351805709825583,0.0
2018-10-23,-0.038504841251970276,-0.1902274262553479,-0.0,1.0,-0.1371312767394731,-0.1353148690234932,0.0
2018-10-24,-0.03792250618301731,-0.1893876939219066,-0.0,1.0,-0.1366559244547703,-0.1349471633066027,0.0
2018-10-25,-0.026996197718631182,-0.17312079555425564,-0.0,1.0,-0.13835916934776252,-0.12392512430535245,0.0
2018-10-26,-0.024203766001135916,-0.17067878311270335,-0.0,1.0,-0.1391352469162771,-0.12228581414653328,0.0
2018-10-29,-0.018817087479900917,-0.17164254776701,-0.0,1.0,-0.13551489867164979,-0.12262251387017803,0.0
2018-10-30,-0.016785424632139962,-0.17163422546634227,-0.0,1.0,-0.13558683814158265,-0.12427586606418724,0.0
2018-10-31,-0.018942394952535975,-0.1638265078290431,-0.0,1.0,-0.13510321084398091,-0.12261419455208078,0.0
