Date,IWF,IWM,MTUM,SNY,SPY,VLUE,VXX
2018-09-24,-0.27875233547851364,-0.44493460660161926,-0.00093419140543907,1.0,-0.4658501141789496,-0.4045308283163795,0.0
2018-09-25,-0.27912829160721236,-0.4443896744065378,-0.0016863406408094434,1.0,-0.4653521857569075,-0.4038396679206122,0.0
2018-09-26,-0.2804881215110996,-0.44634557964429444,-0.004180189536544204,1.0,-0.465117486693496,-0.4002336751914839,0.0
2018-09-27,-0.2868035495875296,-0.43763499622661145,-0.007364613422853722,1.0,-0.468108361308455,-0.4024253779894345,0.0
2018-09-28,-0.28996011158328333,-0.43710404880465104,-0.007195557525353911,1.0,-0.4693797742263472,-0.4034465677712021,0.0
2018-10-01,-0.29087779690189325,-0.4363688520315026,-0.007119386637458926,1.0,-0.4699577530902832,-0.4035101444739999,0.0
2018-10-02,-0.29231451528748825,-0.42486695189397894,-0.011452572263383073,1.0,-0.4731034122926015,-0.40704894083272464,0.0
2018-10-03,-0.2927568019217714,-0.42809023969920107,-0.01201107107420753,1.0,-0.47250509164969456,-0.40573920309154526,0.0
2018-10-04,-0.29421897429205274,-0.4251598590630301,-0.012475531776066816,1.0,-0.47425290356257344,-0.4038366175127235,0.0
2018-10-05,-0.29068859626294696,-0.4222661739447249,-0.0068703482017384064,1.0,-0.47681257481913286,-0.40576692864206526,0.0
2018-10-08,-0.29031754700788015,-0.4216015188161556,-0.006111674598840082,1.0,-0.47715273985071904,-0.4055291149775038,0.0
2018-10-09,-0.29099799724295783,-0.4216453819543788,-0.007386792207454419,1.0,-0.4765261268759592,-0.4044268733581294,0.0
2018-10-10,-0.2922268743661093,-0.4204613424180168,-0.008711934049358959,1.0,-0.47730996281174426,-0.40186721452162383,0.0
2018-10-11,-0.23902934824037605,-0.4161605895057807,-0.0,1.0,-0.4669546436285097,-0.4188286113581502,0.0
2018-10-12,-0.2470919277441399,-0.4098686028691305,-0.0,1.0,-0.4534080345702585,-0.40200487400447205,0.0
2018-10-15,-0.21239675683867545,-0.4525523477558031,-0.0,1.0,-0.45217347376929107,-0.40867874011770355,0.0
2018-10-16,-0.205334751880842,-0.46771537857486634,-0.0,1.0,-0.4518833751298224,-0.40821237682701317,0.0
2018-10-17,-0.19688690595548425,-0.4512482454381392,-0.0,1.0,-0.44859133747744134,-0.40979045518347706,0.0
2018-10-18,-0.19604695495133942,-0.449658874285141,-0.0,1.0,-0.45184107554931274,-0.4107304103541688,0.0
2018-10-19,-0.18547664109971115,-0.4406564398844507,-0.0,1.0,-0.45380515987648173,-0.4103745392967427,0.0
2018-10-22,-0.18536961880337624,-0.43510195951497643,-0.0,1.0,-0.4565147025869582,-0.41289246321240947,0.0
2018-10-23,-0.18660227527320702,-0.43504020313161235,-0.0,1.0,-0.45542804510716683,-0.4122874710612133,0.0
2018-10-24,-0.18539884623035607,-0.4327382136463099,-0.0,1.0,-0.4556146807240899,-0.4128207678535906,0.0
2018-10-25,-0.1817483522473859,-0.42975370434610244,-0.0,1.0,-0.4556717379453888,-0.41064968531641804,0.0
2018-10-26,-0.17652276759314015,-0.42452690715552927,-0.0,1.0,-0.4560910703725606,-0.40688448649714176,0.0
2018-10-29,-0.16795954438334643,-0.42652690494893947,-0.0,1.0,-0.4521798900235664,-0.40818931657501967,0.0
2018-10-30,-0.16863890798389472,-0.42656879112245893,-0.0,1.0,-0.45217519395070216,-0.40766473534321906,0.0
2018-10-31,-0.16899578307345298,-0.42429145827204073,-0.0,1.0,-0.451578895753653,-0.4068353437285476,0.0
2018-11-01,-0.18948855188819508,-0.41671622559222915,-0.0,1.0,-0.4591634453365051,-0.412578055307761,0.0
2018-11-02,-0.19230769230769232,-0.4024029210045888,-0.0,1.0,-0.4626979819410865,-0.40965609118271085,0.0
2018-11-05,-0.19709620673422362,-0.39374643839349865,-0.0,1.0,-0.46480513366864046,-0.42199152647357596,0.0
2018-11-06,-0.19408245836125795,-0.39223570878943576,-0.0,1.0,-0.4686871695584183,-0.4271849479981135,0.0
2018-11-07,-0.19341390177928877,-0.3930813708216493,-0.0,1.0,-0.4677767575750056,-0.4273022805667916,0.0
2018-11-08,-0.18254477280576248,-0.3921505747693522,-0.0,1.0,-0.46331836795105824,-0.42880753860575266,0.0
2018-11-09,-0.1832160928051339,-0.39257065284462545,-0.0,1.0,-0.46313710971245214,-0.4292731087251635,0.0
2018-11-12,-0.18371777476255088,-0.37644011348217593,-0.0,1.0,-0.47677315899839645,-0.4300727766128038,0.0
