Date,AXDX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7706622555680275,-1.8009097890943462,-0.19779051219944468,-1.1240621492290424,-1.0142376085543805,0.0
2018-09-25,1.0,-0.7854171618730686,-1.8050867601616352,-0.2122058473971951,-1.1274661278821012,-1.012360351794628,0.0
2018-09-26,1.0,-0.7864853581439731,-1.8098049740561817,-0.20629808552513867,-1.1350271366374425,-1.0265402278284725,0.0
2018-09-27,1.0,-0.7949850746268656,-1.7961194029850747,-0.2115223880597015,-1.1385074626865672,-1.0290149253731344,0.0
2018-09-28,1.0,-0.8029350104821804,-1.797244684037137,-0.2123989218328841,-1.143695717280623,-1.0335429769392035,0.0
2018-10-01,1.0,-0.8076946161694976,-1.7974311265830383,-0.21223215893403757,-1.1484304663585618,-1.0362523257907688,0.0
2018-10-02,1.0,-0.8106133784110118,-1.8342187877324316,-0.2053851726636078,-1.1499637768654913,-1.037007969089592,0.0
2018-10-03,1.0,-0.8241012472487159,-1.8779652726828073,-0.21203228173147468,-1.160063585228662,-1.0398019075568599,0.0
2018-10-04,1.0,-0.8394348894348894,-1.869840294840295,-0.2146191646191646,-1.1814496314496314,-1.037162162162162,0.0
2018-10-05,1.0,-0.8293339862879529,-1.8720004897159648,-0.19827375122428992,-1.183888344760039,-1.0379529872673847,0.0
2018-10-08,1.0,-0.853000377405963,-1.91451754937728,-0.18518052585230846,-1.252547490250346,-1.0848534406843628,0.0
2018-10-09,1.0,-0.8973977213878819,-1.9673096841015019,-0.22391248058001037,-1.282755049197307,-1.10189021232522,0.0
2018-10-10,1.0,-0.897228338298148,-1.9695635280404094,-0.222315762206968,-1.2835772568320165,-1.103160212407719,0.0
2018-10-11,1.0,-0.8003877180914264,-1.9797386029641673,-0.08298417860046277,-1.2611468951285096,-1.129260208867488,0.0
2018-10-12,1.0,-0.8016716858214,-1.9668735787597567,-0.06803515456947945,-1.2245713232130786,-1.0847520127834798,0.0
2018-10-15,1.0,-0.7737284495981349,-2.017240321492116,-0.025461684765936562,-1.226210196944598,-1.0926437204736488,0.0
2018-10-16,1.0,-0.7769381987959209,-2.012102223860425,-0.03108489986484826,-1.2282221403120777,-1.094851947413687,0.0
2018-10-17,1.0,-0.7464873303710821,-1.946259156959289,-0.009607301549177376,-1.209979584484208,-1.092290140506785,0.0
2018-10-18,1.0,-0.7447998076229411,-1.9437898280630037,-0.011963448358783216,-1.2164241914151739,-1.0947457015750872,0.0
2018-10-19,1.0,-0.7206118683411702,-1.9292304029522052,-0.0,-1.215046723409321,-1.0871971906434141,0.0
2018-10-22,1.0,-0.7217152740502176,-1.912148863839685,-0.0,-1.229379137591698,-1.1007932247867835,0.0
2018-10-23,1.0,-0.7172727817386615,-1.9203762506740158,-0.0,-1.2425259121682344,-1.1110778263734946,0.0
2018-10-24,1.0,-0.7134821375142122,-1.918616480162767,-0.0,-1.2416970857518999,-1.1102866375441327,0.0
2018-10-25,1.0,-0.6400300456462703,-1.834402264979488,-0.0,-1.255619113653435,-1.0479574738545097,0.0
2018-10-26,1.0,-0.6000231468086338,-1.8312597650598925,-0.0,-1.3021237196921476,-1.0532376598576472,0.0
2018-10-29,1.0,-0.5551315409077768,-1.8648742411101473,-0.0,-1.2889852558542931,-1.0730268863833479,0.0
2018-10-30,1.0,-0.5639080326634621,-1.8675508194822494,-0.0,-1.2911912897434414,-1.068685932704002,0.0
2018-10-31,1.0,-0.5691010269060869,-1.8282370489358042,-0.0,-1.2836899776260684,-1.0558200906431072,0.0
2018-11-01,1.0,-0.5564525363563494,-1.834879193862361,-0.0,-1.2804878048780486,-1.0535898316729646,0.0
2018-11-02,1.0,-0.5588135015342652,-1.8018524832367313,-0.0,-1.2796340493237868,-1.0421638822593478,0.0
2018-11-05,1.0,-0.5495536736095217,-1.8540856031128403,-0.0,-1.295090409704738,-1.0234607461661707,0.0
2018-11-06,1.0,-0.5570243204577968,-1.8599141630901288,-0.0,-1.2899570815450645,-1.0155650929899858,0.0
2018-11-07,1.0,-0.5561274089323498,-1.8593240693086293,-0.0,-1.2885572139303483,-1.0145250757705726,0.0
2018-11-08,1.0,-0.4987346460095056,-2.0402444293562128,-0.0,-1.4233689278439603,-1.2101722115918772,0.0
2018-11-09,1.0,-0.4996266334785314,-2.0555693839452394,-0.0,-1.4438083385189795,-1.2237710018668326,0.0
2018-11-12,1.0,-0.49625780911733774,-2.0231335436382754,-0.0,-1.451165955341127,-1.2148203129832373,0.0
