Date,IBKR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3874574288761223,-0.6175995046269221,-0.35625580515325606,-0.5626612542571124,-0.5160824245760087,0.0
2018-09-25,1.0,-0.38959966983078825,-0.6157999724858989,-0.3595749071399092,-0.5609781262897234,-0.5132755537212822,0.0
2018-09-26,1.0,-0.38936470264506584,-0.6156571389261515,-0.35885529529116367,-0.5613111821965397,-0.5144291954734633,0.0
2018-09-27,1.0,-0.38830868920828593,-0.6225829800434288,-0.35732257953331265,-0.5626787991589978,-0.5158721952228311,0.0
2018-09-28,1.0,-0.38495514147688065,-0.6274327122153209,-0.3578329882677709,-0.5634920634920635,-0.5169772256728778,0.0
2018-10-01,1.0,-0.38610478359908884,-0.6264236902050114,-0.3575619520949817,-0.564229999309726,-0.517049768758197,0.0
2018-10-02,1.0,-0.38656912140244326,-0.622506729242874,-0.358961971150528,-0.5649458209676307,-0.5179446476637449,0.0
2018-10-03,1.0,-0.3863942291098609,-0.6122596900562592,-0.357125599696269,-0.5698408863424568,-0.5259034273288925,0.0
2018-10-04,1.0,-0.3875241512558653,-0.6098192105989512,-0.3573695832183274,-0.5710736958321833,-0.524392768423958,0.0
2018-10-05,1.0,-0.37384271209774567,-0.6020306315608329,-0.34599896747547754,-0.5822061607296507,-0.5376355188435725,0.0
2018-10-08,1.0,-0.3721473742095133,-0.599017047016772,-0.3425213087709651,-0.5858537255980204,-0.537359087159747,0.0
2018-10-09,1.0,-0.3698583023799697,-0.6003920759389186,-0.33594717292612464,-0.5900742880726372,-0.5429907827761727,0.0
2018-10-10,1.0,-0.3698201451219093,-0.6002269679149902,-0.33601568141958116,-0.5901509680525465,-0.5426596512947488,0.0
2018-10-11,1.0,-0.3314822294022617,-0.5977382875605817,-0.2915656973613355,-0.5848478729133011,-0.5600094238018309,0.0
2018-10-12,1.0,-0.32756581392991113,-0.6039336284681153,-0.2871481193606164,-0.5933222939407252,-0.5674360447433341,0.0
