Date,IWF,IWM,MTUM,SHI,SPY,VLUE,VXX
2018-09-24,-0.40631857605628896,-0.6806228012121633,-0.06861959664216795,1.0,-0.6864746246821554,-0.6411926573548364,0.0
2018-09-25,-0.40561660561660556,-0.6834815977673121,-0.06635269492412349,1.0,-0.6888540031397173,-0.6442700156985871,0.0
2018-09-26,-0.4072056975282782,-0.6857980728948472,-0.06919424661360146,1.0,-0.6886608015640274,-0.6402737047898339,0.0
2018-09-27,-0.4209155846440762,-0.6766599809986277,-0.07445722931841374,1.0,-0.6985819346212042,-0.6481931102431472,0.0
2018-09-28,-0.42221987538282824,-0.6761713662125532,-0.07469989791248637,1.0,-0.6988066321681276,-0.648396521984018,0.0
2018-10-01,-0.4225366987010244,-0.6757137325307143,-0.07487591086703982,1.0,-0.6988418347590383,-0.6482909142112859,0.0
2018-10-02,-0.4224642278141961,-0.6840769718756609,-0.07298935645309086,1.0,-0.6977162190738,-0.6470360188905336,0.0
2018-10-03,-0.42202028740490277,-0.678712313327698,-0.07252042828965906,1.0,-0.6990701606086221,-0.6498309382924767,0.0
2018-10-04,-0.42680993482473134,-0.6718689448652457,-0.07331336973753742,1.0,-0.7054077858023604,-0.6455874581645236,0.0
2018-10-05,-0.4295752268634582,-0.6774125207443239,-0.06977154761484411,1.0,-0.7081317750079447,-0.6460930051904946,0.0
2018-10-08,-0.4279672963067381,-0.6743374682830561,-0.06727516210882435,1.0,-0.7094727939103468,-0.645052156752185,0.0
2018-10-09,-0.42903976311336717,-0.674598138747885,-0.06923293852227863,1.0,-0.7086858432036097,-0.643542019176537,0.0
2018-10-10,-0.42888873219574103,-0.675045832745734,-0.06857283880975884,1.0,-0.7089620645889155,-0.6441263573543929,0.0
2018-10-11,-0.42395196966505155,-0.6742504037637805,-0.05705357769819535,1.0,-0.7104838143388807,-0.6452145214521451,0.0
2018-10-12,-0.4245452584657416,-0.7036810698109138,-0.04407218347832339,1.0,-0.7448414695520886,-0.6776188079660652,0.0
2018-10-15,-0.4271268173312221,-0.7013818914639411,-0.04451561825248309,1.0,-0.7472290197207427,-0.678422340578667,0.0
2018-10-16,-0.4280057595392369,-0.6989200863930886,-0.0466882649388049,1.0,-0.7473722102231821,-0.6787257019438445,0.0
2018-10-17,-0.41142328098849834,-0.6595093116832247,-0.02175693480041306,1.0,-0.7596766727201509,-0.7085069258982302,0.0
2018-10-18,-0.41306905279669176,-0.6628284196641832,-0.02014188442479769,1.0,-0.7592955687854266,-0.7095647214003066,0.0
2018-10-19,-0.40456042205148174,-0.6525156675990511,-0.01037425202705095,1.0,-0.7631625535530928,-0.710087455298658,0.0
2018-10-22,-0.4087394481095268,-0.6426899340285166,-0.0,1.0,-0.7749521174718024,-0.7204724409448818,0.0
2018-10-23,-0.4147632410926788,-0.6444531277752122,-0.004831089481723563,1.0,-0.7699193634329153,-0.7183403786721609,0.0
2018-10-24,-0.4143974404550302,-0.6465339495200854,-0.0035904728048346962,1.0,-0.771489512975471,-0.7189477426235337,0.0
2018-10-25,-0.3813921433494142,-0.5968297725706408,-0.0,1.0,-0.7798070296347346,-0.6878704341833218,0.0
2018-10-26,-0.3668178872326637,-0.5840638537367397,-0.0,1.0,-0.781526077020159,-0.6785482825664291,0.0
2018-10-29,-0.3594148664738901,-0.5840789249872428,-0.0,1.0,-0.7793502296308896,-0.6790950841979928,0.0
2018-10-30,-0.40026337676739676,-0.603756584419185,-0.0,1.0,-0.7960216246187968,-0.665442195730524,0.0
2018-10-31,-0.40252850597678186,-0.5894105894105894,-0.0,1.0,-0.7924833786902753,-0.6604085569602811,0.0
2018-11-01,-0.3956921171248667,-0.5938134397687782,-0.0,1.0,-0.7914530502701029,-0.6598768193235386,0.0
2018-11-02,-0.39639949153124676,-0.5892740577867868,-0.0,1.0,-0.7914934551826022,-0.6584326794241935,0.0
2018-11-05,-0.3895218753227083,-0.6126123025024955,-0.0,1.0,-0.7958762176861381,-0.644211903204709,0.0
2018-11-06,-0.389403380727786,-0.6124212483216855,-0.0,1.0,-0.7961235239439529,-0.6447825937274073,0.0
2018-11-07,-0.3887646633871134,-0.6123017647665898,-0.0,1.0,-0.7947641817743989,-0.6442602084695036,0.0
2018-11-08,-0.3551804264625478,-0.6180631492618918,-0.0,1.0,-0.7877938764352105,-0.656130399125205,0.0
2018-11-09,-0.35725049660935676,-0.6205562024796218,-0.0,1.0,-0.7884786629221179,-0.6586410028084115,0.0
2018-11-12,-0.35672714823690516,-0.6195480999657651,-0.0,1.0,-0.7888736733995206,-0.6583361862375898,0.0
2018-11-13,-0.3362642585551331,-0.6127104834329169,-0.0,1.0,-0.791655350353069,-0.6542639869636068,0.0
2018-11-14,-0.3426837214087309,-0.6206234354103083,-0.0,1.0,-0.8038476046774803,-0.6620829189671136,0.0
2018-11-15,-0.3431254514808572,-0.6290805269856558,-0.0,1.0,-0.8173437446252277,-0.6503044270922912,0.0
2018-11-16,-0.3389720010979962,-0.6194070820752128,-0.0,1.0,-0.8162228932198738,-0.6566360142739501,0.0
2018-11-19,-0.3315010717002005,-0.6304017147203208,-0.0,1.0,-0.8295305261702274,-0.6656641084145751,0.0
2018-11-20,-0.3033854614194879,-0.6221343873517787,-0.0,1.0,-0.8328235091940196,-0.6786733115655611,0.0
2018-11-21,-0.309584653650891,-0.6143309823162629,-0.0,1.0,-0.8310334253296536,-0.6523220552659376,0.0
2018-11-23,-0.3091331692644244,-0.6253759912496583,-0.0,1.0,-0.8298810500410173,-0.653677878042111,0.0
2018-11-26,-0.30989726027397263,-0.6235273972602741,-0.0,1.0,-0.8338356164383562,-0.6573972602739726,0.0
2018-11-27,-0.3014109467657283,-0.6255538136459682,-0.0,1.0,-0.829118669484016,-0.652000545293436,0.0
2018-11-28,-0.2995836745836746,-0.6361930111930112,-0.0,1.0,-0.826030576030576,-0.6506961506961506,0.0
2018-11-29,-0.2759750126625021,-0.624717204119534,-0.0,1.0,-0.8220158703359783,-0.6539929089988181,0.0
2018-11-30,-0.275130129115122,-0.625498546609883,-0.0,1.0,-0.8224836071114716,-0.6568985330899749,0.0
2018-12-03,-0.27446873205175853,-0.6253927497550593,-0.0,1.0,-0.8221223689989527,-0.6564748809081389,0.0
2018-12-04,-0.2729083665338645,-0.6253967182118982,-0.0,1.0,-0.8220338983050848,-0.6560199878452293,0.0
