Date,FIBK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13734352385547063,-0.6200137114998857,-0.07881573267653556,-0.34093390549221747,-0.36205977198283523,0.0
2018-09-25,1.0,-0.1376745366844377,-0.6195481086570196,-0.07941101802487942,-0.34056867225184057,-0.36151307438436153,0.0
2018-09-26,1.0,-0.13746001117148227,-0.6194586909053978,-0.07883511907784492,-0.3408063779007769,-0.3624130401665567,0.0
2018-09-27,1.0,-0.1366042345276873,-0.6250763436482085,-0.07759059446254073,-0.3419432003257329,-0.36357390065146583,0.0
2018-09-28,1.0,-0.1359680374592834,-0.6255089576547231,-0.07789596905537459,-0.3418668566775244,-0.36357390065146583,0.0
2018-10-01,1.0,-0.1362768800101794,-0.6251431479832039,-0.07794884845400178,-0.3419773508079908,-0.3635322560122153,0.0
2018-10-02,1.0,-0.1363902538381241,-0.6279247396695267,-0.07727168571937774,-0.3414975685515696,-0.3629605112406752,0.0
2018-10-03,1.0,-0.13623638399674234,-0.624020156774916,-0.07680952865723302,-0.34276697546574364,-0.3652651939326072,0.0
2018-10-04,1.0,-0.13474976878018702,-0.6402733532011099,-0.07584009865378688,-0.34174288356797866,-0.37650292878429764,0.0
2018-10-05,1.0,-0.12321364544383548,-0.636300773446704,-0.06615274291860883,-0.34917789274189415,-0.3862367464016801,0.0
2018-10-08,1.0,-0.12225633154259401,-0.6352775645945254,-0.06497825530826297,-0.3498337170631875,-0.3858531593757994,0.0
2018-10-09,1.0,-0.12066229910942777,-0.6360937659944723,-0.06077899477940424,-0.3523134404749718,-0.38926706930084964,0.0
2018-10-10,1.0,-0.12258064516129032,-0.6350486431131592,-0.06282642089093701,-0.35373783922171015,-0.3859959037378392,0.0
2018-10-11,1.0,-0.08597976357443397,-0.6434331797235023,-0.017080745341614904,-0.3508314966940493,-0.40720797435383693,0.0
2018-10-12,1.0,-0.08209327873764106,-0.6463846998901429,-0.01333266753220813,-0.34907120743034054,-0.40584739838210326,0.0
2018-10-15,1.0,-0.045207453667416755,-0.7080225531592123,-0.0,-0.3546054461328412,-0.42054562463654527,0.0
2018-10-16,1.0,-0.04175412862598316,-0.7139424900735946,-0.0,-0.3537340987835411,-0.41958979287322024,0.0
2018-10-17,1.0,-0.029405151522722158,-0.6929072875808828,-0.0,-0.35116296499862587,-0.42486321732830334,0.0
2018-10-18,1.0,-0.028828378715963027,-0.6919560329752686,-0.0,-0.3523107669248064,-0.425031226580065,0.0
2018-10-19,1.0,-0.021970904742925467,-0.6930051813471503,-0.0,-0.3514099242726186,-0.42467118373854124,0.0
2018-10-22,1.0,-0.022264282512327538,-0.6892962095930667,-0.0,-0.3529162723514469,-0.425935149673756,0.0
2018-10-23,1.0,-0.015544041450777202,-0.6968660395392122,-0.0,-0.3667689521605715,-0.43603803008199604,0.0
2018-10-24,1.0,-0.013567157429274912,-0.695341942615949,-0.0,-0.36666499170895933,-0.4368875935882619,0.0
2018-10-25,1.0,-0.0002723041885335182,-0.6827656203584513,-0.0,-0.36572928012674527,-0.42672541835825334,0.0
2018-10-26,1.0,-0.004197402081315352,-0.6846484365298166,-0.0,-0.3661426123239699,-0.42868141966569806,0.0
2018-10-29,1.0,-0.0,-0.6868383865929544,-0.0,-0.3635371990976027,-0.4287130921982299,0.0
2018-10-30,1.0,-0.0,-0.6851801208263929,-0.0,-0.35962011784302517,-0.4413395321084952,0.0
2018-10-31,1.0,-0.0,-0.671397838826933,-0.0,-0.3613906678865508,-0.4399495561435177,0.0
2018-11-01,1.0,-0.0,-0.6793049754072022,-0.0,-0.3555698361304036,-0.43676314293482293,0.0
2018-11-02,1.0,-0.0,-0.6606308123800619,-0.0,-0.3645377158884023,-0.43512276730797617,0.0
2018-11-05,1.0,-0.0,-0.6733316917015514,-0.0,-0.3648608717064762,-0.42425510957892143,0.0
