Date,IWF,IWM,MTUM,SPY,TPR,VLUE,VXX
2018-09-24,-0.43940221632589355,-0.8253472764164196,-0.0786639612923365,-0.7795380053066958,1.0,-0.7790697674418604,0.0
2018-09-25,-0.43873363298807894,-0.8286495993746336,-0.07621653312487785,-0.7823333984756693,1.0,-0.7826069962868868,0.0
2018-09-26,-0.43881180379128387,-0.8288059409810434,-0.07637287473128786,-0.7822943130740667,1.0,-0.7822161422708618,0.0
2018-09-27,-0.44444010009383794,-0.8183453237410073,-0.07987957460118862,-0.7840162652486706,1.0,-0.7832342821395059,0.0
2018-09-28,-0.4454221909343346,-0.8179044937228677,-0.08021432203058391,-0.7841135750322658,1.0,-0.7832922679807581,0.0
2018-10-01,-0.445578630372717,-0.8177089444248895,-0.08048809104775315,-0.7840353553130746,1.0,-0.7831749384019713,0.0
2018-10-02,-0.44627776040037537,-0.8106427901157335,-0.08332030028151392,-0.7851110416015015,1.0,-0.7845245542696277,0.0
2018-10-03,-0.44628196106028617,-0.8101884431933692,-0.08362655406990382,-0.7850105559465165,1.0,-0.7845023066697944,0.0
2018-10-04,-0.44774369994139473,-0.8064856417268997,-0.08435241258058215,-0.7864035944520413,1.0,-0.7820668099238132,0.0
2018-10-05,-0.44821246968630213,-0.8108425252288196,-0.07924587342564343,-0.7893295783462412,1.0,-0.7838144410545256,0.0
2018-10-08,-0.4461748633879781,-0.8072599531615926,-0.07626854020296643,-0.7908274785323967,1.0,-0.7826697892271663,0.0
2018-10-09,-0.4441537139732875,-0.8085604936343045,-0.07025697102241661,-0.7946184488010622,1.0,-0.7877450597516207,0.0
2018-10-10,-0.44394969143035695,-0.809116475275369,-0.06952581829544566,-0.7949378954769158,1.0,-0.7884540270291384,0.0
2018-10-11,-0.43592930666148766,-0.8074966012818022,-0.05589434841716838,-0.794678578364731,1.0,-0.7902505340842881,0.0
2018-10-12,-0.4404218600191755,-0.7967785234899329,-0.05031639501438159,-0.7773729626078619,1.0,-0.7702396931927133,0.0
2018-10-15,-0.437270079705702,-0.8008123850398527,-0.04425965665236051,-0.7783185162477008,1.0,-0.7713442673206621,0.0
2018-10-16,-0.43930502819008166,-0.7960725654892034,-0.04867103900586814,-0.7790051010624017,1.0,-0.772331530702259,0.0
2018-10-17,-0.42522093813732154,-0.7626331293904373,-0.0379938061787144,-0.7740388246846438,1.0,-0.776833597703754,0.0
2018-10-18,-0.426179949363262,-0.7646147451158222,-0.03695726108151004,-0.7736840116388921,1.0,-0.7774250840796585,0.0
2018-10-19,-0.41444381917088724,-0.75246670418308,-0.02416057024948415,-0.7800787844682048,1.0,-0.7805289814293753,0.0
2018-10-22,-0.41354683506239664,-0.7599233198015336,-0.030935197714629378,-0.7766125394677492,1.0,-0.777852954442941,0.0
2018-10-23,-0.41537016159338597,-0.7592634347989478,-0.035287485907553554,-0.7726418639609169,1.0,-0.7754603532506577,0.0
2018-10-24,-0.41610032666241126,-0.7562422558480081,-0.028949048173318812,-0.7749408628393346,1.0,-0.7785078661810535,0.0
2018-10-25,-0.3799562682215744,-0.7055029154518951,-0.01946064139941691,-0.7911443148688048,1.0,-0.7482142857142857,0.0
2018-10-26,-0.36268829663962915,-0.698797798377752,-0.0,-0.813441483198146,1.0,-0.7461254345307068,0.0
2018-10-29,-0.3401333573616868,-0.7075148675437016,-0.0,-0.8038565507298613,1.0,-0.7527122003964679,0.0
2018-10-30,-0.33859459459459457,-0.7073873873873874,-0.0,-0.8037837837837837,1.0,-0.7538378378378378,0.0
2018-10-31,-0.3486742832507006,-0.6815764891858878,-0.0,-0.8092620536035066,1.0,-0.7532154918445068,0.0
2018-11-01,-0.37280383330913314,-0.6754755336140554,-0.0,-0.8200595324524467,1.0,-0.7616886888340351,0.0
2018-11-02,-0.3769302929715687,-0.6504185308125271,-0.0,-0.8247582623755231,1.0,-0.7559171597633135,0.0
2018-11-05,-0.37364301943953543,-0.6592851732967865,-0.0,-0.8252245104050204,1.0,-0.7484401485916254,0.0
2018-11-06,-0.3779027837876821,-0.6627001298139333,-0.0,-0.8218664358863407,1.0,-0.743473243905957,0.0
2018-11-07,-0.37693861357570513,-0.6646829690543172,-0.0,-0.820962273678136,1.0,-0.7441390752362403,0.0
2018-11-08,-0.34138215168559455,-0.6707985526457206,-0.0,-0.8135993981299037,1.0,-0.756779994984416,0.0
