Date,IWF,IWM,MTUM,SKYW,SPY,VLUE,VXX
2018-09-24,-0.4043913076171141,-0.918790886532822,-0.06876456876456877,1.0,-0.6329423264907136,-0.7347920896307993,0.0
2018-09-25,-0.40344333936106086,-0.9227697408077155,-0.0655515370705244,1.0,-0.6364526823387583,-0.7391500904159132,0.0
2018-09-26,-0.40297944559683196,-0.9230247029983029,-0.06275693003960023,1.0,-0.6383933622477843,-0.7442956816896097,0.0
2018-09-27,-0.4151658767772512,-0.911696682464455,-0.06813270142180095,1.0,-0.646218009478673,-0.7502559241706162,0.0
2018-09-28,-0.41832744941730254,-0.910906123068747,-0.06821546520897392,1.0,-0.6474964886307558,-0.7510913715218465,0.0
2018-10-01,-0.4196157351154314,-0.9097812879708385,-0.06819562575941678,1.0,-0.6483900364520049,-0.7511391251518834,0.0
2018-10-02,-0.4247473578646918,-0.9726529352773279,-0.05403841703309419,1.0,-0.6531281339196174,-0.7525649926714496,0.0
2018-10-03,-0.4268528547114343,-0.9834442209500232,-0.05562432306978183,1.0,-0.6526767754912578,-0.7494971375522202,0.0
2018-10-04,-0.42871501468996437,-0.9790861295809493,-0.05640173186949126,1.0,-0.6547858357816607,-0.7467914025050254,0.0
2018-10-05,-0.41558191481167683,-0.9734267888777631,-0.04178541169221289,1.0,-0.6624431949472387,-0.7579527073865825,0.0
2018-10-08,-0.4178418266816057,-0.9787118958389676,-0.04288529150407604,1.0,-0.6634084147896303,-0.7606923463277054,0.0
2018-10-09,-0.41793524457151693,-0.9790201684568426,-0.04292558534889112,1.0,-0.663240862375396,-0.7604899157715788,0.0
2018-10-10,-0.4185076471496988,-0.9781013440444924,-0.043565580101962,1.0,-0.6634481693187084,-0.7586126989031362,0.0
2018-10-11,-0.36760007517383947,-0.9731629392971245,-0.0,1.0,-0.6457056944183424,-0.7721856793835745,0.0
2018-10-12,-0.37395113982327166,-0.9667334966956262,-0.0,1.0,-0.6227816143164773,-0.7493131358134699,0.0
