Date,IWF,IWM,MTUM,PYPL,SPY,VLUE,VXX
2018-09-24,-0.5848814038696406,-0.4989072443273124,-0.40650511023976343,1.0,-0.47714855049174004,-0.24654496368194379,0.0
2018-09-25,-0.5838563290528145,-0.5015931254224196,-0.4038814328473496,1.0,-0.4794502912683853,-0.24965401821634323,0.0
2018-09-26,-0.5842747256283995,-0.5020758907019407,-0.404911332110328,1.0,-0.4791284477487046,-0.24804480061793957,0.0
2018-09-27,-0.5854560658690339,-0.49813456837771775,-0.40595651614563233,1.0,-0.4789334877138814,-0.24778077962176767,0.0
2018-09-28,-0.5818515655199072,-0.5035111454709444,-0.4063909290039943,1.0,-0.48009277155005803,-0.2493879654683675,0.0
2018-10-01,-0.5846858765448033,-0.5028556677745152,-0.405601626278597,1.0,-0.48291439450162943,-0.25071795037268885,0.0
2018-10-02,-0.5843447385409941,-0.5057779212395093,-0.404744996772111,1.0,-0.4824402840542285,-0.25054874112330533,0.0
2018-10-03,-0.5842856220543612,-0.5059074181677319,-0.40480340887081157,1.0,-0.482439150364775,-0.25066175995868034,0.0
2018-10-04,-0.584670001613684,-0.5045989995158947,-0.40493787316443436,1.0,-0.48307245441342583,-0.25008875262223657,0.0
2018-10-05,-0.5884328478703136,-0.5067975586915103,-0.40546388090548,1.0,-0.4826751057577421,-0.2458423483062615,0.0
2018-10-08,-0.5879544501435531,-0.5053066227942837,-0.4044969192554599,1.0,-0.48320913577857355,-0.2449433852704926,0.0
2018-10-09,-0.5964308890330955,-0.5106424399740428,-0.41742375081116156,1.0,-0.4812459441920831,-0.23887086307592476,0.0
2018-10-10,-0.5963978581859485,-0.5111471685867273,-0.41700470550056795,1.0,-0.48129157877656986,-0.23936394613013146,0.0
2018-10-11,-0.5831470719713902,-0.503831662302829,-0.3984928794942205,1.0,-0.47285905868829425,-0.23468931604827892,0.0
2018-10-12,-0.6029127750514484,-0.49979420611049546,-0.4011714421402564,1.0,-0.4540446414437233,-0.20813677378502454,0.0
2018-10-15,-0.6112698412698413,-0.49168253968253967,-0.408984126984127,1.0,-0.45599999999999996,-0.20663492063492062,0.0
2018-10-16,-0.6139636918576925,-0.484977585603917,-0.41500015896734815,1.0,-0.45712650621562334,-0.2082790194893969,0.0
2018-10-17,-0.6093819054233222,-0.47190479196919,-0.4117999873729402,1.0,-0.45482669360439426,-0.20888313656165164,0.0
2018-10-18,-0.6098569759732264,-0.47261074100969275,-0.4114545511950241,1.0,-0.45448804975846935,-0.2088529662488555,0.0
2018-10-19,-0.6102719033232629,-0.46865558912386707,-0.41027819738167176,1.0,-0.4540533736153071,-0.20377014098690838,0.0
2018-10-22,-0.6656517276770441,-0.5121450564488539,-0.31330824495381454,1.0,-0.5955867259664728,-0.3344166951761888,0.0
2018-10-23,-0.6676700988608765,-0.5116477952998324,-0.31796257654021143,1.0,-0.5914548626552184,-0.3320562378134301,0.0
2018-10-24,-0.6766660926468057,-0.5116927845703462,-0.30005166178749787,1.0,-0.6065438264163939,-0.3491648011021181,0.0
2018-10-25,-0.6608039354425688,-0.4789244920650965,-0.29930253714747806,1.0,-0.6059503352538832,-0.32440446106674753,0.0
2018-10-26,-0.653735439817914,-0.47201767304860087,-0.29237515062257324,1.0,-0.6086825545588432,-0.3203574775739724,0.0
2018-10-29,-0.6508561700991354,-0.4735471811475683,-0.287693180680263,1.0,-0.6061617543976768,-0.31967021596181444,0.0
2018-10-30,-0.6568086883876357,-0.4738847117794486,-0.29119465329991645,1.0,-0.6058479532163742,-0.3139515455304929,0.0
2018-10-31,-0.663685033086157,-0.4510690652744987,-0.2922887640075816,1.0,-0.6072224254314501,-0.31097662354936323,0.0
2018-11-01,-0.6710793957784522,-0.4446630431158091,-0.29900963686685117,1.0,-0.608089632865384,-0.31171429524158856,0.0
