Date,IWF,IWM,MTUM,SPY,SUPN,VLUE,VXX
2018-09-24,-0.7725237327601648,-1.6096483372141621,-0.06340677055346587,-1.3390053137500746,1.0,-1.185921547555078,0.0
2018-09-25,-0.7796640564289556,-1.6078665789945603,-0.07238926415207125,-1.3370195468946142,1.0,-1.1807041664175981,0.0
2018-09-26,-0.7796640564289556,-1.6079861318668183,-0.0722697112798135,-1.337079323330743,1.0,-1.1806443899814694,0.0
2018-09-27,-0.7850785496684786,-1.5941102682038109,-0.07639925930350636,-1.337435039722836,1.0,-1.1803357027656651,0.0
2018-09-28,-0.7847458639431405,-1.593680941288897,-0.07728602998267933,-1.3368571940512453,1.0,-1.180075255330586,0.0
2018-10-01,-0.7846604145511021,-1.593931067439221,-0.07795233259661909,-1.336598769488083,1.0,-1.1801565020010751,0.0
2018-10-02,-0.7858297897825957,-1.6134036054381027,-0.07468407498352997,-1.3358687189315446,1.0,-1.1793136491585314,0.0
2018-10-03,-0.7847313629292808,-1.604343663994256,-0.07418930238123728,-1.33702285509154,1.0,-1.1827210721550794,0.0
2018-10-04,-0.7854367190769415,-1.6003467447838822,-0.07538709870269623,-1.3370000597835834,1.0,-1.180247504035392,0.0
2018-10-05,-0.7700356718192628,-1.5920927467300832,-0.05624256837098692,-1.3420927467300834,1.0,-1.184780023781213,0.0
2018-10-08,-0.76661918328585,-1.586479107312441,-0.047898860398860404,-1.3498931623931625,1.0,-1.1845322886989553,0.0
2018-10-09,-0.7717242609885208,-1.5901980610242075,-0.05513590673883305,-1.349313031582704,1.0,-1.1814072443942187,0.0
2018-10-10,-0.7741762816700368,-1.5882003092660877,-0.05757107172594266,-1.351017009634828,1.0,-1.1764006185321756,0.0
2018-10-11,-0.6439480937069361,-1.5764239779513092,-0.0,-1.318385392742306,1.0,-1.2030891134588884,0.0
2018-10-12,-0.6821397756686799,-1.5970664365832614,-0.0,-1.3003163646821974,1.0,-1.172562553925798,0.0
2018-10-15,-0.6323470267164608,-1.6463085320310256,-0.0,-1.2922148807813845,1.0,-1.174604998563631,0.0
2018-10-16,-0.6347071334138069,-1.644134046099902,-0.0,-1.2934413979421737,1.0,-1.1758349140656434,0.0
2018-10-17,-0.5906524291384804,-1.559177055962431,-0.0,-1.2682954100743558,1.0,-1.1725834404875048,0.0
2018-10-18,-0.5894424872784209,-1.5568976122574514,-0.0,-1.2720460772800983,1.0,-1.1735167477492592,0.0
2018-10-19,-0.5566924778761062,-1.5319137168141594,-0.0,-1.273396017699115,1.0,-1.1689159292035398,0.0
2018-10-22,-0.5568093815687576,-1.5174244938599404,-0.0,-1.28117048346056,1.0,-1.176236309326253,0.0
2018-10-23,-0.5616150442477876,-1.5176438053097348,-0.0,-1.2774889380530974,1.0,-1.1742256637168142,0.0
2018-10-24,-0.5580727152171511,-1.5159133605923305,-0.0,-1.2774892253287655,1.0,-1.1739971267543374,0.0
2018-10-25,-0.48642808201127913,-1.4125863068571127,-0.0,-1.2710694144310335,1.0,-1.1005639593105991,0.0
2018-10-26,-0.4633767041625628,-1.3815250635011147,-0.0,-1.2613654035560624,1.0,-1.0774972785236638,0.0
2018-10-29,-0.42720997321244597,-1.394910364722852,-0.0,-1.2450546053987224,1.0,-1.084277766330105,0.0
2018-10-30,-0.42693040745891925,-1.394735486529645,-0.0,-1.2449389584299182,1.0,-1.0845309843919024,0.0
2018-10-31,-0.43219000050965806,-1.3564548188165741,-0.0,-1.2364303552316396,1.0,-1.0715050201314917,0.0
2018-11-01,-0.40592245853261427,-1.3761066449577692,-0.0,-1.2345578508191717,1.0,-1.0714358400325634,0.0
2018-11-02,-0.41947413749430057,-1.3206849384467296,-0.0,-1.2593343127818024,1.0,-1.0665687218197477,0.0
2018-11-05,-0.41957545974973404,-1.3206342773190132,-0.0,-1.2592836516540857,1.0,-1.0665687218197477,0.0
2018-11-06,-0.4943329015544042,-1.4623272884283247,-0.0,-1.3305807426597582,1.0,-1.1100496545768566,0.0
2018-11-07,-0.4927450240034522,-1.463293597281407,-0.0,-1.3283348616430228,1.0,-1.1096607152489346,0.0
2018-11-08,-0.4906564704615219,-1.4610910657547527,-0.0,-1.3254348645592116,1.0,-1.1081910711400722,0.0
2018-11-09,-0.48943965517241383,-1.4618534482758623,-0.0,-1.3280711206896552,1.0,-1.1086206896551725,0.0
2018-11-12,-0.48783494105037517,-1.430385852090032,-0.0,-1.3386923901393355,1.0,-1.102143622722401,0.0
2018-11-13,-0.4414820311671791,-1.4223470794020991,-0.0,-1.343581045266617,1.0,-1.0931304993109296,0.0
2018-11-14,-0.443731438268986,-1.4217225286380992,-0.0,-1.3447708952057702,1.0,-1.0931268561731013,0.0
2018-11-15,-0.443303903840017,-1.4260185086692907,-0.0,-1.3482608233166684,1.0,-1.1009998936283374,0.0
2018-11-16,-0.43584575399140724,-1.4087413143796743,-0.0,-1.3470004773776056,1.0,-1.1126080729857317,0.0
2018-11-19,-0.4332589996814272,-1.4113836678347669,-0.0,-1.350323882340448,1.0,-1.1146331103323777,0.0
2018-11-20,-0.3860599684376644,-1.395581273014203,-0.0,-1.3492372435560231,1.0,-1.1294581799053132,0.0
2018-11-21,-0.3984778189021529,-1.3869572016889955,-0.0,-1.3492675806703853,1.0,-1.0782463639680968,0.0
2018-11-23,-0.39982311013995114,-1.371364653243848,-0.0,-1.353207429374122,1.0,-1.0782477498569274,0.0
