Date,FTAG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.200337674867342,-0.3543656536420646,-0.03101784852870236,-0.4032561505065123,-0.42296189097925707,0.0
2018-09-25,1.0,-0.19975859987929995,-0.3556789378394689,-0.029668074834037418,-0.4043934821967411,-0.4245021122510561,0.0
2018-09-26,1.0,-0.19960407512915843,-0.35555984742407415,-0.02918738834435807,-0.4045917628313457,-0.4252088262276086,0.0
2018-09-27,1.0,-0.2015537541015248,-0.3506562439683459,-0.030640802933796563,-0.40467573827446435,-0.4251109824358232,0.0
2018-09-28,1.0,-0.19934806229626945,-0.35356754798985873,-0.031148134733792104,-0.404998189061934,-0.42554629964988533,0.0
2018-10-01,1.0,-0.20138301216180277,-0.3528857080683769,-0.03070673855750864,-0.40673130394835466,-0.4260983099204526,0.0
2018-10-02,1.0,-0.20263113346714712,-0.34318396169379217,-0.034315977848177796,-0.40930086334066895,-0.4289134482842011,0.0
2018-10-03,1.0,-0.20257265825233325,-0.3419652787852411,-0.03428599061850186,-0.4095942743846414,-0.4295178683688766,0.0
2018-10-04,1.0,-0.20366431402881177,-0.33989171420284253,-0.03463695252828,-0.41078507202939185,-0.4280914628250991,0.0
2018-10-05,1.0,-0.19771222155328116,-0.33524382901866345,-0.028705599036724865,-0.41408789885611075,-0.43246237206502103,0.0
2018-10-08,1.0,-0.19742416947520464,-0.33490611458834857,-0.028237843042850267,-0.41427539720751083,-0.4324747231584016,0.0
2018-10-09,1.0,-0.1962054270098476,-0.3352996412491272,-0.024992174897069803,-0.41615101244793296,-0.43507572291912455,0.0
2018-10-10,1.0,-0.1955403087478559,-0.3397192762061218,-0.02212934554151668,-0.4176793177590413,-0.4407991689416085,0.0
2018-10-11,1.0,-0.1646833829154271,-0.3327430703121311,-0.0,-0.41120083109033384,-0.45242480049109884,0.0
2018-10-12,1.0,-0.16761264102025086,-0.32576553850465984,-0.0,-0.400812837222339,-0.4415481279050756,0.0
2018-10-15,1.0,-0.15647067048870866,-0.33410240275932784,-0.0,-0.398308047262812,-0.4416322915938381,0.0
2018-10-16,1.0,-0.15564048190525015,-0.33537622631836506,-0.0,-0.3979912846922844,-0.44128818772866035,0.0
2018-10-17,1.0,-0.14945212446252715,-0.32350085533311757,-0.0,-0.39583429654630353,-0.44292385223542463,0.0
