Date,GRC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.26076052540832,-0.7908398382394433,-0.03545565691714474,-0.544499827580802,-0.5033386626540017,0.0
2018-09-25,1.0,-0.2596051059548513,-0.7956360435138025,-0.03147204929887443,-0.5487015028610954,-0.5086461673898006,0.0
2018-09-26,1.0,-0.25930817610062895,-0.795503144654088,-0.03047169811320755,-0.5491823899371069,-0.5102201257861635,0.0
2018-09-27,1.0,-0.2587683395252188,-0.7990995529248787,-0.02978401863862477,-0.5498394307663245,-0.5109564888860902,0.0
2018-09-28,1.0,-0.2564498346196251,-0.8017640573318633,-0.030461489998424948,-0.550039376279729,-0.5114191211214364,0.0
2018-10-01,1.0,-0.2575146512067553,-0.8007435881277962,-0.03040519251370597,-0.5506648181990044,-0.5114689016321129,0.0
2018-10-02,1.0,-0.25755327545382795,-0.8135753749013418,-0.02711917916337806,-0.549171270718232,-0.5096448303078137,0.0
2018-10-03,1.0,-0.25754419191919187,-0.8124053030303029,-0.027241161616161615,-0.5493055555555555,-0.51010101010101,0.0
2018-10-04,1.0,-0.25811847129737747,-0.8109950452867106,-0.027676965317006978,-0.5496891469687885,-0.5093571496197179,0.0
2018-10-05,1.0,-0.25037750094375233,-0.809393481817038,-0.019409840191267146,-0.5534163835409588,-0.5132439914433119,0.0
2018-10-08,1.0,-0.2488369168867094,-0.8071168112661888,-0.014617125612976234,-0.5590657613479191,-0.5138626933232743,0.0
2018-10-09,1.0,-0.25157371270300893,-0.808290318519451,-0.019797305803852448,-0.5572831423895254,-0.5104494523479793,0.0
2018-10-10,1.0,-0.25150265915599335,-0.808320483368474,-0.01960537495672971,-0.5573842716430123,-0.5101173804953268,0.0
2018-10-11,1.0,-0.21672112953942907,-0.8060299648560332,-0.0,-0.5469202786854923,-0.5131019175041618,0.0
2018-10-12,1.0,-0.21438180261709675,-0.8039623333740982,-0.0,-0.5374831845420082,-0.5015592515592516,0.0
2018-10-15,1.0,-0.16188639333042992,-0.8850556834442853,-0.0,-0.5433335407204629,-0.520500217756486,0.0
2018-10-16,1.0,-0.1542251325226068,-0.9013719987527284,-0.0,-0.5427814156532585,-0.5198004365450577,0.0
2018-10-17,1.0,-0.14341695208121202,-0.8824400629454782,-0.0,-0.5384615384615384,-0.5212440988614274,0.0
2018-10-18,1.0,-0.14478686903032362,-0.8867422954468177,-0.0,-0.5372940558251676,-0.5222713362801767,0.0
2018-10-19,1.0,-0.13078860090897926,-0.8808807271833927,-0.0,-0.5382016951234492,-0.5210047905662696,0.0
2018-10-22,1.0,-0.13149894051530878,-0.8801400362374475,-0.0,-0.5382182231366889,-0.5211129195712927,0.0
2018-10-23,1.0,-0.13468861319248251,-0.8803893870531876,-0.0,-0.5358678295049748,-0.5199299840314457,0.0
2018-10-24,1.0,-0.13355900907831975,-0.8865056162486535,-0.0,-0.5373134328358209,-0.5200184643791352,0.0
2018-10-25,1.0,-0.11384271967663118,-0.8641669934541945,-0.0,-0.5365147356037524,-0.5019758076679436,0.0
2018-10-26,1.0,-0.10253418304760195,-0.8542620351255122,-0.0,-0.5395984800885617,-0.4955868713161595,0.0
2018-10-29,1.0,-0.05941562980567595,-1.0811547602404585,-0.0,-0.6665385153082622,-0.6879281420383057,0.0
2018-10-30,1.0,-0.07720949838415063,-1.0859561613039201,-0.0,-0.6707179991569482,-0.6788675003512716,0.0
2018-10-31,1.0,-0.07808343833123338,-1.0780834383312337,-0.0,-0.6681016379672408,-0.6756614867702646,0.0
2018-11-01,1.0,-0.054052161736390686,-1.0993873621564851,-0.0,-0.6692455802555575,-0.6781025730789427,0.0
2018-11-02,1.0,-0.06032022276366168,-1.0684650191437521,-0.0,-0.6788722589627567,-0.6729899060215803,0.0
2018-11-05,1.0,-0.057130927942660316,-1.0772415712744858,-0.0,-0.6793778922097352,-0.6655996659823945,0.0
2018-11-06,1.0,-0.06171508088363194,-1.0803965907114281,-0.0,-0.6761175856670726,-0.6606366324578188,0.0
2018-11-07,1.0,-0.06090947017104714,-1.080691141704909,-0.0,-0.674697538589904,-0.6602697816715338,0.0
2018-11-08,1.0,-0.03843237281125052,-1.080656280159934,-0.0,-0.6653453743278643,-0.6624155521853026,0.0
2018-11-09,1.0,-0.03689206041291395,-1.0861161147291118,-0.0,-0.6743799362616045,-0.6666551198558959,0.0
