Date,FOXF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7287248394582051,-1.50326479952512,-0.16734121202309643,-1.0037234903674923,-0.993362473692731,0.0
2018-09-25,1.0,-0.7286955583139942,-1.503265151924011,-0.1674132441038372,-1.003939770090129,-0.9936855739651357,0.0
2018-09-26,1.0,-0.7289638762708198,-1.5049751243781093,-0.16417910447761194,-1.0078412286394116,-1.0017845554834524,0.0
2018-09-27,1.0,-0.7314859828228814,-1.4957057203046507,-0.1665856425214714,-1.0071301247771838,-1.0007562253551558,0.0
2018-09-28,1.0,-0.7295019984876311,-1.4969752619639192,-0.16733282921032733,-1.006805660581182,-1.0007021713298043,0.0
2018-10-01,1.0,-0.7304451166810717,-1.4958405358686258,-0.16756698357821953,-1.0073465859982713,-1.0007022471910112,0.0
2018-10-02,1.0,-0.736833479020979,-1.5479130244755246,-0.15996503496503495,-1.0134396853146852,-1.0050808566433567,0.0
2018-10-03,1.0,-0.7371528537065383,-1.534550623223267,-0.15804723376339383,-1.0207741089000655,-1.0164006122895255,0.0
2018-10-04,1.0,-0.7390211929211274,-1.5286213677081057,-0.15883766659383877,-1.0228315490495958,-1.0128359187240552,0.0
2018-10-05,1.0,-0.7266550712033917,-1.5241874116751821,-0.14278725948472662,-1.0250570714208067,-1.0166322426350691,0.0
2018-10-08,1.0,-0.7232462322454732,-1.518649029599913,-0.13731974411796594,-1.027431421446384,-1.0145831074487695,0.0
2018-10-09,1.0,-0.7266163617610335,-1.5207643450409858,-0.1425004071440204,-1.0266543618696053,-1.0121600347429565,0.0
2018-10-10,1.0,-0.7265026877341587,-1.521746212738231,-0.14166259434218384,-1.0269859369061194,-1.0129228430254655,0.0
2018-10-11,1.0,-0.6642255584035153,-1.5032170319610818,-0.06428832975885337,-0.9926243657477638,-1.006590992310509,0.0
2018-10-12,1.0,-0.6705645992169793,-1.493663713167113,-0.05275087574696065,-0.9622913661652587,-0.9721306408407171,0.0
2018-10-15,1.0,-0.6490028782894736,-1.5310444078947367,-0.01917146381578947,-0.9625822368421052,-0.978001644736842,0.0
2018-10-16,1.0,-0.6466354803886291,-1.5406878116485887,-0.012183210815812471,-0.9629877139772786,-0.9781010641032231,0.0
2018-10-17,1.0,-0.6156287787182587,-1.4835751713018945,-0.0,-0.953093510681177,-0.9859935509875052,0.0
2018-10-18,1.0,-0.6166607836216026,-1.4864101659018707,-0.0,-0.9527003176844334,-0.9868387877565429,0.0
2018-10-19,1.0,-0.5960933206774242,-1.4728480791327374,-0.0,-0.9469950542039267,-0.9798171554178948,0.0
2018-10-22,1.0,-0.5975804839032194,-1.475154969006199,-0.0,-0.9466606678664268,-0.9795540891821637,0.0
2018-10-23,1.0,-0.5979706088173549,-1.475007497750675,-0.0,-0.9462161351594522,-0.9793062081375589,0.0
2018-10-24,1.0,-0.5970268782221333,-1.48060463486661,-0.0,-0.9475449221682768,-0.9800290304820062,0.0
2018-10-25,1.0,-0.5514415196220229,-1.4140391476231802,-0.0,-0.92758653938868,-0.9280686529746409,0.0
2018-10-26,1.0,-0.5239479578706572,-1.393652004003241,-0.0,-0.9338035552590193,-0.9143115855692704,0.0
2018-10-29,1.0,-0.4977019663586828,-1.403885335228619,-0.0,-0.9193082208007581,-0.9173181710495144,0.0
2018-10-30,1.0,-0.5017305959888104,-1.4044853254942866,-0.0,-0.9199658622161112,-0.9151770897539235,0.0
2018-10-31,1.0,-0.505031032537145,-1.376481098363739,-0.0,-0.9144254278728605,-0.9059620086514951,0.0
2018-11-01,1.0,-0.510219459357634,-1.3749175850051802,-0.0,-0.9166431195252897,-0.9076010172365075,0.0
2018-11-02,1.0,-0.5545727291537348,-1.5663149182702256,-0.0,-1.0163976825988,-1.0354852058762674,0.0
2018-11-05,1.0,-0.5488644006415232,-1.5837342852708367,-0.0,-1.017848828185628,-1.023125873040509,0.0
2018-11-06,1.0,-0.5480047616582993,-1.5828373272604936,-0.0,-1.019564204751307,-1.0253610061591016,0.0
2018-11-07,1.0,-0.5482383419689119,-1.5847668393782384,-0.0,-1.0215544041450777,-1.0267875647668394,0.0
2018-11-08,1.0,-0.5099446380971909,-1.5840168136149273,-0.0,-1.003998359647324,-1.0281423005946277,0.0
2018-11-09,1.0,-0.5124242735393777,-1.5857890953896703,-0.0,-1.0051853373036246,-1.0305472841154122,0.0
2018-11-12,1.0,-0.5105513259414439,-1.5624137754841347,-0.0,-1.011445506105973,-1.0251903326350214,0.0
2018-11-13,1.0,-0.4680926735087898,-1.5671171628899503,-0.0,-1.0202215222030282,-1.025353114520882,0.0
2018-11-14,1.0,-0.47229013854930724,-1.5688162184189078,-0.0,-1.0248573757131214,-1.0277607986960067,0.0
2018-11-15,1.0,-0.47071087155496794,-1.569815925963592,-0.0,-1.027000915285264,-1.0174412691955659,0.0
2018-11-16,1.0,-0.46963850528025997,-1.5652416734362309,-0.0,-1.02497969130788,-1.0173639317627945,0.0
2018-11-19,1.0,-0.4634071497979849,-1.5800644402393493,-0.0,-1.0412724390119164,-1.0295606812253872,0.0
2018-11-20,1.0,-0.4215895249695494,-1.5705440519691434,-0.0,-1.0393828664230613,-1.0436459602111245,0.0
2018-11-21,1.0,-0.41782941803237106,-1.5733928662032575,-0.0,-1.0395250900603785,-1.0430767669592573,0.0
2018-11-23,1.0,-0.4196867555375336,-1.555628769831213,-0.0,-1.047746971463328,-1.0456688124081304,0.0
2018-11-26,1.0,-0.42887997531626043,-1.5615550755939525,-0.0,-1.078216599814872,-1.0737940964722823,0.0
2018-11-27,1.0,-0.4189949851601678,-1.5613038583563605,-0.0,-1.0705147886603212,-1.066318698188517,0.0
2018-11-28,1.0,-0.416919672721659,-1.591468121237071,-0.0,-1.0693150825914681,-1.0681315288426902,0.0
2018-11-29,1.0,-0.3704758031720211,-1.5726921512810084,-0.0,-1.064711264741765,-1.0754880032533551,0.0
2018-11-30,1.0,-0.3719071377660116,-1.576519702677935,-0.0,-1.0702576112412177,-1.0724467976784442,0.0
2018-12-03,1.0,-0.3671690761816877,-1.5915615707987285,-0.0,-1.084179226904542,-1.0837178304111554,0.0
2018-12-04,1.0,-0.3559166155732679,-1.5954424688330267,-0.0,-1.0780707132638463,-1.079961169016963,0.0
2018-12-06,1.0,-0.3369937888198758,-1.510111801242236,-0.0,-1.080944099378882,-1.040894409937888,0.0
2018-12-07,1.0,-0.3427122688407238,-1.5103400278385364,-0.0,-1.081427719228475,-1.0366375024855836,0.0
2018-12-10,1.0,-0.3105108055009823,-1.512278978388998,-0.0,-1.074459724950884,-1.0143418467583498,0.0
2018-12-11,1.0,-0.3365432098765432,-1.5113580246913578,-0.0,-1.0911111111111111,-0.9992098765432098,0.0
2018-12-12,1.0,-0.3398922232659317,-1.5121372422998962,-0.0,-1.0941316062688486,-0.9977258120334206,0.0
2018-12-13,1.0,-0.3391506402333514,-1.505660750482029,-0.0,-1.1033272358728432,-0.9957482572798735,0.0
2018-12-14,1.0,-0.3412898443291327,-1.501210773412404,-0.0,-1.1041265134667655,-0.9953051643192488,0.0
2018-12-17,1.0,-0.3303619798079291,-1.49997537552327,-0.0,-1.0953952228515145,-0.9991627677911844,0.0
