Date,ARQT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-09-30,1.0,-1.1795765064503836,-1.0987970170377226,-0.7510750639595013,-1.413913232812585,-0.0,0.0
2020-10-01,1.0,-1.1863795365107126,-1.1058154787931789,-0.7524595540008744,-1.4210209881941407,-0.0,0.0
2020-10-02,1.0,-1.1919947217945899,-1.0958873982845834,-0.7569826259071916,-1.453265889597537,-0.0,0.0
2020-10-05,1.0,-1.2394981516746948,-1.0718606474739554,-0.8031813599193458,-1.4864456144281395,-0.0,0.0
2020-10-06,1.0,-1.2417398110359479,-1.0600995136132387,-0.7963325320064852,-1.4924805724828085,-0.0,0.0
2020-10-07,1.0,-1.2343383584589613,-1.0710217755443885,-0.7920714684533781,-1.486041317699609,-0.0,0.0
2020-10-08,1.0,-1.2323767066035107,-1.0664251880746727,-0.7895792699916412,-1.4842017275006967,-0.0,0.0
2020-10-09,1.0,-1.2353990191707536,-1.0639768167632635,-0.7920196165849309,-1.4814979937583594,-0.0,0.0
2020-10-12,1.0,-1.228840474731153,-1.068423691981947,-0.7916086253970024,-1.4830890956705858,-0.0,0.0
2020-10-13,1.0,-1.2151334484872125,-1.083133671365688,-0.7920543823480247,-1.4816961051986404,-0.0,0.0
2020-10-14,1.0,-1.2191161700703046,-1.0817989063720568,-0.7996317375292936,-1.4791875906706842,-0.0,0.0
2020-10-15,1.0,-1.2172215715799455,-1.080698232111985,-0.7997880765155319,-1.4792259215883106,-0.0,0.0
2020-10-16,1.0,-1.2178593340398236,-1.079870600702772,-0.8005466004796697,-1.4792793797757822,-0.0,0.0
2020-10-19,1.0,-1.2166759620747352,-1.0798661461238148,-0.8007250418293363,-1.479977691020636,-0.0,0.0
2020-10-20,1.0,-1.213458110516934,-1.0826648841354722,-0.7978498217468805,-1.476437165775401,-0.0,0.0
2020-10-21,1.0,-1.2133504206831227,-1.082855073271299,-0.8007466428929627,-1.4750654705521815,-0.0,0.0
2020-10-22,1.0,-1.2132070214544441,-1.083365840066871,-0.8016717748676511,-1.474338255781555,-0.0,0.0
2020-10-23,1.0,-1.219755703050923,-1.0756316582073735,-0.8071281164593676,-1.4750404372803836,-0.0,0.0
2020-10-26,1.0,-1.21952035694367,-1.0754601226993865,-0.8074177356385946,-1.4747908533184608,-0.0,0.0
2020-10-27,1.0,-1.2227371712546764,-1.0752135797643643,-0.8027807247752528,-1.482997375621196,-0.0,0.0
2020-10-28,1.0,-1.2271813205228466,-1.0726734443078985,-0.8041001005474248,-1.4820131828845937,-0.0,0.0
