Date,IWF,IWM,MTUM,SPY,THS,VLUE,VXX
2018-09-24,-0.6460699681962745,-1.4125902367610683,-0.0,-1.0329648139734464,1.0,-0.9565349083749811,0.0
2018-09-25,-0.6464768826973551,-1.4121239652735718,-0.0,-1.0327074500302846,1.0,-0.9561376943266707,0.0
2018-09-26,-0.6480660449472558,-1.422514396371605,-0.0,-1.0460683891351985,1.0,-0.979411914590022,0.0
2018-09-27,-0.6534114052953157,-1.4116598778004075,-0.0,-1.0469450101832993,1.0,-0.9796334012219959,0.0
2018-09-28,-0.6518081559374197,-1.4314952551936393,-0.0,-1.0568350859194664,1.0,-0.9893818927930238,0.0
2018-10-01,-0.6540218674606025,-1.4305220471228375,-0.0,-1.0585698886094141,1.0,-0.9900415789743853,0.0
2018-10-02,-0.6538342927631579,-1.439967105263158,-0.0,-1.0572574013157894,1.0,-0.9886924342105263,0.0
2018-10-03,-0.6535967891324482,-1.4250797571266849,-0.0,-1.0654008438818565,1.0,-1.0015436863229392,0.0
2018-10-04,-0.6642079744158457,-1.4168257079486253,-0.0,-1.0795378346314541,1.0,-0.9974725331407645,0.0
2018-10-05,-0.6343920238462328,-1.4035358207421111,-0.0,-1.0897831226230856,1.0,-1.0116147599958885,0.0
2018-10-08,-0.6287032291132753,-1.3964633521271144,-0.0,-1.0918503331624807,1.0,-1.0085084572014351,0.0
2018-10-09,-0.6255061766364242,-1.3964324158080885,-0.0,-1.0930852427084934,1.0,-1.0108155210415704,0.0
2018-10-10,-0.6251345394905438,-1.3965455384142278,-0.0,-1.093126954025934,1.0,-1.0105068935472297,0.0
2018-10-11,-0.4908030506953791,-1.3941478490603658,-0.0,-1.0605154279447684,1.0,-1.0393798913314392,0.0
2018-10-12,-0.4973775795304152,-1.380275476692319,-0.0,-1.0252928778001078,1.0,-0.9987745698740258,0.0
2018-10-15,-0.4746606776681965,-1.3943462552485109,-0.0,-1.0179181720535104,1.0,-0.9954106044331609,0.0
2018-10-16,-0.46460676917030996,-1.4271258043916097,-0.0,-1.0217124330697058,1.0,-0.9988210443582061,0.0
2018-10-17,-0.4267094733815708,-1.3571325890076191,-0.0,-1.0051751401600462,1.0,-1.0027792419378025,0.0
2018-10-18,-0.427557431298259,-1.3599827346410243,-0.0,-1.0047959330487746,1.0,-1.0035969497865809,0.0
2018-10-19,-0.40009485416172635,-1.3397676073037705,-0.0,-1.0036518852264642,1.0,-0.9991463125444628,0.0
2018-10-22,-0.40424004594180707,-1.3268089586523737,-0.0,-1.0303885911179174,1.0,-1.0241194486983154,0.0
2018-10-23,-0.4048803827751196,-1.326555023923445,-0.0,-1.0296172248803828,1.0,-1.0235885167464116,0.0
2018-10-24,-0.40123250370228825,-1.3215019347441839,-0.0,-1.0295227631013233,1.0,-1.02488893135241,0.0
2018-10-25,-0.3368411335733407,-1.2474845379857844,-0.0,-1.053724729991692,1.0,-0.9774762300378473,0.0
2018-10-26,-0.30407752788443954,-1.2295666483817882,-0.0,-1.071036752605595,1.0,-0.9665386725178277,0.0
2018-10-29,-0.2978898328309126,-1.2314789440029232,-0.0,-1.0715264456015348,1.0,-0.9665661825157578,0.0
2018-10-30,-0.28160263145872355,-1.2327653159121021,-0.0,-1.0731874457490065,1.0,-0.980949335282562,0.0
2018-10-31,-0.283686660941102,-1.2049902816073768,-0.0,-1.0628305383537495,1.0,-0.9687203363015865,0.0
2018-11-01,-0.24143117593436644,-1.2571103008204192,-0.0,-1.0758887876025525,1.0,-0.9834548769371011,0.0
2018-11-02,-0.2659746251441753,-1.212087658592849,-0.0,-1.1346712802768166,1.0,-1.000876585928489,0.0
