Date,BIF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1817602181034672,-0.27236549919750236,-0.12714640634962512,-0.324890618472836,-0.29246091946441527,0.0
2018-09-25,1.0,-0.18146429435439532,-0.2728672282214256,-0.12654775781301547,-0.3253205480657151,-0.2931007939475247,0.0
2018-09-26,1.0,-0.1817941894477556,-0.27326310233345796,-0.12736149904330424,-0.3251006180034749,-0.29180320658030745,0.0
2018-09-27,1.0,-0.18201209455744916,-0.2726772952171523,-0.1275426058273777,-0.3250357339197361,-0.29174271577789995,0.0
2018-09-28,1.0,-0.18136036769071756,-0.27330503815450924,-0.12772414399753698,-0.3249400743298221,-0.2917555472478174,0.0
2018-10-01,1.0,-0.1824822336142219,-0.2725572594662384,-0.12745594156344195,-0.32575740907790807,-0.2918967679478999,0.0
2018-10-02,1.0,-0.1827942794279428,-0.2703850385038504,-0.12833883388338835,-0.32622662266226626,-0.29247524752475246,0.0
2018-10-03,1.0,-0.18261615628299893,-0.2648495248152059,-0.127419922562478,-0.3285814853924674,-0.29648451249560015,0.0
2018-10-04,1.0,-0.18409940620189139,-0.26228282383989443,-0.12764460083571585,-0.33041565867605016,-0.29478777215746643,0.0
2018-10-05,1.0,-0.1766304347826087,-0.25668390603085556,-0.12162517531556802,-0.33561974053295934,-0.3008853436185133,0.0
2018-10-08,1.0,-0.1765273030063985,-0.2566394951354194,-0.12152686475589448,-0.3356560610044702,-0.30090279603821546,0.0
2018-10-09,1.0,-0.17565080199842228,-0.2568147953370146,-0.11940134981155227,-0.3368612498904374,-0.30256814795337017,0.0
2018-10-10,1.0,-0.17605695509309965,-0.256078860898138,-0.12002190580503833,-0.3370865279299014,-0.3013362541073384,0.0
2018-10-11,1.0,-0.16885035742998067,-0.2523086282945484,-0.11276970210546902,-0.336657758077483,-0.30224018425569826,0.0
2018-10-12,1.0,-0.16580943248191088,-0.2542498474413739,-0.10984221079243309,-0.34242873332752155,-0.30707872025106786,0.0
2018-10-15,1.0,-0.1668265039232781,-0.2517654751525719,-0.11118134263295554,-0.3429380993897123,-0.30688753269398433,0.0
2018-10-16,1.0,-0.16643054859309953,-0.25337285586626274,-0.10998016608182036,-0.34297421590636645,-0.30681545737887145,0.0
2018-10-17,1.0,-0.16225810641153296,-0.2433222217412009,-0.10654140871899216,-0.34274211004805405,-0.30973202303130004,0.0
2018-10-18,1.0,-0.16172110036144838,-0.24247343246109562,-0.1069627513364933,-0.34346254572213925,-0.30974179165855026,0.0
