Date,CUB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4369066522517653,-0.8096219466873881,-0.26088719213486944,-0.5302206155613366,-0.34085611000371635,0.0
2018-09-25,1.0,-0.4359113217126417,-0.8129632763580978,-0.25787781350482314,-0.5331866644102218,-0.3447283804366221,0.0
2018-09-26,1.0,-0.438807691003425,-0.8172538912814948,-0.2622672861066839,-0.5335548848723253,-0.33921123130658887,0.0
2018-09-27,1.0,-0.43859827668091456,-0.8184069475541081,-0.26209376484157676,-0.5337539860234752,-0.33950742926928557,0.0
2018-09-28,1.0,-0.43834594117846604,-0.8182774178228569,-0.262288408697717,-0.5336341124190102,-0.33966552461073984,0.0
2018-10-01,1.0,-0.4377126139610832,-0.8239556402231596,-0.2628588923663084,-0.5349027078514084,-0.34242754116206287,0.0
2018-10-02,1.0,-0.4375063838480133,-0.830785468659562,-0.26097170678560483,-0.5338939770521943,-0.3415954512954955,0.0
2018-10-03,1.0,-0.4383608345833901,-0.8360493658802672,-0.2617618982681031,-0.5332060548206736,-0.33983362880130913,0.0
2018-10-04,1.0,-0.4391848140953549,-0.8338274886685069,-0.2620727260334662,-0.5340967181269808,-0.3387860818593872,0.0
2018-10-05,1.0,-0.4272078804347826,-0.8285326086956522,-0.25074728260869567,-0.54296875,-0.3472826086956522,0.0
2018-10-08,1.0,-0.4258197972125199,-0.8261724710909153,-0.24853335141917324,-0.5444063888229509,-0.3461629760249585,0.0
2018-10-09,1.0,-0.4272338693262772,-0.8266503833367258,-0.25133998235972593,-0.5432186715516657,-0.3439514213990094,0.0
2018-10-10,1.0,-0.42771390782378677,-0.8259911147285244,-0.2520093600569742,-0.5433580900057652,-0.3422186048088988,0.0
2018-10-11,1.0,-0.3907635305015218,-0.8278417361386794,-0.2050416832076221,-0.5344713510652376,-0.3500727802037846,0.0
2018-10-12,1.0,-0.3976975405546834,-0.8235544217687075,-0.20444139194139194,-0.5177590266875982,-0.3270866038723182,0.0
2018-10-15,1.0,-0.38703359122514935,-0.8416087226193973,-0.18956680703816145,-0.5178075931185323,-0.3284692978160807,0.0
2018-10-16,1.0,-0.3842528961319458,-0.8597421297205314,-0.17730217946200666,-0.5207147064598469,-0.3304208390601479,0.0
2018-10-17,1.0,-0.37274400284118425,-0.8326284182998095,-0.16753301262389822,-0.5188712749814354,-0.3368417654085817,0.0
2018-10-18,1.0,-0.3755663430420712,-0.8384466019417475,-0.16501618122977346,-0.5184466019417476,-0.3387378640776699,0.0
2018-10-19,1.0,-0.37061495345166384,-0.8364526624359759,-0.15997165222433402,-0.5192797087910318,-0.335019166961956,0.0
2018-10-22,1.0,-0.3692844226298114,-0.8444523378971842,-0.1671402738310514,-0.5155321622319813,-0.33273056057866185,0.0
2018-10-23,1.0,-0.36981436642453586,-0.8440677966101695,-0.1685552865213882,-0.5141242937853107,-0.33181598062953993,0.0
2018-10-24,1.0,-0.3699916123620879,-0.8436995935221627,-0.16575262920188402,-0.5148074069294793,-0.3317955997161107,0.0
2018-10-25,1.0,-0.3421895609572263,-0.806953080836631,-0.1612649959173419,-0.5264430626216946,-0.3036555492745431,0.0
2018-10-26,1.0,-0.33427832642761457,-0.7984983955886475,-0.15150004673042775,-0.5317611140533973,-0.2993239664787065,0.0
