Date,CLDX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.747664959325098,-3.0337451039469725,-2.5423320277191928,-2.8808376016872557,-2.8601988550768307,0.0
2018-09-25,1.0,-2.790559120073327,-3.07974335472044,-2.5809654750992967,-2.9239230064161315,-2.9013137794072716,0.0
2018-09-26,1.0,-2.804788213627993,-3.096224677716391,-2.5940761203192144,-2.938152240638429,-2.9137507673419276,0.0
2018-09-27,1.0,-2.804941682013505,-3.096071209330878,-2.593155310006139,-2.9386126457949664,-2.914057704112953,0.0
2018-09-28,1.0,-2.8034673212641916,-3.095581466707579,-2.5923596195151886,-2.9375575329855783,-2.9131635471003374,0.0
2018-10-01,1.0,-2.8031906734161685,-3.0947998159226877,-2.592115355115815,-2.9371069182389937,-2.9125632765761624,0.0
2018-10-02,1.0,-2.8038974988491634,-3.0969771367193495,-2.5924505140402023,-2.9378548411845937,-2.913303667331594,0.0
2018-10-03,1.0,-2.8014412756823064,-3.091996320147194,-2.589696412143514,-2.9366758662986814,-2.912756823060411,0.0
2018-10-04,1.0,-2.799754864409377,-3.088708441856902,-2.5875593687758545,-2.9348858587406164,-2.9099126704458405,0.0
2018-10-05,1.0,-2.796472392638037,-3.0906441717791413,-2.5822085889570556,-2.945398773006135,-2.922546012269939,0.0
2018-10-08,1.0,-2.808687615526802,-3.1038200862600123,-2.591189155884165,-2.9625693160813307,-2.9373074553296363,0.0
2018-10-09,1.0,-2.8118445404071566,-3.1091918568784704,-2.592535471930907,-2.9671499074645284,-2.941702652683529,0.0
2018-10-10,1.0,-2.8134834927491514,-3.1095340944153036,-2.5942610305461278,-2.968373958654736,-2.9416846652267816,0.0
2018-10-11,1.0,-2.7420580635354916,-3.095455236358109,-2.4939960480316157,-2.936768505851953,-2.9314485484116126,0.0
2018-10-12,1.0,-2.7109843937575024,-3.0607743097238895,-2.4545318127250897,-2.8939075630252096,-2.8858043217286915,0.0
2018-10-15,1.0,-2.6778323656394227,-3.0570195027542058,-2.4147684978412984,-2.871371147833855,-2.8666071162721454,0.0
2018-10-16,1.0,-2.6762954139368675,-3.0641751042287075,-2.410214413341275,-2.871798689696248,-2.8673317450863607,0.0
2018-10-17,1.0,-2.586211880329527,-2.9643011995953175,-2.3179650238473766,-2.791299320711085,-2.7930336753866167,0.0
2018-10-18,1.0,-2.586067350773233,-2.964445729151611,-2.3176759647347884,-2.7917329093799683,-2.793178204942911,0.0
2018-10-19,1.0,-2.5541082164328657,-2.93601488691669,-2.2829945605496706,-2.7702547953048953,-2.770970512453478,0.0
2018-10-22,1.0,-2.5557623478883325,-2.9324266284896208,-2.2793128131710807,-2.7742304939155336,-2.7746599856836083,0.0
2018-10-23,1.0,-2.6023920653442243,-2.9995624270711785,-2.309801633605601,-2.8369311551925325,-2.8370770128354725,0.0
2018-10-24,1.0,-2.598980335032775,-2.995047341587764,-2.302257829570284,-2.834814275309541,-2.8355426074289873,0.0
2018-10-25,1.0,-2.5921167883211678,-2.994890510948905,-2.293576642335766,-2.871678832116788,-2.846423357664233,0.0
2018-10-26,1.0,-2.581280069981047,-2.9940224522525147,-2.2714681440443214,-2.88409389123779,-2.8485201924478787,0.0
2018-10-29,1.0,-2.551679212507238,-2.985813549507817,-2.240590619571511,-2.8620440069484654,-2.8358425014475968,0.0
2018-10-30,1.0,-2.5517391304347825,-2.9937681159420286,-2.236086956521739,-2.868260869565217,-2.8427536231884054,0.0
