Date,CHA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29942492774351176,-0.6207502756175322,-0.04317511397157414,-0.5364858019725276,-0.4798128780429665,0.0
2018-09-25,1.0,-0.29850300295813786,-0.6250933755639884,-0.0397406400334658,-0.5402037828308482,-0.48447724624256727,0.0
2018-09-26,1.0,-0.2988526353531732,-0.6254930082466834,-0.04057607266642763,-0.5399486076251943,-0.4830883231743755,0.0
2018-09-27,1.0,-0.3051298934514546,-0.6161858015084402,-0.04384652220759009,-0.5427092062731953,-0.48506524601939427,0.0
2018-09-28,1.0,-0.30446233501930386,-0.6166162870738934,-0.04426420854158561,-0.5424834645197977,-0.4849908718163589,0.0
2018-10-01,1.0,-0.3049482857401321,-0.6282001025238971,-0.04483912794379278,-0.5466332961432923,-0.490818080390797,0.0
2018-10-02,1.0,-0.30577665219488664,-0.6204474191992282,-0.047787023637240716,-0.5482091172214183,-0.49273396044380124,0.0
2018-10-03,1.0,-0.30671544764611613,-0.6085628760620445,-0.045082091131738875,-0.557312611495782,-0.5059414023523721,0.0
2018-10-04,1.0,-0.3122067859196707,-0.6020460667695753,-0.04573382971639577,-0.5647568025666636,-0.5020127727836798,0.0
2018-10-05,1.0,-0.3086192316984779,-0.6008697753080454,-0.040166706934042035,-0.5669847789321091,-0.503412660062817,0.0
2018-10-08,1.0,-0.3126740733939338,-0.6107183301196706,-0.028922963915159305,-0.5920790867076792,-0.5162366479968169,0.0
2018-10-09,1.0,-0.3102242400073622,-0.6138531856805424,-0.019816558790146935,-0.5988834013313291,-0.5248013742752845,0.0
2018-10-10,1.0,-0.30976006881509016,-0.6164787564130133,-0.017971798101440815,-0.5997972412521888,-0.5280943749807994,0.0
2018-10-11,1.0,-0.24460065809153456,-0.6119353873766079,-0.0,-0.5868381693090039,-0.5479509422674245,0.0
2018-10-12,1.0,-0.26068109616697843,-0.6114129627980167,-0.0,-0.5704403075918173,-0.5264986193996615,0.0
2018-10-15,1.0,-0.23193566574675803,-0.6404641087272619,-0.0,-0.566426303451141,-0.5286210273301878,0.0
2018-10-16,1.0,-0.24078602099236643,-0.6341245229007634,-0.0,-0.5724892652671756,-0.5344704198473282,0.0
2018-10-17,1.0,-0.2244245711772467,-0.6024629819674534,-0.0,-0.5666911010115818,-0.5385134144553584,0.0
2018-10-18,1.0,-0.22526198373792822,-0.6050723574133327,-0.0,-0.5659142278451287,-0.5391140986878797,0.0
