Date,EYE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.44055690072639225,-1.144592413236481,-0.02163034705407587,-0.7139225181598063,-0.7148103309120258,0.0
2018-09-25,1.0,-0.44208276195853835,-1.1424941518109222,-0.02448172945067355,-0.7121077680083892,-0.7121077680083892,0.0
2018-09-26,1.0,-0.44581918162704187,-1.1482290150412422,-0.029556849425845057,-0.7132864305353388,-0.7064936115154455,0.0
2018-09-27,1.0,-0.4500666855272198,-1.1383421573778443,-0.032534454189063575,-0.7139392959624944,-0.7066645111748777,0.0
2018-09-28,1.0,-0.45628902765388046,-1.138755980861244,-0.03251966588273457,-0.7176222528586489,-0.7096748033411727,0.0
2018-10-01,1.0,-0.4568161544075906,-1.137863920201119,-0.03272240694185387,-0.7178249939177682,-0.7095937069175249,0.0
2018-10-02,1.0,-0.4569213911773061,-1.1441499939125848,-0.03161397670549085,-0.7169757720871718,-0.7086157217645388,0.0
2018-10-03,1.0,-0.4578288778743804,-1.148330218574795,-0.03262371008369221,-0.716624685138539,-0.7072804095230356,0.0
2018-10-04,1.0,-0.4571719641401793,-1.1559087204563978,-0.03308883455582722,-0.7159331703341484,-0.7128361858190709,0.0
2018-10-05,1.0,-0.4471900994116454,-1.1531750862243864,-0.020977885980929194,-0.719091093528099,-0.7171840129843782,0.0
2018-10-08,1.0,-0.4447323669932788,-1.149242853672362,-0.016438578022511946,-0.7222852052797797,-0.716171349906875,0.0
2018-10-09,1.0,-0.4530874750681809,-1.1556559612488297,-0.028005047421337567,-0.7218626612936052,-0.7118899336508324,0.0
2018-10-10,1.0,-0.45318031986326457,-1.1554958694502098,-0.027916819273186014,-0.7218898791356366,-0.7110242949578806,0.0
2018-10-11,1.0,-0.40724482935895917,-1.1433542927195792,-0.0,-0.6972752797880334,-0.7067267766045795,0.0
2018-10-12,1.0,-0.41675122941222387,-1.1382796034657716,-0.0,-0.6709468425571774,-0.6769182733588323,0.0
2018-10-15,1.0,-0.4523081808438852,-1.1317429444687017,-0.0,-0.6939229150954631,-0.6913825268923908,0.0
2018-10-16,1.0,-0.4500357171204064,-1.1349710294467816,-0.0,-0.6930311929518217,-0.6905309945233749,0.0
2018-10-17,1.0,-0.42128074970714563,-1.0854744240531042,-0.0,-0.6907067551737602,-0.707262787973448,0.0
2018-10-18,1.0,-0.42074646677598193,-1.0846021706879052,-0.0,-0.691496837666901,-0.7072694620129617,0.0
2018-10-19,1.0,-0.4030110689681864,-1.0722579146992801,-0.0,-0.6906494310705162,-0.7043501819026241,0.0
2018-10-22,1.0,-0.4029862293052761,-1.065952344112641,-0.0,-0.692867089586879,-0.7063670122234256,0.0
2018-10-23,1.0,-0.4130493812793359,-1.0702897707436285,-0.0,-0.6896698863415959,-0.7061173823654913,0.0
2018-10-24,1.0,-0.4110194118330815,-1.0664884342671161,-0.0,-0.6896044015653454,-0.7075051338680306,0.0
2018-10-25,1.0,-0.36691780051726075,-1.0109449379661906,-0.0,-0.7011132351287529,-0.6693279358296788,0.0
2018-10-26,1.0,-0.3376919340979564,-1.0034370680315312,-0.0,-0.7277244368065154,-0.6671274330332125,0.0
2018-10-29,1.0,-0.30971343505768517,-1.0193152214365464,-0.0,-0.7160774097506513,-0.6764793449944175,0.0
2018-10-30,1.0,-0.29609915878805926,-1.0202486414054939,-0.0,-0.7174123427380331,-0.6884165860195042,0.0
2018-10-31,1.0,-0.29890320912884527,-1.000664721740094,-0.0,-0.7121385575538242,-0.6812289966394623,0.0
2018-11-01,1.0,-0.26422583277691225,-1.0372802136657022,-0.0,-0.7187476815787521,-0.6892202685659173,0.0
2018-11-02,1.0,-0.2662999335450048,-1.0220409067414902,-0.0,-0.7191168869526693,-0.6844864505648676,0.0
2018-11-05,1.0,-0.2609338061465721,-1.038785460992908,-0.0,-0.7214095744680851,-0.6727615248226949,0.0
2018-11-06,1.0,-0.25698303326665184,-1.0372675409350227,-0.0,-0.7285322664295769,-0.6817440912795436,0.0
2018-11-07,1.0,-0.25632009475515416,-1.0369767183625125,-0.0,-0.7270607395343671,-0.6810526705407706,0.0
2018-11-08,1.0,-0.22224667987379854,-1.0406486169198035,-0.0,-0.716413529972852,-0.6893755961552572,0.0
