Date,IWF,IWM,MTUM,SPY,VHC,VLUE,VXX
2018-09-24,-1.8817551410808224,-3.5608560497369677,-0.4342419894787183,-2.6747967479674797,1.0,-2.4043519846963175,0.0
2018-09-25,-1.8833293527585384,-3.5533795080009556,-0.44005254358729406,-2.668617148316217,1.0,-2.3963458323381897,0.0
2018-09-26,-1.8940556088207097,-3.571428571428571,-0.449784276126558,-2.6768935762224353,1.0,-2.392497603068073,0.0
2018-09-27,-1.9078805325656711,-3.5492383351325416,-0.45855823437687415,-2.6826196473551636,1.0,-2.3963056255247692,0.0
2018-09-28,-1.9178494106326678,-3.555809477988934,-0.458744286745249,-2.691484243444792,1.0,-2.404137599230214,0.0
2018-10-01,-1.9180899687274475,-3.5548472456098144,-0.4598267981717585,-2.691123406302622,1.0,-2.404017320182824,0.0
2018-10-02,-1.9353936001946708,-3.645698990144787,-0.448473050249422,-2.7138337997323276,1.0,-2.423530843168269,0.0
2018-10-03,-1.9323290001214921,-3.633094399222452,-0.44696877657635775,-2.7124286234965376,1.0,-2.424371279309926,0.0
2018-10-04,-1.9337941069479812,-3.616830362556081,-0.44816296835212804,-2.7129865405602036,1.0,-2.4139687158966896,0.0
2018-10-05,-1.8853778685570108,-3.582722575994233,-0.3970923945692659,-2.7222155472786254,1.0,-2.427490087708759,0.0
2018-10-08,-1.8840370504029835,-3.5817394442439556,-0.3804883916756887,-2.7473836160230967,1.0,-2.435703115602069,0.0
2018-10-09,-1.8816454173682942,-3.5826317055568917,-0.37442867452489775,-2.749939860476305,1.0,-2.439259081068078,0.0
2018-10-10,-1.8834134615384617,-3.578004807692308,-0.3769230769230769,-2.7497596153846158,1.0,-2.431129807692308,0.0
2018-10-11,-1.6982324710289123,-3.62963830036287,-0.07772445276834836,-2.7504389558703033,1.0,-2.549455694720824,0.0
2018-10-12,-1.6997493163172286,-3.565747493163172,-0.04968094804010939,-2.6479033728350045,1.0,-2.4317456700091156,0.0
2018-10-15,-1.6331515564644397,-3.6499659168370826,-0.0,-2.6396273574187683,1.0,-2.4384230856623494,0.0
