Date,IWF,IWM,MSCI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3593504018559947,-0.4825310022923744,1.0,-0.24550501284282045,-0.39569696467533905,-0.2787858701356091,0.0
2018-09-25,-0.36249102061115107,-0.4808808089738631,1.0,-0.2498756700005526,-0.3940432115820302,-0.27557053655301983,0.0
2018-09-26,-0.36290545394264245,-0.4813505000828867,1.0,-0.2508150522185998,-0.39376692269436925,-0.27405094767088467,0.0
2018-09-27,-0.3640279426788525,-0.4778971201369523,1.0,-0.25176022309964935,-0.3936273020957009,-0.2738216859485877,0.0
2018-09-28,-0.36234845765099005,-0.47946756510452626,1.0,-0.25207809781558094,-0.3936096766176024,-0.2740879843141587,0.0
2018-10-01,-0.36415402051026896,-0.47856372833568295,1.0,-0.2515963181026619,-0.39519584266246516,-0.2746496392735716,0.0
2018-10-02,-0.3665043170245738,-0.4622813814478636,1.0,-0.25738875359752045,-0.40059774186406905,-0.28057892406464463,0.0
2018-10-03,-0.3677902621722846,-0.470855874601193,1.0,-0.2583437369954224,-0.39963933971424614,-0.27768067693161325,0.0
2018-10-04,-0.36939460328905405,-0.4676502398846335,1.0,-0.25863168695748634,-0.4017582295682076,-0.2757979977259491,0.0
2018-10-05,-0.3731314253959433,-0.4721589330369547,1.0,-0.259572103362045,-0.40119477632675743,-0.27249235898860796,0.0
2018-10-08,-0.37283052400655353,-0.4715781289050568,1.0,-0.2590597317486324,-0.4014328955041515,-0.27202799144705786,0.0
2018-10-09,-0.37663819249283514,-0.47299590973594147,1.0,-0.26592281365647347,-0.3992042071287459,-0.2677314338184145,0.0
2018-10-10,-0.376415908268626,-0.47363001308062674,1.0,-0.2653697364392864,-0.39926525841195626,-0.2684589908435613,0.0
2018-10-11,-0.37772956132298535,-0.47542351664858556,1.0,-0.26420762747225235,-0.40009457843055446,-0.26423544465770954,0.0
2018-10-12,-0.37811041990668737,-0.4759220173294823,1.0,-0.26283048211508553,-0.399716729615641,-0.26060875361030883,0.0
2018-10-15,-0.3725598935226265,-0.4847216060337178,1.0,-0.2552129547471162,-0.3994565217391304,-0.2608972937000887,0.0
2018-10-16,-0.3755104308453013,-0.47765215700436126,1.0,-0.2615350426400733,-0.40065001805605716,-0.26253507041862273,0.0
2018-10-17,-0.37065328296059347,-0.46543308606568684,1.0,-0.2578937208725147,-0.39922234784766847,-0.2644017317927364,0.0
2018-10-18,-0.36943149532452485,-0.4635754282404214,1.0,-0.2590130471960941,-0.4015667668882575,-0.2648056712547927,0.0
