Date,IAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-13,1.0,-0.3181073330602212,-0.5912194455824116,-2.2478492421138876,-2.0417178751877647,-0.6289089171104738,0.0
2020-02-14,1.0,-0.3000068620050779,-0.6096891511699719,-2.2895766142866947,-2.0446030330062444,-0.6181980374665478,0.0
2020-02-18,1.0,-0.31078560077385475,-0.6095488150348927,-2.322946175637394,-2.0668831617494647,-0.599253782906101,0.0
2020-02-19,1.0,-0.318301286484991,-0.6179277908424402,-2.329160326462858,-2.0701341817678798,-0.5811315534652096,0.0
2020-02-20,1.0,-0.3060857538035961,-0.6174273858921161,-2.3405255878284925,-2.0694329183955738,-0.5822268326417703,0.0
2020-02-21,1.0,-0.28800331514607364,-0.6233165273844878,-2.3445679950272806,-2.0722425581877197,-0.5784239243041647,0.0
2020-02-24,1.0,-0.20066912467567935,-0.6187354909190222,-2.358391369657244,-2.0779052300969547,-0.5721015977058582,0.0
2020-02-25,1.0,-0.22693092021412187,-0.7024598521539638,-2.2603237318378793,-1.6774152434361458,-0.5054804996176395,0.0
2020-02-26,1.0,-0.2363593464283608,-0.6019583554533121,-2.0999823040169883,-1.5587801569043829,-0.40158084114905923,0.0
2020-02-27,1.0,-0.24992642297957499,-0.596091588675025,-2.087115192183177,-1.5560068279474952,-0.3970216022131967,0.0
2020-02-28,1.0,-0.23304006783972867,-0.7061691753232987,-1.7920818316726734,-1.224507101971592,-0.3441806232775069,0.0
2020-03-02,1.0,-0.24581330234032436,-0.6841882825294521,-1.780389877965027,-1.2297004596122352,-0.3427545036716149,0.0
2020-03-03,1.0,-0.20608968083023302,-0.8052183277853926,-1.5077344820834149,-1.0834638731153319,-0.29268650871353047,0.0
2020-03-04,1.0,-0.11837827500478103,-0.8631191432396251,-1.560671256454389,-1.0228055077452667,-0.21610250525913174,0.0
2020-03-05,1.0,-0.11913000494315372,-0.9265716981979958,-1.3755898081157596,-0.9051813238664449,-0.1673482227115445,0.0
2020-03-06,1.0,-0.10725785397267426,-0.8993125054390393,-1.3643721173091985,-0.8346096945435558,-0.14567922722130364,0.0
2020-03-09,1.0,-0.09690775003234571,-0.882175356881011,-1.3726225902445337,-0.8285677319187477,-0.1324880320869453,0.0
2020-03-10,1.0,-0.43213873692828697,-0.5017677049607383,-1.0084105541289865,-0.6288563879275054,-0.15031074392467716,0.0
2020-03-11,1.0,-0.3743325155145042,-0.5583417520565738,-0.9923509885986433,-0.5711502381296002,-0.11184875162361091,0.0
2020-03-12,1.0,-0.39452206390925443,-0.45445428136671745,-0.9336353575874948,-0.569822935399087,-0.10585834831926962,0.0
2020-03-13,1.0,-0.43619059785385794,-0.36117143587123146,-0.7714933571793562,-0.5063553909044456,-0.11845298926928972,0.0
2020-03-16,1.0,-0.3460900009054417,-0.4965442308272719,-0.7295747442127184,-0.44593003953762106,-0.0,0.0
2020-03-17,1.0,-0.364535681610247,-0.39109675205855443,-0.5404277218664226,-0.43326852698993595,-0.12974611161939614,0.0
2020-03-18,1.0,-0.3555098823131933,-0.4277267864181542,-0.4591756292584042,-0.4378906469958894,-0.13514274452390337,0.0
2020-03-19,1.0,-0.3740377692861494,-0.34247106385335324,-0.4464473611341862,-0.4415462147643573,-0.16447914936035887,0.0
2020-03-20,1.0,-0.38405735976381267,-0.4394488963868972,-0.4226908477435681,-0.4444819344861521,-0.12107408969492478,0.0
