Date,AA,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.6390600294422333,-0.0,-0.4764734747287498,-0.0,-0.8893735347036693,-0.08303800228995148,-0.8046998527888338,-0.30810751867400904,-0.0,-0.09552369009323375,-0.0,-0.0,-0.006052014612071317,-0.0,-1.14988277629355,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.6387619669277633,-0.0,-0.4653503046127067,-0.0,-0.8677110530896431,-0.09736727589208007,-0.8036335944299391,-0.31152088772845954,-0.0,-0.09948868581375109,-0.0,-0.0,-0.010933420365535249,-0.0,-1.1447454308093994,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.6962331591971405,-0.0,-0.5074511960406929,-0.0,-0.79043167445697,-0.09606818806708825,-0.6934286499862523,-0.35881220786362383,-0.0,-0.05620016497113005,-0.0,-0.0,-0.07814132526807809,-0.0,-1.2223260929337365,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.6451561588631423,-0.0,-0.5896388991993212,-0.0,-0.8470756667903918,-0.10011135266981282,-0.6209236969086377,-0.3090831963518744,-0.0,-0.03801898297894904,-0.0,-0.0,-0.0331406755395302,-0.0,-1.119359457023172,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.6186021791124102,-0.0,-0.5912835503587562,-0.0,-0.8567632208344406,-0.0756842944459208,-0.6340154132341216,-0.3173000265745416,-0.0,-0.05554079192133935,-0.0,-0.0,-0.03598192931171937,-0.0,-1.1297900611214455,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.5393871925360475,-0.0,-0.5287319762510602,-0.0,-0.9354325699745547,-0.14965012722646312,-0.6218723494486853,-0.2594359626802375,-0.0,-0.13660941475826974,-0.0,-0.0,-0.04007633587786259,-0.0,-1.0899067005937235,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.5718242343541944,-0.0,-0.5426364846870839,-0.0,-0.9466311584553928,-0.19115845539280957,-0.5987217043941411,-0.22977363515312915,-0.0,-0.14529960053262317,-0.0,-0.0,-0.0,-0.0,-1.100133155792277,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.5504660029654734,-0.0,-0.5440584621902139,-0.0,-0.9329061639483159,-0.20948951493327683,-0.5636517686930735,-0.24343359457742,-0.0,-0.17729294640965898,-0.0,-0.0,-0.002859563651768693,-0.0,-1.0712243168820164,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.549793191218581,-0.0,-0.5500583306819388,-0.0,-0.9319652137024074,-0.18702937745254006,-0.5716406829992576,-0.2546399406087602,-0.0,-0.17870399830310743,-0.0,-0.0,-0.0,-0.0,-1.0790115600806023,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.46039551607445,-0.0,-0.6500634517766497,-0.0,-0.9576988155668358,-0.12526438240270726,-0.5248519458544839,-0.2709390862944162,-0.0,-0.29557952622673433,-0.0,-0.0,-0.05573181049069374,-0.0,-0.9471235194585448,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.4386995280545359,-0.0,-0.665600419507079,-0.0,-0.9350812794965915,-0.17891976927110642,-0.5864708966963817,-0.22160461457787098,-0.0,-0.2587309910854746,-0.0,-0.0,-0.0415836392239119,-0.0,-0.9171473518615626,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.42247391327145933,-0.0,-0.6661423103140894,-0.0,-0.9487179487179488,-0.19521787006449584,-0.589900896649363,-0.2338104976141786,-0.0,-0.2181846783073777,-0.0,-0.0,-0.06753709821194484,-0.0,-0.9016831838917729,-0.0,-0.0
