Date,IWF,IWM,MTUM,SPR,SPY,VLUE,VXX
2018-09-24,-0.2982785293439979,-0.6560021065797702,-0.12912675685461308,1.0,-0.6071228728481617,-0.600967710081959,0.0
2018-09-25,-0.2985025506006253,-0.6556524600954419,-0.1296034227414843,1.0,-0.6068125719927595,-0.6005265756129669,0.0
2018-09-26,-0.29852563680642397,-0.6557296123214639,-0.12969788718488778,1.0,-0.6067596919634042,-0.6002764430987955,0.0
2018-09-27,-0.3005689105199118,-0.6500049327501726,-0.13130980959584332,1.0,-0.6066625012331875,-0.5999539609983886,0.0
2018-09-28,-0.2978541337546077,-0.6536993154291733,-0.13197735650342285,1.0,-0.6070629278567667,-0.6006121642969985,0.0
2018-10-01,-0.29828199052132703,-0.6531398104265402,-0.13204318062137968,1.0,-0.6071945760926803,-0.6005134281200633,0.0
2018-10-02,-0.30050380322038917,-0.6379202476209292,-0.13767328525799333,1.0,-0.6115446672593763,-0.6052553590832757,0.0
2018-10-03,-0.3002864574758816,-0.6289881795133516,-0.13628132099700374,1.0,-0.6153896809456391,-0.6116690263738435,0.0
2018-10-04,-0.30250773382478774,-0.6247284933851115,-0.13683933390377145,1.0,-0.6179819653787928,-0.6089317448825117,0.0
2018-10-05,-0.29297169656619987,-0.6193302941851694,-0.12800498507756386,1.0,-0.6236266439277164,-0.6157554688268669,0.0
2018-10-08,-0.29198610838084005,-0.6179477098486338,-0.12666273507633838,1.0,-0.6243365441321015,-0.6153921761352467,0.0
2018-10-09,-0.29195334512810434,-0.618045999606841,-0.12659720857086693,1.0,-0.6244020706375729,-0.6153266496297752,0.0
2018-10-10,-0.291250328687878,-0.6236523797002366,-0.12322508545884828,1.0,-0.6264790954509597,-0.6223047594004733,0.0
2018-10-11,-0.26173826173826176,-0.6181560375108762,-0.08878218555637912,1.0,-0.6216686539267184,-0.6322709548516001,0.0
