Date,ESLT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.40612830498052876,-0.7673020427683268,-0.010111361617817859,-0.6665641866502698,-0.5658946505431441,0.0
2018-09-25,1.0,-0.40819532183711793,-0.765306470889534,-0.013556428205565988,-0.6647088953389108,-0.5629503158613625,0.0
2018-09-26,1.0,-0.40967025457030576,-0.767401332649923,-0.016094310609943617,-0.66454809499402,-0.5593712626003758,0.0
2018-09-27,1.0,-0.40923414166324157,-0.7734963693656666,-0.015139060145225374,-0.6661871489245103,-0.5610700095903549,0.0
2018-09-28,1.0,-0.4099786122506223,-0.8115423722870867,-0.016023281091125836,-0.687353178359805,-0.5812909785771887,0.0
2018-10-01,1.0,-0.41252062778694565,-0.8109616937607528,-0.015694673642077175,-0.6896176398300621,-0.5822829254590779,0.0
2018-10-02,1.0,-0.41413822166034553,-0.7978999859530832,-0.020684084843376877,-0.6929344008990026,-0.5861075993819356,0.0
2018-10-03,1.0,-0.4143203627544026,-0.7868114872227495,-0.01877043129811241,-0.6992161411648915,-0.5959436184048648,0.0
2018-10-04,1.0,-0.4140550807217474,-0.788329640181492,-0.01923956244943899,-0.6986036368752417,-0.5970595476768317,0.0
2018-10-05,1.0,-0.4049152779722728,-0.7826634925080521,-0.008262148158521216,-0.7033678756476685,-0.6016664332726509,0.0
2018-10-08,1.0,-0.4030205565655153,-0.7794364424556006,-0.0033212138162494755,-0.7085023073695986,-0.6017340232135365,0.0
2018-10-09,1.0,-0.4031254370018179,-0.7796112431827716,-0.0032862536708152703,-0.7085023073695986,-0.6014893021954971,0.0
2018-10-10,1.0,-0.4032365174233687,-0.7793156478277586,-0.0031805948760966064,-0.708643528712733,-0.6007829156618084,0.0
2018-10-11,1.0,-0.35278568523790155,-0.7582350549003659,-0.0,-0.6842551172563373,-0.5936695133523112,0.0
2018-10-12,1.0,-0.3522799504867686,-0.7483858017463451,-0.0,-0.6694657254692048,-0.5753571309089692,0.0
2018-10-15,1.0,-0.34372808921238024,-0.7536643183866982,-0.0,-0.6673566825815499,-0.5740375947380721,0.0
2018-10-16,1.0,-0.3493290499615166,-0.7488538634005957,-0.0,-0.6707827192718268,-0.5774185992035606,0.0
2018-10-17,1.0,-0.342647595659244,-0.7345103375037335,-0.0,-0.6657817011250124,-0.575681146915342,0.0
2018-10-18,1.0,-0.34242575078812015,-0.7342624854819977,-0.0,-0.6660361705657872,-0.5756761241081798,0.0
2018-10-19,1.0,-0.3295589203423305,-0.7232389730085582,-0.0,-0.6662606978275181,-0.5725806451612903,0.0
2018-10-22,1.0,-0.32975844772967267,-0.7112262407602957,-0.0,-0.676610348468849,-0.5822663674762408,0.0
2018-10-23,1.0,-0.32933993399339934,-0.7113531353135314,-0.0,-0.6770957095709571,-0.5825742574257426,0.0
2018-10-24,1.0,-0.3283902503467865,-0.7136204504921065,-0.0,-0.6781491511988903,-0.5825682013343021,0.0
2018-10-25,1.0,-0.2897244233422091,-0.6668056847711014,-0.0,-0.6983734881781143,-0.5532065060472876,0.0
2018-10-26,1.0,-0.2708862366683596,-0.6537899949212799,-0.0,-0.704989842559675,-0.5445340274250889,0.0
2018-10-29,1.0,-0.25119994947581153,-0.6612037387899456,-0.0,-0.6964759378552482,-0.5488821523304281,0.0
2018-10-30,1.0,-0.24770352599513873,-0.6610372802171786,-0.0,-0.6963919315634963,-0.5515009943495691,0.0
2018-10-31,1.0,-0.250673601102826,-0.6437746725985337,-0.0,-0.6927125759759383,-0.5458362052760198,0.0
2018-11-01,1.0,-0.237314646812238,-0.6535694175061002,-0.0,-0.6917036851654883,-0.5457048113620723,0.0
2018-11-02,1.0,-0.2377556764871458,-0.6527803840620503,-0.0,-0.6914993432163632,-0.5455057234002626,0.0
2018-11-05,1.0,-0.2372732958098812,-0.6538774233896185,-0.0,-0.6914321450906817,-0.5443402126328957,0.0
2018-11-06,1.0,-0.24301667240138886,-0.6589508586443117,-0.0,-0.6876661766085896,-0.5383965716788138,0.0
2018-11-07,1.0,-0.24223951983494327,-0.6593516521304198,-0.0,-0.6863609365719466,-0.5381224796023633,0.0
2018-11-08,1.0,-0.2272910528764149,-0.656815010079082,-0.0,-0.679020003101256,-0.5381299426267638,0.0
2018-11-09,1.0,-0.22615389390694352,-0.6577583263494428,-0.0,-0.681441474997672,-0.5385976347890865,0.0
