Date,IWF,IWM,MTUM,SPY,THW,VLUE,VXX
2018-09-24,-0.1953768349445041,-0.3798558897243108,-0.05207214464733261,-0.28761636233440746,1.0,-0.32279359112065875,0.0
2018-09-25,-0.19662192393736017,-0.37876957494407154,-0.05407158836689038,-0.2865995525727069,1.0,-0.32109619686800894,0.0
2018-09-26,-0.19672497874815448,-0.3788644803364503,-0.05431524316585388,-0.2864972484452597,1.0,-0.3206344235157264,0.0
2018-09-27,-0.1990876361278204,-0.3735325029629464,-0.055904649030613394,-0.28688029696549566,1.0,-0.3207585142780474,0.0
2018-09-28,-0.200711632278566,-0.37286845992033296,-0.055834041981828765,-0.2873830729982545,1.0,-0.32106252517567024,0.0
2018-10-01,-0.20083251275624384,-0.37270611404529586,-0.05590367916927759,-0.2874406946558052,1.0,-0.321032136782741,0.0
2018-10-02,-0.2007657173562601,-0.3754701773240193,-0.05527941966684578,-0.28696489342647324,1.0,-0.3204594304137561,0.0
2018-10-03,-0.2005506805157593,-0.3699409025787965,-0.05441887535816618,-0.2893087392550143,1.0,-0.32434186962750716,0.0
2018-10-04,-0.20149938458095557,-0.36806534631308047,-0.05469396889336466,-0.29047778896721493,1.0,-0.32315094550744095,0.0
2018-10-05,-0.20438087124184473,-0.372149855390893,-0.05463758043180952,-0.2893527341210233,1.0,-0.3214581978790665,0.0
2018-10-08,-0.20509250943057303,-0.3738773127357643,-0.05523621340039519,-0.28897970181426264,1.0,-0.32216633734506916,0.0
2018-10-09,-0.20547422310041313,-0.37389976648104906,-0.0560894557212143,-0.28848571941799894,1.0,-0.32142536375067365,0.0
2018-10-10,-0.20624943880757834,-0.3730133788273324,-0.05703959773727216,-0.28883451557870166,1.0,-0.31961030798240103,0.0
2018-10-11,-0.18975524707024785,-0.37130056719118976,-0.03493632892675068,-0.2841473372911655,1.0,-0.3268080598530158,0.0
2018-10-12,-0.18794584686057553,-0.37352856732701695,-0.031096093111596987,-0.28631374367808476,1.0,-0.32966717462841494,0.0
2018-10-15,-0.19302438808480504,-0.36697207099544105,-0.03633868897446112,-0.28732350728101624,1.0,-0.3294161908555748,0.0
